"binomial_name","Family","Genus","Species","species_origin","logging_status"
"Crudia tenuipes","Fabaceae","Crudia","tenuipes","50ha, CP","both"
"Crudia unknown mixed","Fabaceae","Crudia","unknown mixed","CP","logged"
"Crypteronia griffithii","Crypteroniaceae","Crypteronia","griffithii","50ha","unlogged"
"Cryptocarya erectinervia","Lauraceae","Cryptocarya","erectinervia","50ha, CP","both"
"Cryptocarya pulchrinervia","Lauraceae","Cryptocarya","pulchrinervia","50ha, CP","both"
"Cryptocarya strictifolia","Lauraceae","Cryptocarya","strictifolia","CP","logged"
"Cryptocarya teysmanniana","Lauraceae","Cryptocarya","teysmanniana","50ha","unlogged"
"Cryptocarya unknown mixed","Lauraceae","Cryptocarya","unknown mixed","CP","logged"
"Cyathocalyx magnifructus","Annonaceae","Cyathocalyx","magnifructus","50ha, CP","both"
"Cynometra elmeri","Fabaceae-caesalpinioideae","Cynometra","elmeri","50ha","unlogged"
"Cynometra mirabilis","Fabaceae","Cynometra","mirabilis","50ha, CP","both"
"Dacryodes laxa","Burseraceae","Dacryodes","laxa","50ha","unlogged"
"Dacryodes rostrata","Burseraceae","Dacryodes","rostrata","50ha, CP","both"
"Dacryodes rugosa","Burseraceae","Dacryodes","rugosa","50ha, CP","both"
"Dacryodes species 1","Burseraceae","Dacryodes","species 1","50ha","unlogged"
"Dacryodes unknown mixed","Burseraceae","Dacryodes","unknown mixed","CP","logged"
"Decaspermum parviflorum","Myrtaceae","Decaspermum","parviflorum","50ha","unlogged"
"Dehaasia caesia","Lauraceae","Dehaasia","caesia","50ha, CP","both"
"Dehaasia gigantocarpa","Lauraceae","Dehaasia","gigantocarpa","50ha","unlogged"
"Dehaasia incrassata","Lauraceae","Dehaasia","incrassata","50ha, CP","both"
"Dehaasia unknown mixed","Lauraceae","Dehaasia","unknown mixed","50ha, CP","both"
"Dendrocnide elliptica","Urticaceae","Dendrocnide","elliptica","50ha, CP","both"
"Dendrocnide stimulans","Urticaceae","Dendrocnide","stimulans","50ha","unlogged"
"Dendrocnide unknown mixed","Urticaceae","Dendrocnide","unknown mixed","50ha, CP","both"
"Dialium indum","Fabaceae-caesalpinioideae","Dialium","indum","50ha","unlogged"
"Dialium unknown mixed","Fabaceae-caesalpinioideae","Dialium","unknown mixed","50ha","unlogged"
"Dillenia borneensis","Dilleniaceae","Dillenia","borneensis","50ha","unlogged"
"Dillenia excelsa","Dilleniaceae","Dillenia","excelsa","50ha, CP","both"
"Dillenia species 1","Dilleniaceae","Dillenia","species 1","50ha, CP","both"
"Dimocarpus dentatus","Sapindaceae","Dimocarpus","dentatus","50ha, CP","both"
"Dimocarpus fumatus","Sapindaceae","Dimocarpus","fumatus","50ha","unlogged"
"Dimocarpus longan","Sapindaceae","Dimocarpus","longan","50ha, CP","both"
"Dimorphocalyx murinus","Euphorbiaceae","Dimorphocalyx","murinus","50ha, CP","both"
"Diospyros andamanica","Ebenaceae","Diospyros","andamanica","50ha, CP","both"
"Diospyros borneensis","Ebenaceae","Diospyros","borneensis","50ha","unlogged"
"Diospyros cauliflora","Ebenaceae","Diospyros","cauliflora","50ha, CP","both"
"Diospyros curranii","Ebenaceae","Diospyros","curranii","50ha, CP","both"
"Diospyros daemona","Ebenaceae","Diospyros","daemona","50ha","unlogged"
"Diospyros dictyoneura","Ebenaceae","Diospyros","dictyoneura","50ha, CP","both"
"Diospyros diepenhorstii","Ebenaceae","Diospyros","diepenhorstii","50ha","unlogged"
"Diospyros elliptifolia","Ebenaceae","Diospyros","elliptifolia","50ha, CP","both"
"Diospyros euphlebia","Ebenaceae","Diospyros","euphlebia","50ha, CP","both"
"Diospyros frutescens","Ebenaceae","Diospyros","frutescens","50ha, CP","both"
"Diospyros macrophylla","Ebenaceae","Diospyros","macrophylla","50ha, CP","both"
"Diospyros muricata","Ebenaceae","Diospyros","muricata","50ha, CP","both"
"Diospyros pilosanthera","Ebenaceae","Diospyros","pilosanthera","50ha, CP","both"
"Diospyros pyrrhocarpa","Ebenaceae","Diospyros","pyrrhocarpa","50ha","unlogged"
"Diospyros species 1","Ebenaceae","Diospyros","species 1","50ha","unlogged"
"Diospyros species 2","Ebenaceae","Diospyros","species 2","50ha","unlogged"
"Diospyros species 3","Ebenaceae","Diospyros","species 3","50ha","unlogged"
"Diospyros species 4","Ebenaceae","Diospyros","species 4","50ha","unlogged"
"Diospyros species 6","Ebenaceae","Diospyros","species 6","50ha","unlogged"
"Diospyros species 7","Ebenaceae","Diospyros","species 7","50ha","unlogged"
"Diospyros squamaefolia","Ebenaceae","Diospyros","squamaefolia","50ha","unlogged"
"Diospyros toposia","Ebenaceae","Diospyros","toposia","50ha, CP","both"
"Diospyros tuberculata","Ebenaceae","Diospyros","tuberculata","50ha, CP","both"
"Diospyros unknown mixed","Ebenaceae","Diospyros","unknown mixed","CP","logged"
"Diospyros wallichii","Ebenaceae","Diospyros","wallichii","50ha","unlogged"
"Diplospora malaccensis","Rubiaceae","Diplospora","malaccensis","50ha, CP","both"
"Diplospora unknown mixed","Rubiaceae","Diplospora","unknown mixed","50ha","unlogged"
"Dipterocarpus applanatus","Dipterocarpaceae","Dipterocarpus","applanatus","CP","logged"
"Dipterocarpus caudiferus","Dipterocarpaceae","Dipterocarpus","caudiferus","CP","logged"
"Dipterocarpus unknown mixed","Dipterocarpaceae","Dipterocarpus","unknown mixed","CP","logged"
"Dracontomelon costatum","Anacardiaceae","Dracontomelon","costatum","50ha","unlogged"
"Dracontomelon dao","Anacardiaceae","Dracontomelon","dao","50ha, CP","both"
"Dracontomelon unknown mixed","Anacardiaceae","Dracontomelon","unknown mixed","50ha","unlogged"
"Drepanthus havilandii","Annonaceae","Drepanthus","havilandii","CP","logged"
"Dryobalanops lanceolata","Dipterocarpaceae","Dryobalanops","lanceolata","50ha, CP","both"
"Drypetes castilloi","Putranjivaceae","Drypetes","castilloi","50ha, CP","both"
"Drypetes eriocarpa","Putranjivaceae","Drypetes","eriocarpa","50ha, CP","both"
"Drypetes longifolia","Putranjivaceae","Drypetes","longifolia","50ha, CP","both"
"Drypetes subcrenata","Putranjivaceae","Drypetes","subcrenata","50ha","unlogged"
"Drypetes unknown mixed","Putranjivaceae","Drypetes","unknown mixed","50ha, CP","both"
"Duabanga moluccana","Sonneratiaceae","Duabanga","moluccana","50ha, CP","both"
"Durio graveolens","Malvaceae","Durio","graveolens","50ha, CP","both"
"Durio unknown mixed","Malvaceae","Durio","unknown mixed","50ha, CP","both"
"Dysoxylum alliaceum","Meliaceae","Dysoxylum","alliaceum","50ha","unlogged"
"Dysoxylum arborescens","Meliaceae","Dysoxylum","arborescens","50ha","unlogged"
"Dysoxylum cauliflorum","Meliaceae","Dysoxylum","cauliflorum","50ha","unlogged"
"Dysoxylum cyrtobotryum","Meliaceae","Dysoxylum","cyrtobotryum","50ha, CP","both"
"Dysoxylum excelsum","Meliaceae","Dysoxylum","excelsum","50ha","unlogged"
"Dysoxylum gaudichaudianum","Meliaceae","Dysoxylum","gaudichaudianum","50ha","unlogged"
"Dysoxylum grande","Meliaceae","Dysoxylum","grande","50ha","unlogged"
"Dysoxylum oppositifolium","Meliaceae","Dysoxylum","oppositifolium","50ha","unlogged"
"Dysoxylum parasiticum","Meliaceae","Dysoxylum","parasiticum","50ha","unlogged"
"Dysoxylum rigidum","Meliaceae","Dysoxylum","rigidum","50ha, CP","both"
"Dysoxylum unknown mixed","Meliaceae","Dysoxylum","unknown mixed","50ha, CP","both"
"Elaeocarpus brunnescens","Elaeocarpaceae","Elaeocarpus","brunnescens","50ha","unlogged"
"Elaeocarpus stipularis","Elaeocarpaceae","Elaeocarpus","stipularis","50ha, CP","both"
"Elaeocarpus unknown mixed","Elaeocarpaceae","Elaeocarpus","unknown mixed","50ha, CP","both"
"Endospermum diadenum","Euphorbiaceae","Endospermum","diadenum","50ha, CP","both"
"Engelhardia danumensis","Juglandaceae","Engelhardia","danumensis","50ha","unlogged"
"Erycibe borneensis","Convolvulaceae","Erycibe","borneensis","50ha, CP","both"
"Erythroxylum cuneatum","Erythroxylaceae","Erythroxylum","cuneatum","50ha","unlogged"
"Eurycoma longifolia","Simaroubaceae","Eurycoma","longifolia","50ha","unlogged"
"Eusideroxylon zwageri","Lauraceae","Eusideroxylon","zwageri","50ha, CP","both"
"Fagraea cuspidata","Gentianaceae","Fagraea","cuspidata","50ha, CP","both"
