"","binomial_name","family.x","genus.x","species.x","history_at_INDFORSUS_site","species_origin","logging_status","comment"
"50","Aquilaria beccariana","Thymelaeaceae","Aquilaria","beccariana",NA,"50ha","unlogged",""
"51","Archidendron microcarpum","Fabaceae","Archidendron","microcarpum",NA,"50ha","unlogged","X"
"52","Archidendron unknown mixed","Fabaceae","Archidendron","unknown mixed",NA,"50ha","unlogged","X"
"53","Ardisia  colorata","Primulaceae","Ardisia ","colorata",NA,"CP","logged",NA
"54","Ardisia  macrophylla","Primulaceae","Ardisia ","macrophylla",NA,"CP","logged",NA
"55","Ardisia  unknown mixed","Primulaceae","Ardisia ","unknown mixed",NA,"CP","logged",NA
"56","Artocarpus anisophyllus","Moraceae","Artocarpus","anisophyllus",NA,"50ha, CP","both",""
"57","Artocarpus elasticus","Moraceae","Artocarpus","elasticus",NA,"CP","logged",NA
"58","Artocarpus heterophyllus","Moraceae","Artocarpus","heterophyllus",NA,"CP","logged",NA
"59","Artocarpus unknown mixed","Moraceae","Artocarpus","unknown mixed",NA,"CP","logged",NA
"60","Atuna excelsa","Chrysobalanaceae","Atuna","excelsa",NA,"CP","logged",NA
"61","Azadirachta excelsa","Meliaceae","Azadirachta","excelsa",NA,"50ha, CP","both",""
"62","Baccaurea edulis","Phyllanthaceae","Baccaurea","edulis",NA,"50ha","unlogged",""
"63","Baccaurea lanceolata","Phyllanthaceae","Baccaurea","lanceolata",NA,"50ha, CP","both","NO BC X2"
"64","Baccaurea macrocarpa","Phyllanthaceae","Baccaurea","macrocarpa",NA,"50ha, CP","both","E00171361,E00646665"
"65","Baccaurea parviflora","Phyllanthaceae","Baccaurea","parviflora",NA,"50ha","unlogged","E00146495"
"66","Baccaurea species 1","Phyllanthaceae","Baccaurea","species 1",NA,"50ha","unlogged",""
"67","Baccaurea tetrandra","Phyllanthaceae","Baccaurea","tetrandra",NA,"50ha, CP","both",""
"68","Baccaurea unknown mixed","Phyllanthaceae","Baccaurea","unknown mixed",NA,"50ha, CP","both",""
"69","Barringtonia lanceolata","Lecythidaceae ","Barringtonia","lanceolata",NA,"50ha, CP","both","X"
"70","Barringtonia macrostachya","Lecythidaceae ","Barringtonia","macrostachya",NA,"50ha, CP","both","X"
"71","Barringtonia unknown mixed","Lecythidaceae","Barringtonia","unknown mixed",NA,"50ha","unlogged","X"
"72","Beilschmiedia Unknown species 1","Lauraceae","Beilschmiedia","Unknown species 1",NA,"50ha","unlogged",""
"73","Beilschmiedia assamica","Lauraceae","Beilschmiedia","assamica",NA,"50ha","unlogged","NO BC"
"74","Beilschmiedia ","Lauraceae","Beilschmiedia","",NA,"50ha, CP","both",NA
"75","Beilschmiedia micrantha","Lauraceae","Beilschmiedia","micrantha",NA,"50ha, CP","both",""
"76","Beilschmiedia tawaensis","Lauraceae","Beilschmiedia","tawaensis",NA,"50ha, CP","both","NO BC"
