notes,species,family,reference,calyx_length_mm,corolla_tube_mm,corolla_length_mm,corolla_colour,stamen_length_mm,distribution,altitude
NA,Rhododendron suaveolens,eric,Argent (2015),NA,35_55,35_70,white_pink,NA,Sabah,1200_1700
NA,Rhododendron subcrenulatum,eric,Sleumer (1960) Reinwardtia 5_Argent (2015),NA,20_23,25_30,dark red,NA,N.W. New Guinea,3225_3345
Solomon islands (New Georgia),Rhododendron subpacificum,eric,NA,NA,NA,NA,NA,NA,NA,NA
NA,Rhododendron subsessile,eric,J. Bot. 34: 357 (1896),NA,9,12,pink,NA,Luzon,NA
NA,Rhododendron subuliferum,eric,Sleumer (1960) Reinwardtia 5_Argent (2015),NA,30_35,30_50,dark red,NA,W. New Guinea,1550_2600
NA,Rhododendron subulosum,eric,Sleumer (1960) Reinwardtia 5_Argent (2015),NA,10,15,red,NA,Mt Doorman (Papua),1450
NA,Rhododendron sugaui,eric,Argent (2015),NA,13,25,pink,NA,Mt Tawai (Sabah),1250
NA,Rhododendron sumatranum,eric,Argent (2015),NA,10_12,25_30,orange-red,NA,N. Sumatra,1800_2700
NA,Rhododendron superbum,eric,Sleumer (1960) Reinwardtia 5_Argent (2015),1.3_2,65_75,55_140,white_cream_light yellow_pink,NA,Papua New Guinea_New Ireland,1525_3050
NA,Rhododendron syringoideum,eric,Argent (2015),NA,85_105,100_110,pink,NA,W. New Guinea,2200_3000
NA,Rhododendron takeuchii,eric,Argent (2015),NA,20,35_43,pink_red,NA,New Ireland,1175_1800
NA,Rhododendron taxifolium,eric,Argent (2015),NA,10,16_20,white,NA,Mt Pulag (Luzon),2600_2700
NA,Rhododendron taxoides,eric,Argent (2015),NA,10_14,14_18,dark red,NA,W. New Guinea,3250_3520
R. magnificum is a syn (see Sleumer),Rhododendron thaumasianthum,eric,Argent (2015),NA,50,90,NA,NA,Wissel Lakes (W. New Guinea),2900
NA,Rhododendron tintinnabellum,eric,Argent (2015),NA,10_13,17_24,white,NA,Mt Sendanihanegen (W. New Guinea),3470_3510
NA,Rhododendron torajaense,eric,Argent (2015),NA,28_30,45_50,white,NA,S. Sulawesi,1359
NA,Rhododendron toxopei,eric,Argent (2015),NA,20_24,45_50,pale pink,NA,Buru,1075
R. truncicolum in Sleumer,Rhododendron truncicola,eric,Sleumer (1960) Reinwardtia 5_Argent (2015),NA,20_25,30_40,pink,NA,S.E. New Guinea,1700_2135
NA,Rhododendron tuba,eric,Sleumer (1960) Reinwardtia 5_Argent (2015),1,55_65,65_80,pink_white,NA,Papua New Guinea,2500_3000
NA,Rhododendron tuberculiferum,eric,Argent (2015),NA,25_32,38_45,red,NA,W. New Guinea,3000_3100
NA,Rhododendron tuhanense,eric,Argent (2015),NA,8_16,20_28,red,NA,Mt Kinabalu (Sabah),2800_2900
NA,Rhododendron ultimum,eric,Argent (2015),NA,20_30,35_45,orange,NA,Mt Jaya (W. New Guinea),3200_4100
NA,Rhododendron vanderbiltianum,eric,Notul. Nat. Acad. Nat. Sci. Philadelphia 47: 5 (1940),NA,NA,NA,NA,NA,NA,NA
NA,Rhododendron vanvuurenii,eric,Argent (2015),NA,25_35,40_60,orange_yellow_white_pink,NA,Sulawesi,600_1600
NA,Rhododendron versteegii,eric,Argent (2015),NA,18_22,30_40,red_yellow,NA,W. New Guinea,3200_3950
NA,Rhododendron verticillatum,eric,Argent (2015),NA,30_36,50_60,red_red-orange_orange,NA,Borneo,700_1500
NA,Rhododendron vidalii,eric,Argent (2015),NA,10_15,22_30,white,NA,Philippines,1000_2100
NA,Rhododendron villosulum,eric,Argent (2015),NA,20_26,35_40,red,NA,New Guinea,2000_3000
NA,Rhododendron vinicolor,eric,Sleumer (1960) Reinwardtia 5_Argent (2015),NA,NA,20_24,red-purple,NA,Sumatra,1100_1500
NA,Rhododendron vinkii,eric,Argent (2015),NA,20,25,red,NA,Fak-Fak (W. New Guinea),840
NA,Rhododendron vitis-idaea,eric,Sleumer (1960) Reinwardtia 5_Argent (2015),NA,8_45,15_55,red,NA,Papua New Guinea,2195_2590
NA,Rhododendron wentianum,eric,Argent (2015),NA,10_14,NA,red_orange,NA,New Guinea,600_1500
NA,Rhododendron whiteheadii,eric,Argent (2015),NA,10_15,22_30,red,NA,Luzon,1800_2400
NA,Rhododendron wilkiei,eric,Argent (2015),NA,15,18_20,red,NA,Thumb Peak (Palawan),1200
NA,Rhododendron williamsii,eric,Argent (2015),NA,18_23,25_40,white,NA,Luzon,1500_2200
NA,Rhododendron womersleyi,eric,Sleumer (1960) Reinwardtia 5_Argent (2015),1,13_20,20_26,red,NA,Papua New Guinea,3200_3960
NA,Rhododendron wrayi,eric,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 74(1): 75 (1906)",NA,NA,32,white_pale pink,NA,Peninsular Malaysia,1067_2134
NA,Rhododendron wrightianum,eric,Argent (2015),NA,20,22_30,red_pink_white,NA,New Guinea,1370_3250
NA,Rhododendron xanthopetalum,eric,Argent (2015),NA,15_25,30_40,yellow_orange,NA,Philippines,1200
NA,Rhododendron xenium,eric,Argent (2015),NA,9_14,15_20,red,NA,W. New Guinea,3520_3540
NA,Rhododendron yelliottii,eric,Argent (2015),NA,10_12,13_16,red,NA,Papua New Guinea,1300_3680
NA,Rhododendron yongii,eric,Argent (2015),NA,20_25,30_36,purple-red,NA,Sabah_Sarawak,NA
NA,Rhododendron zoelleri,eric,Argent (2015),NA,30_45,60,yellow_orange,NA,New Guinea,1_2000
NA,Rhododendron zollingeri,eric,Argent (2015),NA,10,14_15,red_orange,NA,Java_Bali_Lombok_Flores_Sulawesi_Philippines,1200_3090
NA,Styphelia abscondita,eric,Sleumer (1964)_Crayn et al. (2020),3,NA,4.5,white,NA,Mt Doorman (W. New Guinea),3250
NA,Styphelia forbesii,eric,Sleumer (1964)_Crayn et al. (2020),2.5,NA,3.5,white,NA,Timor_Alor,1000_1220
NA,Elaeocarpus achmadii,elaeo,Coode (2014) Kew Bull. 69,8_10,NA,10_11,NA,NA,Sumatra,low
NA,Elaeocarpus acmocarpus,elaeo,Weibel (1975) Candollea 30_Mark Coode data,5_7,NA,6_8,NA,NA,Kalimantan_Sarawak,1_60
NA,Elaeocarpus acmosepalus,elaeo,Mark Coode data,5_6,NA,5_6,NA,NA,"Sumatra_Malay Peninsula
",3_10
NA,Elaeocarpus acrantherus,elaeo,Mark Coode data,9_9,NA,9_9,NA,NA,Borneo,740_1600
NA,Elaeocarpus acronodia,elaeo,Coode (1996) Kew Bull. 51(2)_Mark Coode data,3.5_6,NA,3_5.5,NA,NA,Sumatra_Java_Flores_Sumbawa_Peninsular Malaysia_Sarawak_Lesser Sunda islands,1000_2500
MC says = E. floribundus,Elaeocarpus adenopus,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
MC says sp uncertain,Elaeocarpus affinis,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
MC says = part of polydactylus,Elaeocarpus albiflorus,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus altigenus,elaeo,Mark Coode data,6_7.5,NA,5.5_7.5,NA,NA,New Guinea,1800_2900
NA,Elaeocarpus altisectus,elaeo,Coode (1977) Brunonia 1_Mark Coode data,4.5_6,NA,5_7,NA,NA,New Guinea_Maluku,10_360
NA,Elaeocarpus amabilis,elaeo,Mark Coode data,4_7,NA,4_6,NA,NA,New Guinea,NA
MC says = E. angustifolius,Elaeocarpus amboinensis,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus amplifolius,elaeo,Coode (1977) Brunonia 1_Mark Coode data,17_22,NA,22_27,NA,NA,W. New Guinea,20_450
NA,Elaeocarpus angustifolius,elaeo,Mark Coode data,5_10,NA,8_14,NA,NA,"Sumatra_Malay Peninsula_Java_Bali_Borneo_Philippines_Sulawesi_Moluccas_New Guinea_Bismarck Archipelago_Solomon Islands_Lesser Sunda islands
",NA
NA,Elaeocarpus angustipes,elaeo,Mark Coode data,6_6,NA,6_6,NA,NA,Borneo,1350_1450
MC says = E. macranthus,Elaeocarpus apoensis,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
MC says = part of polydactylus,Elaeocarpus arfakensis,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus argenteus,elaeo,Mark Coode data,4.5_5.5,NA,4_5.5,NA,NA,Philippines,960_2700
NA,Elaeocarpus arnhemicus,elaeo,Mark Coode data,2.5_3.5,NA,2.5_4.5,NA,NA,New Guinea_New Britain_Java_Bali_Lesser Sunda Islands_Sulawesi,1_300
NA,Elaeocarpus avium,elaeo,Mark Coode data,5.5_5.5,NA,6.5_7.2,NA,NA,New Guinea,60_450
MC says = part of polydactylus,Elaeocarpus azaleifolius,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus badius,elaeo,Coode (1977) Brunonia 1,8_10,NA,11_13,NA,NA,Solomon islands_Bougainville,30_60
Fissipetalum,Elaeocarpus bakaianus,elaeo,Coode (1977) Brunonia 1_Mark Coode data,6.5_7,NA,9_10,NA,NA,New Guinea,1700_2100
NA,Elaeocarpus balabanii,elaeo,Weibel (1980) Candollea 35,8.5,NA,8,white,NA,Sarawak,1700
"IndoChina, not Malesia",Elaeocarpus balansae,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus balgooyi,elaeo,Mark Coode data,7_7.5,NA,6_7,NA,NA,Sulawesi,300_450
NA,Elaeocarpus baramii,elaeo,Weibel (1975) Candollea 30_Mark Coode data,5,NA,5,NA,NA,Sarawak,880_1280
NA,Elaeocarpus barbulatus,elaeo,Mark Coode data,3_5,NA,2.5_6,NA,NA,Borneo,20_1500
MC says = E. calomala var calomala,Elaeocarpus bataanensis,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
"MC says uncertain, type lost",Elaeocarpus batjanicus,elaeo,Repert. Spec. Nov. Regni Veg. 49: 68 (1940),NA,NA,NA,NA,NA,Bacan (Maluku),1800
NA,Elaeocarpus batudulangii,elaeo,Weibel (1980) Candollea 35_Mark Coode data,6.5_9,NA,7_9.5,yellow,NA,Sumbawa_Flores,50_1400
NA,Elaeocarpus batui,elaeo,Coode (2001) Kew Bull. 56,5,NA,4_5,NA,NA,Central Sulawesi,70_80
NA,Elaeocarpus beccarii,elaeo,Mark Coode data,5_6,NA,5_6,NA,NA,Borneo,60_1050
MC says = E. merrittii,Elaeocarpus bellus,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus bilobatus,elaeo,Coode (1977) Brunonia 1_Mark Coode data,1.8_2.3,NA,1.6_2,NA,NA,New Guinea,850_1400
NA,Elaeocarpus bilongvinas,elaeo,Coode (1980) Kew Bull. 35,2.5,NA,2.25,yellowish white,NA,Sepik,2100
NA,Elaeocarpus blepharoceras,elaeo,Mark Coode data,10_13,NA,10_15,NA,NA,New Guinea,540_2500
"MC ""type not seen""",Elaeocarpus bontocensis,elaeo,"Philipp. J. Sci., C 13: 27 (1918)",4,NA,3.5,pink,NA,Luzon,1700
NA,Elaeocarpus branderhorstii,elaeo,Mark Coode data,6_6.5,NA,5_6.5,NA,NA,New Guinea,30_450
NA,Elaeocarpus brigittae,elaeo,Mark Coode data,7,NA,9,NA,NA,Sumatra,1600_2000
NA,Elaeocarpus brunneotomentosus,elaeo,Weibel (1980) Candollea 35_Mark Coode data,8_12,NA,7_10,brown_white,NA,Sumbawa_Flores,500_1500
NA,Elaeocarpus brunnescens,elaeo,Mark Coode data,3_6,NA,4_6,NA,NA,Borneo_Philippines,9_250
NA,Elaeocarpus buderi,elaeo,Coode (1977) Brunonia 1_Mark Coode data,10_13,NA,17_20,NA,NA,New Britain,100_250
NA,Elaeocarpus burebidensis,elaeo,Coode (2007) Kew Bull. 62,1.5_2,NA,7_10,NA,NA,Mindanao,1200
NA,Elaeocarpus burkii,elaeo,Coode (1995) Kew Bull. 50(2),NA,NA,NA,NA,NA,Sulawesi,2200
comb nov only in Philipp. J. Sci.,Elaeocarpus calomala,elaeo,"Philipp. J. Sci., C 10: 43 (1915)",NA,NA,NA,NA,NA,NA,NA
MC says = E. pedunculatus,Elaeocarpus candollei,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
MC says = E. teysmannii s.s.,Elaeocarpus celebesianus,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus celebicus,elaeo,Mark Coode data,2_3,NA,2_3.5,NA,NA,Sulawesi,340_800
"MC ""insufficently known type lost""",Elaeocarpus cheirophorus,elaeo,Bot. Jahrb. Syst. 54: 121 (1916),5,NA,2.25,NA,NA,Sepik (Papua New Guinea),2070
NA,Elaeocarpus chewii,elaeo,Coode (1998) Kew Bull. 53,NA,NA,NA,NA,NA,Mt Kinabalu (Sabah),1200_1500
NA,Elaeocarpus chrysophyllus,elaeo,Mark Coode data,4_4,NA,4_4.5,NA,NA,Borneo,24_800
var. clematis data only,Elaeocarpus clementis,elaeo,Mark Coode data,3_5.5,NA,5.5_8,NA,NA,Borneo,170_1245
"MC ""insufficently known""",Elaeocarpus clethroides,elaeo,Bot. Jahrb. Syst. 54(3): 136 (1916),NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus coloides,elaeo,Coode (1977) Brunonia 1_Bot. Jahrb. Syst. 54(2) (1916),NA,NA,NA,NA,NA,NA,NA
"MC ""insufficently known""",Elaeocarpus compactus,elaeo,Bot. Jahrb. Syst. 54(3): 138 (1916),5,NA,5,NA,NA,Sepik (Papua New Guinea),1300
NA,Elaeocarpus conoideus,elaeo,Mark Coode data,5_6,NA,6_6,NA,NA,Borneo,1200_2700
Solomon Is. only not Malesia,Elaeocarpus coodei,elaeo,NA,NA,NA,NA,NA,NA,Solomon islands,NA
NA,Elaeocarpus cordifolius,elaeo,Coode (1994) Kew Bull. 49,4.5_5,NA,4_5,NA,NA,Sarawak_Kalimantan,1200
NA,Elaeocarpus corneri,elaeo,Weibel (1975) Candollea 30_Mark Coode data,6.5,NA,7_7.5,NA,NA,Sabah,2900_3100
MC does not know this. Have scan of publication but no measurements,Elaeocarpus corsonianus,elaeo,Loud. Gard. Mag. xviii. (1842) 370,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus crassinervatus,elaeo,Repert. Spec. Nov. Regni Veg. 49: 69 (1940),4,NA,4,NA,NA,Mt Kinabalu (Sabah),1600
NA,Elaeocarpus crassus,elaeo,Coode (2001) Kew Bull. 56,5_6,NA,6,yellowish white,NA,Sorong (W. New Guinea),30
NA,Elaeocarpus crenulatus,elaeo,Repert. Spec. Nov. Regni Veg. 48: 74 (1940)_Coode (1977) Brunonia 1,3.5,NA,3.5,NA,NA,W. New Guinea,2750_3500
NA,Elaeocarpus cristatus,elaeo,Mark Coode data,9_9.5,NA,7_8,NA,NA,Borneo,75_1500
NA,Elaeocarpus cruciatus,elaeo,Mark Coode data,12_14.5,NA,13_13,NA,NA,Peninsular Malaysia,1200_1800
"MC ""uninterpretable perhaps elmeri""",Elaeocarpus cuernosensis,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus culminicola,elaeo,Mark Coode data,6_15,NA,9_19,NA,NA,Philippines_Sulawesi_Moluccas_New Guinea_Bismarck Archipelago,30_2800
NA,Elaeocarpus cumingii,elaeo,Mark Coode data,4_6,NA,5_7,NA,NA,Borneo_Philippines_Sulawesi,75_400
var. cupreus data only,Elaeocarpus cupreus,elaeo,Mark Coode data,3_6,NA,4_5.5,NA,NA,Borneo,30_390
NA,Elaeocarpus curranii,elaeo,Mark Coode data,4,NA,5,NA,NA,Philippines,1_300
MC says = E. ledermannii s.s.,Elaeocarpus dallmannensis,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
Fissipetalum,Elaeocarpus dasycarpus,elaeo,Mark Coode data,5.5_6,NA,5.5_6.2,NA,NA,New Guinea,2300_2900
NA,Elaeocarpus debruynii,elaeo,Mark Coode data,5_7,NA,5_7,NA,NA,New Guinea,90_150
Fissipetalum,Elaeocarpus densiflorus,elaeo,Mark Coode data,4_5,NA,5_6,NA,NA,New Guinea,1800_2400
NA,Elaeocarpus dewildei,elaeo,Weibel (1980) Candollea 35_Mark Coode data,8.5_9,NA,8.5_9,cream,NA,Sumatra,1800_2800
NA,Elaeocarpus dictyophlebius,elaeo,Mark Coode data,7_7,NA,8_8,NA,NA,Borneo,2000_2300
NA,Elaeocarpus dinagatensis,elaeo,J. Arnold Arbor. 32: 162 (1951),NA,NA,NA,NA,NA,Dinagat_Bucas Grande,NA
MC says = part of polydactylus,Elaeocarpus divaricativenus,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus dolichobotrys,elaeo,Mark Coode data,6,NA,6_8,NA,NA,Borneo,30_1500
NA,Elaeocarpus dolichodactylus,elaeo,Coode (1977) Brunonia 1_Mark Coode data,2_3,NA,1.7_3.5,NA,NA,New Guinea,1_1860
NA,Elaeocarpus dolichostylus,elaeo,Coode (1977) Brunonia 1_Mark Coode data,6_12,NA,9_16,NA,NA,Sulawesi_Sumatra_Malay Peninsula_Java_Bali_Lesser Sunda Islands_Borneo_Philippines_Sulawesi_Moluccas_New Guinea_Bismarck Archipelago_Solomon Islands_Nepal_Sikkim_Bhutan_Assam_Bangladesh_Eastern Peninsular India_Southern India_Burma_Andaman_Nicobar_Ceylon_Mauritius_Madagascar_Thailand_Vietnam_Laos_Cambodia,50_1830
"MC ""all Gilli species are synonyms but I do not know which one this is""",Elaeocarpus elaeagnoides,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
New Britain form' only in MC data,Elaeocarpus elatus,elaeo,Mark Coode data,6.5_7,NA,6_6.5,NA,NA,Bismarck Archipelago,1_390
NA,Elaeocarpus elmeri,elaeo,Mark Coode data,4.5_5.5,NA,5.5_7,NA,NA,Philippines,300
NA,Elaeocarpus erdinii,elaeo,Coode (2001) Kew Bull. 56,5,NA,5.5_6.5,NA,NA,Central Sulawesi,1050_1230
NA,Elaeocarpus eriobotryoides,elaeo,Mark Coode data,6,NA,6_6.5,NA,NA,Peninsular Malaysia,1200_1500
NA,Elaeocarpus euneurus,elaeo,Coode (1996) Kew Bull. 51(2)_Mark Coode data,3_4,NA,3.5_4,NA,NA,Borneo,1_650
NA,Elaeocarpus eymae,elaeo,Coode (1995) Kew Bull. 50(2),NA,NA,NA,NA,NA,Sulawesi,2800_3000
NA,Elaeocarpus fairchildii,elaeo,Mark Coode data,7.5_8.5,NA,9.5_10,NA,NA,Moluccas_New Guinea,10_600
NA,Elaeocarpus ferrugineus,elaeo,Coode (1996) Kew Bull. 51(2)_Mark Coode data,3_6,NA,3.5_6,NA,NA,Peninsular Malaysia_Borneo_Sumatra_Java_Lesser Sunda islands,1_2100
NA,Elaeocarpus filiformidentatus,elaeo,Mark Coode data,7_8.5,NA,7_9,NA,NA,New Guinea,1800_2280
NA,Elaeocarpus finisterrae,elaeo,Coode (1977) Brunonia 1_Bot. Jahrb. Syst. 54(2) (1916),1.7,NA,2.4,NA,NA,N.E. New Guinea,1200_1370
NA,Elaeocarpus firdausii,elaeo,Brambach et al. (2016) Phytokeys 62,5_8,NA,6.5_7.5,ivory,NA,Central Sulawesi,2150_2400
NA,Elaeocarpus firmus,elaeo,Repert. Spec. Nov. Regni Veg. 48: 75 (1940),NA,NA,NA,NA,NA,Papua New Guinea,1700
"MC says type lost, probably habbemensis",Elaeocarpus flavescens,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus floresii,elaeo,Weibel (1980) Candollea 35,8,NA,9_10,NA,NA,Flores_Sumbawa,NA
NA,Elaeocarpus floribundus,elaeo,Mark Coode data,4_6,NA,4.5_6.5,NA,NA,Sumatra_Malay Peninsula_Java_Bali_Lesser Sunda Islands_Borneo_Philippines_Sulawesi,20_1000
NA,Elaeocarpus floridanus,elaeo,Mark Coode data,6_7,NA,6_7.5,NA,NA,New Guinea_Bismarck Archipelago_Solomon Islands,1_660
NA,Elaeocarpus forbesii,elaeo,Mark Coode data,6.5_7,NA,7_8.5,NA,NA,Philippines,NA
NA,Elaeocarpus foxworthyi,elaeo,Mark Coode data,5_7,NA,6_8,NA,NA,Philippines,75
NA,Elaeocarpus fraseri,elaeo,Mark Coode data,4.5_6,NA,4.5_6,NA,NA,Peninsular Malaysia,1200_1230
"MC ""fairly sure this is Aceratium oppositifolium""",Elaeocarpus fruticosus,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus fulgens,elaeo,J. Arnold Arbor. 25: 269 (1944),NA,NA,NA,NA,NA,New Guinea,1150
NA,Elaeocarpus fulvus,elaeo,Leafl. Philipp. Bot. iv. 1179 (1911),5,NA,7,yellowish white,NA,Mindanao,1143
s.s. data only,Elaeocarpus fuscoides,elaeo,Mark Coode data,9_11,NA,9_11,NA,NA,New Guinea,1400_2040
"MC ""type lost, perhaps trichophyllus""",Elaeocarpus fuscus,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus gambutanus,elaeo,Coode (1995) Kew Bull. 50(2),4.5_5,NA,4.5_5,white,NA,N. Sulawesi,1420
"MC ""insufficiently known""",Elaeocarpus gammillii,elaeo,Repert. Spec. Nov. Regni Veg. 50: 83 (1941),NA,NA,NA,NA,NA,Guimaras,NA
NA,Elaeocarpus gardneri,elaeo,Mark Coode data,8_11,NA,11_12,NA,NA,New Guinea,1700_2200
NA,Elaeocarpus gigantifolius,elaeo,Mark Coode data,6.5_6.5,NA,6_7,NA,NA,Philippines,750
MC says = E. elmeri,Elaeocarpus gitingensis,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus glaber,elaeo,Mark Coode data,5_5,NA,4.5_5.5,NA,NA,Sumatra_Java_Bali_Lesser Sunda Islands_Borneo_Sulawesi,1_1050
NA,Elaeocarpus glaberrimus,elaeo,Mark Coode data,7_8,NA,7_8,NA,NA,Borneo,1400_2370
NA,Elaeocarpus grandiflorus,elaeo,Mark Coode data,15_17,NA,15_20,NA,NA,Sumatra_Malay Peninsula_Java_Bali_Lesser Sunda Islands_Philippines,100_1500
s.s. data only,Elaeocarpus griffithii,elaeo,Mark Coode data,7_8,NA,7_11,NA,NA,Sumatra_Malay Peninsula_Borneo,1_75_600
NA,Elaeocarpus gustaviifolius,elaeo,Mark Coode data,14_15.5,NA,13_14,NA,NA,Borneo,1500_2100
NA,Elaeocarpus habbemensis,elaeo,Mark Coode data,7_8.2,NA,7_8,NA,NA,New Guinea,1950_2400
NA,Elaeocarpus halconensis,elaeo,Philipp. J. Sci. 26: 470 (1925),8,NA,7_8,NA,NA,Mindoro,1000
NA,Elaeocarpus hallieri,elaeo,Weibel (1975) Candollea 30_Mark Coode data,8.5_9,NA,6,NA,NA,Kalimantan,200_1020
NA,Elaeocarpus hartleyi,elaeo,Weibel (1971) Candollea 26(2)_Mark Coode data,4.5_5,NA,4.5_5.5,NA,NA,New Guinea,500_600
NA,Elaeocarpus harunii,elaeo,Coode (2001) Kew Bull. 56,NA,NA,NA,NA,NA,Minahasa Peninsula (Sulawesi),1900
"MC ""insufficiently known""",Elaeocarpus hebecarpus,elaeo,Bot. Mag. (Tokyo) 56: 318 (1942),NA,NA,NA,NA,NA,Nabire (W. New Guinea),400
NA,Elaeocarpus heptadactyloides,elaeo,Weibel (1971) Candollea 26(2)_Mark Coode data,2_2.5,NA,2.2_2.5,NA,NA,New Guinea,60_600
NA,Elaeocarpus hochreutineri,elaeo,Weibel (1975) Candollea 30_Mark Coode data,4.5_5,NA,5_6,NA,NA,Borneo,400_1700
no descrip,Elaeocarpus homalioides,elaeo,Coode (1977) Brunonia 1,NA,NA,NA,NA,NA,Sepik,1000_1500
MC says = E. longifolius,Elaeocarpus hypadenus,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus ilocanus,elaeo,Philipp. J. Sci. 14: 418 (1919),7,NA,7_8,pink,NA,Luzon,1000
NA,Elaeocarpus inopinatus,elaeo,Coode (1994) Kew Bull. 49,7_8,NA,6_7,pale green,NA,Mt Kinabalu (Sabah),1676
NA,Elaeocarpus inopportunus,elaeo,Coode (1995) Kew Bull. 50(2),3.5,NA,2.4_4,NA,NA,Sulawesi,1000
NA,Elaeocarpus insignis,elaeo,Bull. Misc. Inform. Kew 1938: 231 (1938)_from specimen G00301920,8,NA,NA,NA,NA,Sarawak,NA
NA,Elaeocarpus integripetalus,elaeo,from specimen U0001666,4.2_5,NA,NA,NA,NA,Sumatra,NA
MC says = E. calomala s.s.,Elaeocarpus isotrichus,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus jacobsii,elaeo,Coode (1996) Kew Bull. 51(2)_Mark Coode data,4.5,NA,4_6,NA,NA,Sarawak,330_1100
NA,Elaeocarpus jugahanus,elaeo,Mark Coode data,4_5,NA,4_5,NA,NA,Borneo,50_1350
NA,Elaeocarpus kalabitii,elaeo,Weibel (1980) Candollea 35_Mark Coode data,2.5_3.5,NA,3_4,yellowish,NA,Borneo,1400_1950
NA,Elaeocarpus kaniensis,elaeo,Coode (1977) Brunonia 1_Mark Coode data,4.5_6.5,NA,6_9,NA,NA,New Guinea,600_1200
NA,Elaeocarpus kinabaluensis,elaeo,Mark Coode data,6.5_6.5,NA,5_6.5,NA,NA,Borneo,1660_2400
NA,Elaeocarpus kjellbergii,elaeo,Coode (1996) Kew Bull. 51(1),9_10,NA,10_12,translucent,NA,Sulawesi,2500
NA,Elaeocarpus knuthii,elaeo,Mark Coode data,2.5_4.5,NA,3.5_5,NA,NA,Sarawak_Sabah_Brunei_Peninsular Malaysia,900_1650
NA,Elaeocarpus kostermansii,elaeo,Weibel (1975) Candollea 30_Mark Coode data,6_7,NA,6_7,NA,NA,Borneo,40_650
NA,Elaeocarpus kraengensis,elaeo,Coode (1995) Kew Bull. 50(2),5_6,NA,4_5,NA,NA,S.W. Sulawesi,2500
NA,Elaeocarpus kunstleri,elaeo,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 60(1): 132 (1891)",NA,NA,NA,NA,NA,Peninsular Malaysia,305
"MC says not Malesia. POWO says Peninsular Malaysia, Flora of China says Peninsular Malaysia",Elaeocarpus lacunosus,elaeo,"Wu, Z., Raven, P.H. & Hong, D. (eds.) (2007)",4_5,NA,NA,NA,NA,Yunnan_Cambodia_Vietnam_Laos_Thailand_Myanmar_Peninsular Malaysia,1400_2600
NA,Elaeocarpus lagunensis,elaeo,Mark Coode data,5_7,NA,5_7,NA,NA,Philippines,500_900
NA,Elaeocarpus lancistipulatus,elaeo,Coode (1995) Kew Bull. 50(2),4.5_5,NA,3.5_5.5,cream,NA,N. Sulawesi,1500
NA,Elaeocarpus lanipae,elaeo,Weibel (1971) Candollea 26(2),3.5,NA,3.6,NA,NA,S.W. Sulawesi,NA
NA,Elaeocarpus latescens,elaeo,Mark Coode data,4_5,NA,4_6,NA,NA,New Guinea,2040_2400
NA,Elaeocarpus lawasii,elaeo,Weibel (1975) Candollea 30_Mark Coode data,6_8,NA,8_10,NA,NA,Sarawak,2100
MC says = E. elmeri,Elaeocarpus laxirameus,elaeo,NA,NA,NA,NA,NA,NA,NA,NA
NA,Elaeocarpus ledermannii,elaeo,Mark Coode data,5_8,NA,5_7.5,NA,NA,Moluccas_New Guinea_Bismarck Archipelago,1_900
NA,Elaeocarpus leopoldii,elaeo,Weibel (1980) Candollea 35,6.5,NA,7,white-yellow,NA,Sabah,1400_1500
NA,Elaeocarpus leucanthus,elaeo,Coode (1977) Brunonia 1_Mark Coode data,7_8,NA,8_10,NA,NA,New Guinea,15_1600
NA,Elaeocarpus leytensis,elaeo,"Philipp. J. Sci., C 8: 383 (1913)",8,NA,8,white,NA,Leyte (Philippines),NA
