"binomial_name","Family","Genus","Species","history","species_origin","logging_status"
"Canarium unknown mixed","Burseraceae","Canarium","unknown mixed","NA","CP","logged"
"Carallia borneensis","Rhizophoraceae","Carallia","borneensis","NA","50ha","unlogged"
"Carallia species 1","Rhizophoraceae","Carallia","species 1","NA","50ha","unlogged"
"Caryodaphnopsis tonkinensis","Lauraceae","Caryodaphnopsis","tonkinensis","NA","50ha, CP","both"
"Casearia grewiifolia","Sapindaceae","Casearia","grewiifolia","NA","50ha, CP","both"
"Castanopsis hypophoenicea","Fagaceae","Castanopsis","hypophoenicea","NA","50ha, CP","both"
"Castanopsis motleyana","Fagaceae","Castanopsis","motleyana","NA","CP","logged"
"Castanopsis unknown mixed","Fagaceae","Castanopsis","unknown mixed","NA","50ha","unlogged"
"Chionanthus curvicarpus","Oleaceae","Chionanthus","curvicarpus","NA","50ha","unlogged"
"Chionanthus macrocarpus","Oleaceae","Chionanthus","macrocarpus","NA","50ha","unlogged"
"Chionanthus pluriflorus","Oleaceae","Chionanthus","pluriflorus","NA","50ha, CP","both"
"Chionanthus unknown mixed","Oleaceae","Chionanthus","unknown mixed","NA","50ha, CP","both"
"Chisocheton ceramicus","Meliaceae","Chisocheton","ceramicus","NA","50ha","unlogged"
"Chisocheton macranthus","Meliaceae","Chisocheton","macranthus","NA","50ha, CP","both"
"Chisocheton patens","Meliaceae","Chisocheton","patens","NA","50ha, CP","both"
"Chisocheton pentandrus","Meliaceae","Chisocheton","pentandrus","NA","50ha, CP","both"
"Chisocheton polyandrus","Meliaceae","Chisocheton","polyandrus","NA","50ha","unlogged"
"Chisocheton sarawakensis","Meliaceae","Chisocheton","sarawakensis","NA","50ha, CP","both"
"Chisocheton unknown mixed","Meliaceae","Chisocheton","unknown mixed","NA","50ha, CP","both"
"Cinnamomum griffithii","Lauraceae","Cinnamomum","griffithii","NA","50ha, CP","both"
"Cinnamomum racemosum","Lauraceae","Cinnamomum","racemosum","NA","50ha","unlogged"
"Cinnamomum unknown mixed","Lauraceae","Cinnamomum","unknown mixed","NA","50ha, CP","both"
"Clausena excavata","Rutaceae","Clausena","excavata","NA","50ha, CP","both"
"Clausena unknown","Rutaceae","Clausena","unknown","NA","50ha","unlogged"
"Cleistanthus hirsutulus","Phyllanthaceae","Cleistanthus","hirsutulus","NA","50ha, CP","both"
"Cleistanthus myrianthus","Phyllanthaceae","Cleistanthus","myrianthus","NA","CP","logged"
"Cleistanthus podopixys","Phyllanthaceae","Cleistanthus","podopixys","NA","50ha, CP","both"
"Cleistanthus species 2","Phyllanthaceae","Cleistanthus","species 2","NA","50ha","unlogged"
"Cleistanthus unknown mixed","Phyllanthaceae","Cleistanthus","unknown mixed","NA","50ha, CP","both"
"Coelostegia borneensis","Malvaceae","Coelostegia","borneensis","NA","50ha, CP","both"
"Cowiea borneensis","Rubiaceae","Cowiea","borneensis","NA","50ha","unlogged"
"Crateva magna","Capparaceae","Crateva","magna","NA","50ha","unlogged"
"Cratoxylum cochinchinense","Clusiaceae","Cratoxylum","cochinchinense","NA","50ha","unlogged"
"Cratoxylum unknown mixed","Hypericaceae","Cratoxylum","unknown mixed","NA","CP","logged"
"Croton argyratus","Euphorbiaceae","Croton","argyratus","NA","CP","logged"
"Croton oblongus","Euphorbiaceae","Croton","oblongus","NA","50ha","unlogged"
"Croton unknown mixed","Euphorbiaceae","Croton","unknown mixed","NA","50ha","unlogged"
"Crudia reticulata","Fabaceae-caesalpinioideae","Crudia","reticulata","NA","50ha","unlogged"
"Crudia tenuipes","Fabaceae","Crudia","tenuipes","NA","50ha, CP","both"
"Crudia unknown mixed","Fabaceae","Crudia","unknown mixed","NA","CP","logged"
"Crypteronia griffithii","Crypteroniaceae","Crypteronia","griffithii","NA","50ha","unlogged"
"Cryptocarya erectinervia","Lauraceae","Cryptocarya","erectinervia","NA","50ha, CP","both"
"Cryptocarya pulchrinervia","Lauraceae","Cryptocarya","pulchrinervia","NA","50ha, CP","both"
"Cryptocarya strictifolia","Lauraceae","Cryptocarya","strictifolia","NA","CP","logged"
"Cryptocarya teysmanniana","Lauraceae","Cryptocarya","teysmanniana","NA","50ha","unlogged"
"Cryptocarya unknown mixed","Lauraceae","Cryptocarya","unknown mixed","NA","CP","logged"
"Cyathocalyx magnifructus","Annonaceae","Cyathocalyx","magnifructus","NA","50ha, CP","both"
"Cynometra elmeri","Fabaceae-caesalpinioideae","Cynometra","elmeri","NA","50ha","unlogged"
"Cynometra mirabilis","Fabaceae","Cynometra","mirabilis","NA","50ha, CP","both"
"Dacryodes laxa","Burseraceae","Dacryodes","laxa","NA","50ha","unlogged"
"Dacryodes rostrata","Burseraceae","Dacryodes","rostrata","NA","50ha, CP","both"
"Dacryodes rugosa","Burseraceae","Dacryodes","rugosa","NA","50ha, CP","both"
"Dacryodes species 1","Burseraceae","Dacryodes","species 1","NA","50ha","unlogged"
"Dacryodes unknown mixed","Burseraceae","Dacryodes","unknown mixed","NA","CP","logged"
"Decaspermum parviflorum","Myrtaceae","Decaspermum","parviflorum","NA","50ha","unlogged"
"Dehaasia caesia","Lauraceae","Dehaasia","caesia","NA","50ha, CP","both"
"Dehaasia gigantocarpa","Lauraceae","Dehaasia","gigantocarpa","NA","50ha","unlogged"
"Dehaasia incrassata","Lauraceae","Dehaasia","incrassata","NA","50ha, CP","both"
"Dehaasia unknown mixed","Lauraceae","Dehaasia","unknown mixed","NA","50ha, CP","both"
"Dendrocnide elliptica","Urticaceae","Dendrocnide","elliptica","NA","50ha, CP","both"
"Dendrocnide stimulans","Urticaceae","Dendrocnide","stimulans","NA","50ha","unlogged"
"Dendrocnide unknown mixed","Urticaceae","Dendrocnide","unknown mixed","NA","50ha, CP","both"
"Dialium indum","Fabaceae-caesalpinioideae","Dialium","indum","NA","50ha","unlogged"
"Dialium unknown mixed","Fabaceae-caesalpinioideae","Dialium","unknown mixed","NA","50ha","unlogged"
"Dillenia borneensis","Dilleniaceae","Dillenia","borneensis","NA","50ha","unlogged"
"Dillenia excelsa","Dilleniaceae","Dillenia","excelsa","NA","50ha, CP","both"
"Dillenia species 1","Dilleniaceae","Dillenia","species 1","NA","50ha, CP","both"
"Dimocarpus dentatus","Sapindaceae","Dimocarpus","dentatus","NA, Unlogged","50ha, CP, IF","both"
"Dimocarpus fumatus","Sapindaceae","Dimocarpus","fumatus","NA","50ha","unlogged"
"Dimocarpus longan","Sapindaceae","Dimocarpus","longan","NA, ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF","both"
"Dimorphocalyx murinus","Euphorbiaceae","Dimorphocalyx","murinus","NA","50ha, CP","both"
"Diospyros andamanica","Ebenaceae","Diospyros","andamanica","NA","50ha, CP","both"
"Diospyros borneensis","Ebenaceae","Diospyros","borneensis","NA","50ha","unlogged"
"Diospyros cauliflora","Ebenaceae","Diospyros","cauliflora","NA","50ha, CP","both"
"Diospyros curranii","Ebenaceae","Diospyros","curranii","NA","50ha, CP","both"
"Diospyros daemona","Ebenaceae","Diospyros","daemona","NA","50ha","unlogged"
"Diospyros dictyoneura","Ebenaceae","Diospyros","dictyoneura","NA","50ha, CP","both"
"Diospyros diepenhorstii","Ebenaceae","Diospyros","diepenhorstii","NA","50ha","unlogged"
"Diospyros elliptifolia","Ebenaceae","Diospyros","elliptifolia","NA","50ha, CP","both"
"Diospyros euphlebia","Ebenaceae","Diospyros","euphlebia","NA","50ha, CP","both"
"Diospyros frutescens","Ebenaceae","Diospyros","frutescens","NA","50ha, CP","both"
"Diospyros macrophylla","Ebenaceae","Diospyros","macrophylla","NA","50ha, CP","both"
