unique_plot,station,plot,coupe,location,climate_recorded,logged,history,logging_method,logging_intensity,logging_year,latco,longco,census
47_1,47,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
47_2,47,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
47_3,47,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
48_1,48,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
48_2,48,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
48_3,48,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
49_1,49,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
49_2,49,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
49_3,49,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
50_1,50,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
50_2,50,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
50_3,50,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
51_1,51,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
51_2,51,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
51_3,51,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
52_1,52,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
52_2,52,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
52_3,52,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
53_1,53,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
53_2,53,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
53_3,53,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
54_1,54,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
54_2,54,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
54_3,54,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
55_1,55,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
55_2,55,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
55_3,55,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
56_1,56,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
56_2,56,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
56_3,56,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
57_1,57,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
57_2,57,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
57_3,57,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
58_1,58,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
58_2,58,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
58_3,58,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
59_1,59,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
59_2,59,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
59_3,59,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
60_1,60,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
60_2,60,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
60_3,60,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
61_1,61,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
61_2,61,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
61_3,61,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
62_1,62,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
62_2,62,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
62_3,62,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
63_1,63,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
63_2,63,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
63_3,63,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
64_1,64,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
64_2,64,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
64_3,64,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
65_1,65,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
65_2,65,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
65_3,65,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
66_1,66,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
66_2,66,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
66_3,66,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
67_1,67,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
67_2,67,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
67_3,67,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
68_1,68,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
68_2,68,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
68_3,68,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
69_1,69,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
69_2,69,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
69_3,69,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
70_1,70,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
70_2,70,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
70_3,70,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
71_1,71,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
71_2,71,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
71_3,71,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
72_1,72,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
72_2,72,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
72_3,72,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
73_1,73,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
73_2,73,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
73_3,73,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
74_1,74,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
74_2,74,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
74_3,74,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
75_1,75,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
75_2,75,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
75_3,75,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
76_1,76,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
76_2,76,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
76_3,76,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
77_1,77,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
77_2,77,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
77_3,77,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
78_1,78,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
78_2,78,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
78_3,78,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
