family ,genus,species,history_at_INDFORSUS_site,species_origin,logging_status,
Ebenaceae,Diospyros,andamanica,NA,"50ha, CP",both,
Ebenaceae,Diospyros,borneensis,NA,50ha,unlogged,
Ebenaceae,Diospyros,cauliflora,NA,"50ha, CP",both,
Ebenaceae,Diospyros,curranii,NA,"50ha, CP",both,
Ebenaceae,Diospyros,daemona,NA,50ha,unlogged,
Ebenaceae,Diospyros,dictyoneura,NA,"50ha, CP",both,
Ebenaceae,Diospyros,diepenhorstii,NA,50ha,unlogged,
Ebenaceae,Diospyros,elliptifolia,NA,"50ha, CP",both,
Ebenaceae,Diospyros,euphlehia,NA,"50ha, CP",both,
Ebenaceae,Diospyros,frutescens,NA,"50ha, CP",both,
Ebenaceae,Diospyros,peregrina,NA,"50ha, CP",both,
Ebenaceae,Diospyros,muricata,NA,"50ha, CP",both,
Ebenaceae,Diospyros,oblonga,NA,"50ha, CP",both,
Ebenaceae,Diospyros,pyrrhocarpa,NA,50ha,unlogged,
Ebenaceae,Diospyros,species 1,NA,50ha,unlogged,
Ebenaceae,Diospyros,species 2,NA,50ha,unlogged,
Ebenaceae,Diospyros,species 3,NA,50ha,unlogged,
Ebenaceae,Diospyros,species 4,NA,50ha,unlogged,
Ebenaceae,Diospyros,species 6,NA,50ha,unlogged,
Ebenaceae,Diospyros,species 7,NA,50ha,unlogged,
Ebenaceae,Diospyros,squamifolia ,NA,50ha,unlogged,
Ebenaceae,Diospyros,toposia,NA,"50ha, CP",both,
Ebenaceae,Diospyros,tuberculata,NA,"50ha, CP",both,
Ebenaceae,Diospyros,unknown mixed,NA,CP,logged,
Ebenaceae,Diospyros,wallichii,NA,50ha,unlogged,
Rubiaceae,Discospermum,malaccense,NA,"50ha, CP",both,
Rubiaceae,Diplospora,unknown mixed,NA,50ha,unlogged,
Dipterocarpaceae,Dipterocarpus,applanatus,NA,CP,logged,
Dipterocarpaceae,Dipterocarpus,caudifer,"NaturalRegeneration, ActiveRestoration","CP, IF",logged,
Dipterocarpaceae,Dipterocarpus,unknown mixed,NA,CP,logged,
Anacardiaceae,Dracontomelon,costatum,NA,50ha,unlogged,
Anacardiaceae,Dracontomelon,dao,NA,"50ha, CP",both,
Anacardiaceae,Dracontomelon,unknown mixed,NA,50ha,unlogged,
Annonaceae,Drepananthus,havilandii,NA,CP,logged,
Dipterocarpaceae,Dryobalanops,lanceolata,"ActiveRestoration, Unlogged","50ha, CP, IF",both,
Putranjivaceae,Drypetes,castilloi,NA,"50ha, CP",both,
Putranjivaceae,Drypetes,eriocarpa,NA,"50ha, CP",both,
Putranjivaceae,Drypetes,longifolia,NA,"50ha, CP",both,
