family ,genus,species,history_at_INDFORSUS_site,species_origin,logging_status,
Anacardiaceae,Mangifera,odorata,NA,50ha,unlogged,
Anacardiaceae,Mangifera,pajang,NA,"50ha, CP",both,
Anacardiaceae,Mangifera,rufocostata,NA,50ha,unlogged,
Anacardiaceae,Mangifera,species 1,NA,50ha,unlogged,
Anacardiaceae,Mangifera,swintonioides,NA,50ha,unlogged,
Anacardiaceae,Mangifera,unknown mixed,NA,"50ha, CP",both,
Chrysobalanaceae,Maranthes,corymbosa,NA,50ha,unlogged,
Annonaceae,Marsypopetalum,pallidum,NA,50ha,unlogged,
Rubiaceae,Urophyllum ,corymbosum,NA,CP,logged,
Nyssaceae,Mastixia,trichotoma,NA,"50ha, CP",both,
Annonaceae,Meiogyne,virgata,NA,"50ha, CP",both,
Anacardiaceae,Melanochyla,auriculata,NA,50ha,unlogged,
Anacardiaceae,Melanochyla,beccariana,NA,"50ha, CP",both,
Anacardiaceae,Melanochyla,unknown mixed,NA,50ha,unlogged,
Melastomataceae,Melastoma,malabathricum,NA,50ha,unlogged,
Rutaceae,Melicope ,lunu-ankenda,NA,CP,logged,
Rutaceae,Melicope ,unknown mixed,NA,CP,logged,
Sabiaceae,Meliosma,pinnata,NA,"50ha, CP",both,
Sabiaceae,Meliosma,sumatrana,NA,"50ha, CP",both,
Melastomataceae,Memecylon,paniculatum,NA,"50ha, CP",both,
Melastomataceae,Memecylon,lilacinum,NA,50ha,unlogged,
Melastomataceae,Memecylon,oleifolium,NA,50ha,unlogged,
Melastomataceae,Memecylon,paniculatum,NA,"50ha, CP",both,
Melastomataceae,Memecylon, species 1,NA,50ha,unlogged,
Melastomataceae,Memecylon,species 2,NA,50ha,unlogged,
Melastomataceae,Memecylon,species 3,NA,50ha,unlogged,
Rutaceae,Merope,angulata,NA,50ha,unlogged,
Calophyllaceae,Kayea,borneensis,NA,50ha,unlogged,
Calophyllaceae,Kayea,macrantha,NA,50ha,unlogged,
Clusiaceae,Mesua,unknown mixed,NA,50ha,unlogged,
Malvaceae,Microcos,antidesmifolia,NA,50ha,unlogged,
Malvaceae,Microcos,crassifolia,NA,"50ha, CP",both,
Malvaceae,Microcos,fibrocarpa,NA,"50ha, CP",both,
Malvaceae,Microcos,latistipulata,NA,"50ha, CP",both,
Malvaceae,Microcos,ossea,NA,"50ha, CP",both,
Malvaceae,Microcos,unknown mixed,NA,"50ha, CP",both,
Sapindaceae,Mischocarpus,pentapetalus,NA,50ha,unlogged,
Rutaceae,Monanthocitrus,oblanceolata,NA,50ha,unlogged,
Annonaceae,Monocarpia,borneensis,NA,50ha,unlogged,
Annonaceae,Monoon,erianthoides,NA,"50ha, CP",both,
Annonaceae,Monoon,grandiflorum,NA,"50ha, CP",both,
Annonaceae,Monoon,hookerianum,NA,"50ha, CP",both,
Annonaceae,Monoon,species 1,NA,50ha,unlogged,
Annonaceae,Monoon,species 2,NA,50ha,unlogged,
Annonaceae,Monoon,xanthopetalum,NA,50ha,unlogged,
Myristicaceae,Myristica,cinnamomea,NA,50ha,unlogged,
Rubiaceae,Myrmeconauclea,strigosa,NA,50ha,unlogged,
Rubiaceae,Nauclea,sp1,NA,CP,logged,
Rubiaceae,Nauclea,subdita,NA,CP,logged,
Rubiaceae,Nauclea,unknown mixed,NA,"50ha, CP",both,
Malvaceae,Neesia,synandra,NA,"50ha, CP",both,
Malvaceae,Neesia,unknown mixed,NA,CP,logged,
Annonaceae,Neo-Uvaria,acuminatissima,NA,50ha,unlogged,
Annonaceae,Neo-Uvaria,unknown mixed,NA,50ha,unlogged,
Annonaceae,Neo-Uvaria,acuminatissima,NA,CP,logged,
Rubiaceae,Neolamarckia,cadamba,NA,"50ha, CP",both,
Rubiaceae,Neonauclea ,gigantea,NA,CP,logged,
Rubiaceae,Neonauclea,sp,NA,CP,logged,
Rubiaceae,Neonauclea,sp1,NA,CP,logged,
Euphorbiaceae,Neoscortechinia,kingii,NA,"50ha, CP",both,
Sapindaceae,Nephelium,cuspidatum,NA,"50ha, CP",both,
Sapindaceae,Nephelium,maingayi,NA,"50ha, CP",both,
Sapindaceae,Nephelium,ramboutan-ake,NA,"50ha, CP",both,
Lauraceae,Nothaphoebe,canescens,NA,"50ha, CP",both,
Lauraceae,Nothaphoebe,heterophylla,NA,50ha,unlogged,
Lauraceae,Nothaphoebe,unknown,NA,50ha,unlogged,
Lauraceae,Nothaphoebe,umbelliflora,NA,"50ha, CP",both,
Lauraceae,Nothaphoebe,unknown mixed,NA,CP,logged,
Nyssaceae,Nyssa,javanica,NA,50ha,unlogged,
Olacaceae,Ochanostachys,amentacea,NA,"50ha, CP",both,
Tetramelaceae,Octomeles,sumatrana,NA,"50ha, CP",both,
Urticaceae,Oreocnide,trinervis,NA,50ha,unlogged,
Fabaceae,Ormosia,bancana,NA,"50ha, CP",both,
Annonaceae,Orophea,corymbosa,NA,"50ha, CP",both,
Annonaceae,Orophea,creaghii,NA,50ha,unlogged,
Annonaceae,Orophea,myriantha,NA,"50ha, CP",both,
Sapotaceae,Palaquium,beccarianum,NA,"50ha, CP",both,
Sapotaceae,Palaquium,dasyphyllum,NA,"50ha, CP",both,
Sapotaceae,Palaquium,maingayi,NA,"50ha, CP",both,
Sapotaceae,Palaquium,sericeum,NA,50ha,unlogged,
Sapotaceae,Palaquium,unknown mixed,NA,50ha,unlogged,
Achariaceae,Pangium,edule,NA,50ha,unlogged,
Sapindaceae,Paranephelium,macrophyllum,NA,"50ha, CP",both,
Sapindaceae,Paranephelium,xestophyllum,NA,"50ha, CP",both,
Dipterocarpaceae,Parashorea,malaanonan,"ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF",both,
Dipterocarpaceae,Parashorea,tomentella,"NaturalRegeneration, Unlogged","50ha, CP, IF",both,
Chrysobalanaceae,Parastemon,urophyllus,NA,50ha,unlogged,
Chrysobalanaceae,Parinari,excelsa,NA,"50ha, CP",both,
Chrysobalanaceae,Parinari,oblongifolia,NA,"50ha, CP",both,
Chrysobalanaceae,Parinari,unknown mixed,NA,"50ha, CP",both,
Fabaceae,Parkia,speciosa,NA,50ha,unlogged,
Fabaceae,Parkia,unknown mixed,NA,CP,logged,
Rubiaceae,Pavetta,wallichiana,NA,50ha,unlogged,
Sapotaceae,Payena,Unknown species1,NA,50ha,unlogged,
Sapotaceae,Payena,acuminata,NA,"50ha, CP",both,
Sapotaceae,Payena,microphylla,NA,"50ha, CP",both,
Sapotaceae,Payena,unknown mixed,NA,CP,logged,
Fabaceae,Peltophorum,racemosum,NA,"50ha, CP",both,
Malvaceae,Pentace,adenophora,NA,"50ha, CP",both,
Malvaceae,Pentace,laxiflora,"NaturalRegeneration, Unlogged","50ha, CP, IF",both,
Malvaceae,Pentace,unknown mixed,NA,CP,logged,
Annonaceae,Phaeanthus,ophthalmicus,NA,50ha,unlogged,
Annonaceae,Phaeanthus,splendens,NA,"50ha, CP",both,
Thymelaeaceae,Phaleria ,capitata,NA,CP,logged,
Lauraceae,Phoebe,grandis,NA,50ha,unlogged,
Lecythidaceae,Planchonia,brevistipitata,NA,"50ha, CP",both,
Lecythidaceae,Planchonia,unknown,NA,50ha,unlogged,
Lecythidaceae,Planchonia,unknown mixed,NA,CP,logged,
Lecythidaceae,Planchonia,valida,NA,50ha,unlogged,
Rubiaceae,Urophyllum,sandahanicum,NA,"50ha, CP",both,
Annonaceae,Polyalthia,borneensis,NA,50ha,unlogged,
Annonaceae,Polyalthia,cauliflora,NA,"50ha, CP",both,
Annonaceae,Polyalthia,insignis,NA,50ha,unlogged,
Annonaceae,Polyalthia,microtus,NA,50ha,unlogged,
Annonaceae,Polyalthia,obliqua,NA,"50ha, CP",both,
Annonaceae,Polyalthia,saprosma,NA,50ha,unlogged,
Annonaceae,Polyalthia,species 3,NA,50ha,unlogged,
Escalloniaceae,Polyosma,integrifolia,NA,50ha,unlogged,
Sapindaceae,Pometia,pinnata,NA,"50ha, CP",both,
Annonaceae,Popowia,hirta,NA,50ha,unlogged,
Annonaceae,Popowia,odoardi,NA,50ha,unlogged,
Annonaceae,Popowia,pisocarpa,NA,50ha,unlogged,
Annonaceae,Popowia,unknown mixed,NA,50ha,unlogged,
Moraceae,Prainea,limpato,NA,50ha,unlogged,
Rubiaceae,Praravinia,suberosa,NA,50ha,unlogged,
Rubiaceae,Praravinia,unknown mixed,NA,50ha,unlogged,
Rubiaceae,Praravinia,verruculosa,NA,50ha,unlogged,
Rubiaceae,Prismatomeris,beccariana,NA,50ha,unlogged,
Rubiaceae,Prismatomeris,species 1,NA,50ha,unlogged,
Rosaceae,Prunus,polystachya,NA,CP,logged,
Rosaceae,Prunus,unknown mixed,NA,CP,logged,
Annonaceae,Pseuduvaria,pamattonis,NA,50ha,unlogged,
Annonaceae,Pseuduvaria,reticulata,NA,"50ha, CP",both,
Rubiaceae,Psychotria,species 1,NA,50ha,unlogged,
Rubiaceae,Psychotria,species 2,NA,50ha,unlogged,
Rubiaceae,Psydrax,dicoccos,NA,"50ha, CP",both,
Melastomataceae,Pternandra,coerulescens,NA,"50ha, CP",both,
Malvaceae,Pterospermum,javanicum,"ActiveRestoration, Unlogged","50ha, CP, IF",both,
Malvaceae,Pterospermum,subpeltatum,NA,50ha,unlogged,
Malvaceae,Pterospermum,unknown mixed,NA,CP,logged,
Malvaceae,Pterygota,alata,NA,CP,logged,
Euphorbiaceae,Ptychopyxis,arborea,NA,"50ha, CP",both,
Putranjivaceae,Putranjiva,roxburghii,NA,50ha,unlogged,
Theaceae,Pyrenaria,acuminata,NA,50ha,unlogged,
Fagaceae,Quercus,argentata,NA,50ha,unlogged,
Fagaceae,Quercus,unknown mixed,NA,50ha,unlogged,
Meliaceae,Reinwardtiodendron,humile,NA,"50ha, CP",both,
Rubiaceae,Rennellia,borneensis,NA,50ha,unlogged,
Violaceae,Rinorea,bengalensis,NA,50ha,unlogged,
Violaceae,Rinorea,congesta,NA,50ha,unlogged,
Violaceae,Rinorea,unknown,NA,50ha,unlogged,
Rubiaceae,Ridsdalea,pseudoternifolia,NA,"50ha, CP",both,
Achariaceae,Ryparosa,acuminata,NA,"50ha, CP",both,
Achariaceae,Ryparosa,hullettii,NA,"50ha, CP",both,
Achariaceae,Ryparosa,unknown mixed,NA,50ha,unlogged,
Annonaceae,Sageraea,elliptica,NA,CP,logged,
Annonaceae,Sageraea,lanceolata,NA,50ha,unlogged,
Annonaceae,Sageraea,sarawakensis,NA,50ha,unlogged,
Burseraceae,Santiria,laevigata,NA,"50ha, CP",both,
Burseraceae,Santiria,species 1,NA,50ha,unlogged,
Burseraceae,Santiria,tomentosa,NA,"50ha, CP",both,
Fabaceae,Saraca,declinata,NA,50ha,unlogged,
Actinidiaceae,Saurauia,agamae,NA,50ha,unlogged,
Actinidiaceae,Saurauia,sp,NA,50ha,unlogged,
Actinidiaceae,Saurauia,unknown mixed,NA,50ha,unlogged,
Malvaceae,Scaphium,longiflorum,NA,CP,logged,
Malvaceae,Scaphium,macropodum,NA,"50ha, CP",both,
Malvaceae,Scaphium,unknown mixed,NA,CP,logged,
Santalaceae,Scleropyrum,pentandrum,NA,50ha,unlogged,
Olacaceae,Scorodocarpus,borneensis,NA,"50ha, CP",both,
Anacardiaceae,Semecarpus,bunburyanus,NA,"50ha, CP",both,
Dipterocarpaceae,Anthoshorea,agamae,NA,"50ha, CP",both,
Dipterocarpaceae,Rubroshorea,argentifolia,NA,"50ha, CP",both,
Dipterocarpaceae,Shorea,atrinervosa,NA,"50ha, CP",both,
Dipterocarpaceae,Rubroshorea,beccariana,NA,CP,logged,
Dipterocarpaceae,Richetia,faguetiana,"Unlogged, ActiveRestoration, NaturalRegeneration","50ha, CP, IF",both,
Dipterocarpaceae,Rubroshorea,fallax,NaturalRegeneration,"CP, IF",logged,
Dipterocarpaceae,Rubroshorea,gibbosa,"ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF",both,
Dipterocarpaceae,Rubroshorea,johorensis,"ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF",both,
Dipterocarpaceae,Rubroshorea,leprosula,"ActiveRestoration, Unlogged","50ha, CP, IF",both,
Dipterocarpaceae,Shorea,leptoderma,NA,50ha,unlogged,
Dipterocarpaceae,Rubroshorea,macrophylla,ActiveRestoration,"CP, IF",logged,
Dipterocarpaceae,Rubroshorea,macroptera,NA,CP,logged,
Dipterocarpaceae,Rubroshorea,mecistopteryx,NA,CP,logged,
Dipterocarpaceae,Rubroshorea,ovalis,NA,CP,logged,
Dipterocarpaceae,Rubroshorea,ovata,NA,CP,logged,
Dipterocarpaceae,Rubroshorea,parvifolia,"ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF",both,
Dipterocarpaceae,Rubroshorea,pauciflora,"ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF",both,
Dipterocarpaceae,Shorea,seminis,Unlogged,"50ha, CP, IF",both,
Dipterocarpaceae,Shorea,sp,NA,CP,logged,
Dipterocarpaceae,Shorea,superba,NA,"50ha, CP",both,
Dipterocarpaceae,Anthoshorea,symingtonii,Unlogged,"50ha, IF",unlogged,
Dipterocarpaceae,Shorea,unknown mixed,NA,"50ha, CP",both,
Fabaceae,Sindora,irpicina,NA,"50ha, CP",both,
Elaeocarpaceae,Sloanea,javanica,NA,50ha,unlogged,
Euphorbiaceae,Spathiostemon,javensis,NA,"50ha, CP",both,
Stemonuraceae,Stemonurus,grandifolius,NA,"50ha, CP",both,
Stemonuraceae,Stemonurus,malaccensis,NA,50ha,unlogged,
Stemonuraceae,Stemonurus,scorpioides,NA,"50ha, CP",both,
Stemonuraceae,Stemonurus,unknown mixed,NA,"50ha, CP",both,
Malvaceae,Sterculia,lanceolata,NA,50ha,unlogged,
Malvaceae,Sterculia,cordata,NA,"50ha, CP",both,
Malvaceae,Sterculia,rubiginosa,NA,50ha,unlogged,
Malvaceae,Sterculia,stipulata,NA,50ha,unlogged,
Malvaceae,Sterculia,unknown mixed,NA,50ha,unlogged,
Moraceae,Paratrophis,glabra,NA,50ha,unlogged,
Olacaceae,Strombosia,ceylanica,NA,50ha,unlogged,
Euphorbiaceae,Suregada,multiflora,NA,50ha,unlogged,
Fabaceae,Sympetalandra,unijuga,NA,CP,logged,
Symplocaceae,Symplocos,fasciculata,NA,"50ha, CP",both,
Symplocaceae,Symplocos,odoratissima,NA,50ha,unlogged,
Symplocaceae,Symplocos,unknown mixed,NA,CP,logged,
Myrtaceae,Syzygium,barringtonioides,NA,50ha,unlogged,
Myrtaceae,Syzygium,christmannii,NA,50ha,unlogged,
Myrtaceae,Syzygium,creaghii,NA,50ha,unlogged,
Myrtaceae,Syzygium,elliptilimbum,NA,50ha,unlogged,
Myrtaceae,Syzygium,elopurae,NA,50ha,unlogged,
Myrtaceae,Syzygium,fastigiatum,NA,50ha,unlogged,
Myrtaceae,Syzygium,hirtum,NA,"50ha, CP",both,
Myrtaceae,Syzygium,imperiale,NA,50ha,unlogged,
Myrtaceae,Syzygium,kiauense,NA,50ha,unlogged,
Myrtaceae,Syzygium,kunstleri,NA,50ha,unlogged,
Myrtaceae,Syzygium,leptostemon,NA,50ha,unlogged,
Myrtaceae,Syzygium,panzeri,NA,50ha,unlogged,
Myrtaceae,Syzygium,penibukanense,NA,50ha,unlogged,
Myrtaceae,Syzygium,pustulatum,NA,50ha,unlogged,
Myrtaceae,Syzygium,scortechinii,NA,50ha,unlogged,
Myrtaceae,Syzygium,tawahense,NA,50ha,unlogged,
Myrtaceae,Syzygium,unknown mixed,NA,"50ha, CP",both,
Apocynaceae,Tabernaemontana,macrocarpa,NA,50ha,unlogged,
Apocynaceae,Tabernaemontana,pauciflora,NA,50ha,unlogged,
Apocynaceae,Tabernaemontana,unknown mixed,NA,50ha,unlogged,
Magnoliaceae,unknown,unknown,NA,CP,logged,
Magnoliaceae,unknown,unknown mixed,NA,CP,logged,
Lamiaceae,Teijsmanniodendron,bogoriense,NA,50ha,unlogged,
Lamiaceae,Teijsmanniodendron,pteropodum,NA,CP,logged,
Lamiaceae,Teijsmanniodendron,unknown mixed,NA,CP,logged,
Combretaceae,Terminalia,citrina,NA,50ha,unlogged,
Combretaceae,Terminalia,ivorensis,NA,50ha,unlogged,
Combretaceae,Terminalia,phellocarpa,NA,50ha,unlogged,
Combretaceae,Terminalia,species 1,NA,50ha,unlogged,
Combretaceae,Terminalia,species 2,NA,50ha,unlogged,
Rubiaceae,Timonius,lasianthoides,NA,50ha,unlogged,
Rubiaceae,Timonius,wallichianus,NA,50ha,unlogged,
Burseraceae,Triomma,malaccensis,NA,"50ha, CP",both,
Staphyleaceae,Dalrympelea,sphaerocarpa,NA,50ha,unlogged,
Annonaceae,Unknown,species 8,NA,CP,logged,
Annonaceae,Unknown,unknown mixed,NA,CP,logged,
Rubiaceae,Urophyllum ,glabrum,NA,CP,logged,
Rubiaceae,Urophyllum ,unknown mixed,NA,CP,logged,
Dipterocarpaceae,Vatica,albiramis,NA,"50ha, CP",both,
Dipterocarpaceae,Vatica,chartacea,NA,50ha,unlogged,
Dipterocarpaceae,Vatica,dulitensis,NA,CP,logged,
Dipterocarpaceae,Vatica,oblongifolia,NA,50ha,unlogged,
Dipterocarpaceae,Vatica,sarawakensis,NA,"50ha, CP",both,
Dipterocarpaceae,Vatica,umbonata,NA,50ha,unlogged,
Lamiaceae,Vitex,pinnata,NA,"50ha, CP",both,
Meliaceae,Walsura,pachycaulon,NA,50ha,unlogged,
Meliaceae,Walsura,pinnata,NA,"50ha, CP",both,
Meliaceae,Walsura,species 1,NA,50ha,unlogged,
Polygalaceae,Xanthophyllum,adenotus,NA,50ha,unlogged,
Polygalaceae,Xanthophyllum,flavescens,NA,"50ha, CP",both,
Polygalaceae,Xanthophyllum,pachycarpon,NA,50ha,unlogged,
Polygalaceae,Xanthophyllum,reticulatum,NA,50ha,unlogged,
Polygalaceae,Xanthophyllum,species 1,NA,50ha,unlogged,
Polygalaceae,Xanthophyllum,species 2,NA,50ha,unlogged,
Polygalaceae,Xanthophyllum,species 3,NA,50ha,unlogged,
Polygalaceae,Xanthophyllum,species 4,NA,50ha,unlogged,
Polygalaceae,Xanthophyllum,species 5,NA,50ha,unlogged,
Polygalaceae,Xanthophyllum,species 6,NA,50ha,unlogged,
Polygalaceae,Xanthophyllum,species 7,NA,50ha,unlogged,
Polygalaceae,Xanthophyllum,unknown mixed,NA,CP,logged,
Polygalaceae,Xanthophyllum,vitellinum,NA,50ha,unlogged,
Annonaceae,Xylopia,ferruginea,NA,"50ha, CP",both,
Rhamnaceae,Ziziphus,augustifolia,NA,"50ha, CP",both,
