"species","mean_dry_seed_mass_BIEN","trait","unit","level_used","sample_size","ids"
"Antidesma neurocarpum","18.0333333333333","seed mass","mg","Genus","6","3946068,3946897,3947148,3947159,3947160,3139720"
"Phyllanthaceae species 1","NA","seed mass","mg","NA","0","NA"
"Antidesma roxburghii","18.0333333333333","seed mass","mg","Genus","6","3946068,3946897,3947148,3947159,3947160,3139720"
"Antidesma unknown<a0>mixed","18.0333333333333","seed mass","mg","Genus","6","3946068,3946897,3947148,3947159,3947160,3139720"
"Aphanamixis borneensis","704.921018041667","seed mass","mg","Family","144","4405649,3906123,3929229,3931753,3931885,3931891,3931938,3876398,3876406,3876407,3876420,3873218,3880146,3880161,3880695,3880705,3883123,3880902,3882446,3882477,3882519,3882522,3882525,3882532,3883092,3888508,3887074,3887108,3887114,3889518,3890127,3887704,3888874,3888878,3888976,3890128,3889774,3889936,3889892,3889931,3889955,3889966,3888505,3890051,3890207,3900883,3900901,3900902,3900903,3902568,3925241,3925242,3925245,3925257,3925258,3925260,3925262,3925263,3925265,3925266,3925270,3925271,3925272,3925273,3925274,3925275,3927195,3927277,3928880,3929220,3930224,3930291,3930993,3930664,3944597,3949745,3956451,3953215,3953730,3955449,3954734,3955873,3955999,3956171,3956407,3956408,3956470,3956483,3956496,3149727,3150418,3152347,3153144,3242063,3242129,3242139,3242153,3242166,3244109,3245816,3260171,3441136,3441157,3864594,13996,14002,3104197,3113459,3111383,3116872,3117148,3118287,3121343,3126478,3126944,3128543,3128550,3129008,3129032,3129109,3130713,3130855,3130861,3130930,3130937,3130971,3130973,3134077,3137199,3137200,3137201,3137236,3137938,3138012,3138183,3138185,3139239,3141659,3142097,3142466,3142081,3142625,3142629,3143287"
"Aphanamixis unknown<a0>mixed","704.921018041667","seed mass","mg","Family","144","4405649,3906123,3929229,3931753,3931885,3931891,3931938,3876398,3876406,3876407,3876420,3873218,3880146,3880161,3880695,3880705,3883123,3880902,3882446,3882477,3882519,3882522,3882525,3882532,3883092,3888508,3887074,3887108,3887114,3889518,3890127,3887704,3888874,3888878,3888976,3890128,3889774,3889936,3889892,3889931,3889955,3889966,3888505,3890051,3890207,3900883,3900901,3900902,3900903,3902568,3925241,3925242,3925245,3925257,3925258,3925260,3925262,3925263,3925265,3925266,3925270,3925271,3925272,3925273,3925274,3925275,3927195,3927277,3928880,3929220,3930224,3930291,3930993,3930664,3944597,3949745,3956451,3953215,3953730,3955449,3954734,3955873,3955999,3956171,3956407,3956408,3956470,3956483,3956496,3149727,3150418,3152347,3153144,3242063,3242129,3242139,3242153,3242166,3244109,3245816,3260171,3441136,3441157,3864594,13996,14002,3104197,3113459,3111383,3116872,3117148,3118287,3121343,3126478,3126944,3128543,3128550,3129008,3129032,3129109,3130713,3130855,3130861,3130930,3130937,3130971,3130973,3134077,3137199,3137200,3137201,3137236,3137938,3138012,3138183,3138185,3139239,3141659,3142097,3142466,3142081,3142625,3142629,3143287"
"Aporosa elmeri","39.4013353648649","seed mass","mg","Family","74","3903616,3879173,3889751,4405051,3869839,3873934,3873952,3874708,3879225,3889382,3888921,3889363,3889420,3888663,3894397,3895818,3895606,3895621,3895891,3895926,3895933,3896881,3900101,3900111,3901271,3903683,3903396,3921915,3946068,3946897,3947148,3947159,3947160,3950042,3949697,3949742,3951290,3952087,3952103,3151235,3195140,3228430,3245589,3865508,3117001,3117002,3126431,3127347,3127530,3127548,3127555,3127572,3127582,3127653,3127749,3130812,3131875,3131876,3131888,3131895,3131517,3131933,3132629,3133702,3139720,3141192,3141193,3141354,3141404,3141407,3141438,3141489,3141500,3140970"
"Aporosa falcifera","39.4013353648649","seed mass","mg","Family","74","3903616,3879173,3889751,4405051,3869839,3873934,3873952,3874708,3879225,3889382,3888921,3889363,3889420,3888663,3894397,3895818,3895606,3895621,3895891,3895926,3895933,3896881,3900101,3900111,3901271,3903683,3903396,3921915,3946068,3946897,3947148,3947159,3947160,3950042,3949697,3949742,3951290,3952087,3952103,3151235,3195140,3228430,3245589,3865508,3117001,3117002,3126431,3127347,3127530,3127548,3127555,3127572,3127582,3127653,3127749,3130812,3131875,3131876,3131888,3131895,3131517,3131933,3132629,3133702,3139720,3141192,3141193,3141354,3141404,3141407,3141438,3141489,3141500,3140970"
"Aporosa frutescens","39.4013353648649","seed mass","mg","Family","74","3903616,3879173,3889751,4405051,3869839,3873934,3873952,3874708,3879225,3889382,3888921,3889363,3889420,3888663,3894397,3895818,3895606,3895621,3895891,3895926,3895933,3896881,3900101,3900111,3901271,3903683,3903396,3921915,3946068,3946897,3947148,3947159,3947160,3950042,3949697,3949742,3951290,3952087,3952103,3151235,3195140,3228430,3245589,3865508,3117001,3117002,3126431,3127347,3127530,3127548,3127555,3127572,3127582,3127653,3127749,3130812,3131875,3131876,3131888,3131895,3131517,3131933,3132629,3133702,3139720,3141192,3141193,3141354,3141404,3141407,3141438,3141489,3141500,3140970"
"Aporosa grandistipula","39.4013353648649","seed mass","mg","Family","74","3903616,3879173,3889751,4405051,3869839,3873934,3873952,3874708,3879225,3889382,3888921,3889363,3889420,3888663,3894397,3895818,3895606,3895621,3895891,3895926,3895933,3896881,3900101,3900111,3901271,3903683,3903396,3921915,3946068,3946897,3947148,3947159,3947160,3950042,3949697,3949742,3951290,3952087,3952103,3151235,3195140,3228430,3245589,3865508,3117001,3117002,3126431,3127347,3127530,3127548,3127555,3127572,3127582,3127653,3127749,3130812,3131875,3131876,3131888,3131895,3131517,3131933,3132629,3133702,3139720,3141192,3141193,3141354,3141404,3141407,3141438,3141489,3141500,3140970"
