"species","mean_dry_seed_mass_BIEN","trait","unit","level_used","sample_size","ids"
"Diospyros curranii","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros daemona","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros dictyoneura","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros diepenhorstii","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros elliptifolia","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros euphlehia","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros frutescens","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros peregrina","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros muricata","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros oblonga","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros pyrrhocarpa","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros species 1","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros species 2","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros species 3","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros species 4","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros species 6","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros species 7","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros squamifolia","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros toposia","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros tuberculata","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros unknown<a0>mixed","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Diospyros wallichii","611.180001967213","seed mass","mg","Genus","61","3966173,3966196,3966590,3967313,3967323,3966920,3966930,3967324,3967108,3967026,3967049,3967066,3967090,3964355,3964745,3967344,3967259,3967356,3967357,3967364,3967502,3967486,3967538,3967556,3967585,3964996,3965137,3965345,3965804,3966048,3966070,3963949,3964076,3966848,3880837,3193068,3144699,3145136,3145308,3145394,3145462,3145538,3145675,3145703,3145717,3145719,3145801,3144569,3153571,3246183,3246235,3246252,3246350,3864740,3104450,3118534,3118535,3128978,3129058,3129134,3129207"
"Discospermum malaccense","59.1893790915751","seed mass","mg","Family","546","3957757,3958973,3959495,3959162,3959327,3959639,3959850,3960017,3960274,3960438,3960450,3960637,3960643,3960467,3960471,3960486,3960534,3961828,3961890,3960761,3960667,3960791,3960682,3960737,3962263,3962455,3960859,3960773,3960786,3960799,3960804,3960812,3960825,3960844,3960846,3960852,3960864,3960873,3960880,4406595,4413917,4413918,4430158,4430173,4430179,4430180,4430181,4430182,4430183,4430186,4418157,4428409,4429692,4430161,4430165,4428738,26874379,26874380,26874381,26874382,26874383,26874384,26874385,26874387,26874388,26874390,26874392,26874393,26874394,26874396,26874397,26874398,26874399,26874400,26874401,26874402,26874405,26874406,26874407,26874408,26874409,26874410,26874411,26874412,26874413,26874414,26874415,26874416,26874417,26874418,26874419,26874420,26874743,26874744,26874745,26874746,26874747,26874750,26874751,26874752,26874753,26874756,26874757,26874758,26874759,26874760,26874763,26874764,26874765,26874766,26874768,26874770,26874771,26874772,26874774,26874775,26874777,26874778,26874780,26874781,26874782,26874784,26874786,26874787,26874788,26874789,26874792,26874793,26875060,26875061,26875062,26875063,26875064,26875065,26875067,26875069,26875070,26875073,26875074,26875075,26875076,26875077,26875079,26875080,26875082,26875083,26875085,26875086,26875088,26875090,26875092,26875093,3101375,3156834,3156903,3157017,3157155,3157156,3157974,3111575,3116556,3117469,3119649,3135812,3383712,3377761,3389331,3391549,3239551,3239536,3239549,3241596,3251412,3255233,3374010,3372135,3378190,3896305,3902789,3907811,3907816,3909403,3919080,3919143,3919162,3919769,3919779,3919800,3921166,3945039,3945613,3945767,3951395,3870179,3872712,3872713,3874374,3876649,3876651,3876678,3877065,3877075,3881557,3192291,4406238,4406631,4406635,3868132,3873633,3873724,3873522,3873534,3873539,3873935,3873544,3873552,3873841,3873871,3873666,3873925,3873754,3873764,3873792,3873938,3873851,3873899,3873906,3873911,3873918,3873923,3873942,3873951,3873953,3874146,3874065,3874140,3874150,3874763,3874832,3875347,3876145,3876488,3876672,3876682,3876683,3876684,3881847,3881876,3881877,3881878,3886107,3886531,3885871,3886583,3887223,3887055,3887081,3887083,3887188,3888403,3888247,3888289,3888408,3888453,3889633,3892134,3892535,3891109,3892886,3893514,3893884,3893907,3899095,3899096,3895983,3895986,3896769,3896833,3896373,3897449,3899097,3899098,3899099,3899472,3900064,3900346,3900555,3900617,3900623,3902533,3898113,3909654,3909001,3908083,3910035,3910046,3910057,3910073,3910425,3907097,3907110,3908857,3908923,3909313,3909333,3909343,3909369,3909397,3909402,3909876,3919094,3919220,3919221,3919701,3919735,3919748,3919759,3919816,3919767,3919772,3919838,3919777,3919787,3919789,3919853,3919793,3919797,3919799,3919824,3919840,3919857,3919863,3912371,3912596,3912804,3913035,3920690,3921090,3921128,3920923,3920948,3921063,3921066,3921089,3921106,3921164,3921187,3923424,3923473,3922776,3923700,3922860,3924951,3928143,3930323,3946456,3947186,3948672,3948716,3948725,3954375,3956886,3954614,3143700,3143744,3143759,3143785,3143787,3143792,3143796,3144453,3148105,3149919,3150720,3151995,3152318,3152352,3157932,3157988,3159131,3161229,3179151,3179154,3209547,3209551,3225827,3225868,3225963,3225980,3225992,3225999,3226083,3242824,3241229,3241582,3242637,3242136,3242137,3242500,3242516,3243026,3243439,3243493,3243631,3243823,3243826,3243834,3245992,3246054,3246053,3247211,3254643,3250545,3260342,3391544,3699272,3699476,3699542,3699620,3699673,3699681,3699693,3705650,3102967,3103034,3103893,3111691,3106276,3106275,3109264,3113263,3114553,3114606,3116488,3116882,3117449,3117450,3117459,3117522,3117533,3117534,3118349,3118376,3120946,3118371,3119118,3127201,3124420,3127202,3127203,3127070,3127072,3127101,3127102,3127118,3127120,3127189,3127195,3127205,3127206,3127208,3127209,3127212,3127219,3127221,3127226,3127234,3127236,3127241,3127242,3127246,3127259,3127260,3127264,3127266,3127268,3127269,3127271,3127308,3127287,3127291,3127293,3127296,3127297,3127313,3127317,3127319,3127322,3127333,3127339,3127340,3127343,3127355,3127356,3126984,3126999,3127010,3127013,3127015,3127018,3127058,3127059,3127963,3130233,3130709,3130506,3131101,3131337,3131383,3131510,3131937,3131946,3132070,3132071,3131605,3132596,3132647,3132650,3133231,3135336,3135348,3135361,3135514,3135693,3135580,3135813,3135058,3136730,3136737,3136747,3136748,3136324,3136590,3137370,3137809,3137935,3138002,3140335,3140459,3140481,3140489,3143394,3143424,3143438,3143873,3143902"
"Diplospora unknown<a0>mixed","59.1893790915751","seed mass","mg","Family","546","3957757,3958973,3959495,3959162,3959327,3959639,3959850,3960017,3960274,3960438,3960450,3960637,3960643,3960467,3960471,3960486,3960534,3961828,3961890,3960761,3960667,3960791,3960682,3960737,3962263,3962455,3960859,3960773,3960786,3960799,3960804,3960812,3960825,3960844,3960846,3960852,3960864,3960873,3960880,4406595,4413917,4413918,4430158,4430173,4430179,4430180,4430181,4430182,4430183,4430186,4418157,4428409,4429692,4430161,4430165,4428738,26874379,26874380,26874381,26874382,26874383,26874384,26874385,26874387,26874388,26874390,26874392,26874393,26874394,26874396,26874397,26874398,26874399,26874400,26874401,26874402,26874405,26874406,26874407,26874408,26874409,26874410,26874411,26874412,26874413,26874414,26874415,26874416,26874417,26874418,26874419,26874420,26874743,26874744,26874745,26874746,26874747,26874750,26874751,26874752,26874753,26874756,26874757,26874758,26874759,26874760,26874763,26874764,26874765,26874766,26874768,26874770,26874771,26874772,26874774,26874775,26874777,26874778,26874780,26874781,26874782,26874784,26874786,26874787,26874788,26874789,26874792,26874793,26875060,26875061,26875062,26875063,26875064,26875065,26875067,26875069,26875070,26875073,26875074,26875075,26875076,26875077,26875079,26875080,26875082,26875083,26875085,26875086,26875088,26875090,26875092,26875093,3101375,3156834,3156903,3157017,3157155,3157156,3157974,3111575,3116556,3117469,3119649,3135812,3383712,3377761,3389331,3391549,3239551,3239536,3239549,3241596,3251412,3255233,3374010,3372135,3378190,3896305,3902789,3907811,3907816,3909403,3919080,3919143,3919162,3919769,3919779,3919800,3921166,3945039,3945613,3945767,3951395,3870179,3872712,3872713,3874374,3876649,3876651,3876678,3877065,3877075,3881557,3192291,4406238,4406631,4406635,3868132,3873633,3873724,3873522,3873534,3873539,3873935,3873544,3873552,3873841,3873871,3873666,3873925,3873754,3873764,3873792,3873938,3873851,3873899,3873906,3873911,3873918,3873923,3873942,3873951,3873953,3874146,3874065,3874140,3874150,3874763,3874832,3875347,3876145,3876488,3876672,3876682,3876683,3876684,3881847,3881876,3881877,3881878,3886107,3886531,3885871,3886583,3887223,3887055,3887081,3887083,3887188,3888403,3888247,3888289,3888408,3888453,3889633,3892134,3892535,3891109,3892886,3893514,3893884,3893907,3899095,3899096,3895983,3895986,3896769,3896833,3896373,3897449,3899097,3899098,3899099,3899472,3900064,3900346,3900555,3900617,3900623,3902533,3898113,3909654,3909001,3908083,3910035,3910046,3910057,3910073,3910425,3907097,3907110,3908857,3908923,3909313,3909333,3909343,3909369,3909397,3909402,3909876,3919094,3919220,3919221,3919701,3919735,3919748,3919759,3919816,3919767,3919772,3919838,3919777,3919787,3919789,3919853,3919793,3919797,3919799,3919824,3919840,3919857,3919863,3912371,3912596,3912804,3913035,3920690,3921090,3921128,3920923,3920948,3921063,3921066,3921089,3921106,3921164,3921187,3923424,3923473,3922776,3923700,3922860,3924951,3928143,3930323,3946456,3947186,3948672,3948716,3948725,3954375,3956886,3954614,3143700,3143744,3143759,3143785,3143787,3143792,3143796,3144453,3148105,3149919,3150720,3151995,3152318,3152352,3157932,3157988,3159131,3161229,3179151,3179154,3209547,3209551,3225827,3225868,3225963,3225980,3225992,3225999,3226083,3242824,3241229,3241582,3242637,3242136,3242137,3242500,3242516,3243026,3243439,3243493,3243631,3243823,3243826,3243834,3245992,3246054,3246053,3247211,3254643,3250545,3260342,3391544,3699272,3699476,3699542,3699620,3699673,3699681,3699693,3705650,3102967,3103034,3103893,3111691,3106276,3106275,3109264,3113263,3114553,3114606,3116488,3116882,3117449,3117450,3117459,3117522,3117533,3117534,3118349,3118376,3120946,3118371,3119118,3127201,3124420,3127202,3127203,3127070,3127072,3127101,3127102,3127118,3127120,3127189,3127195,3127205,3127206,3127208,3127209,3127212,3127219,3127221,3127226,3127234,3127236,3127241,3127242,3127246,3127259,3127260,3127264,3127266,3127268,3127269,3127271,3127308,3127287,3127291,3127293,3127296,3127297,3127313,3127317,3127319,3127322,3127333,3127339,3127340,3127343,3127355,3127356,3126984,3126999,3127010,3127013,3127015,3127018,3127058,3127059,3127963,3130233,3130709,3130506,3131101,3131337,3131383,3131510,3131937,3131946,3132070,3132071,3131605,3132596,3132647,3132650,3133231,3135336,3135348,3135361,3135514,3135693,3135580,3135813,3135058,3136730,3136737,3136747,3136748,3136324,3136590,3137370,3137809,3137935,3138002,3140335,3140459,3140481,3140489,3143394,3143424,3143438,3143873,3143902"
"Dipterocarpus applanatus","6666.7","seed mass","mg","Genus","1","3246406"
"Dipterocarpus caudifer","6666.7","seed mass","mg","Genus","1","3246406"
"Dipterocarpus unknown<a0>mixed","6666.7","seed mass","mg","Genus","1","3246406"
"Dracontomelon costatum","1133.94134912719","seed mass","mg","Family","228","3961563,3961491,3961666,3961652,3961702,4402056,4402678,4414182,4417094,4412725,4427928,3117999,3120590,3120595,3124900,3132488,3134605,3134606,3134621,3134630,3231765,3245126,3930270,3949396,3949397,3949398,3964574,4430694,3192057,3887515,3889014,3889024,3888042,3889000,3890464,3890997,3891017,3891133,3891158,3896347,3899228,3899254,3900138,3899615,3899754,3899755,3899764,3900089,3900386,3900690,3904829,3905823,3905883,3905886,3907980,3909012,3922289,3922587,3922588,3920355,3920373,3920638,3921759,3921623,3920913,3921291,3921740,3921754,3921950,3922003,3922011,3922091,3921185,3922158,3898290,3922418,3922265,3922451,3922308,3922331,3922370,3922387,3922392,3922394,3922466,3922431,3922435,3922477,3922446,3922494,3922475,3922521,3922498,3922526,3922510,3922541,3922515,3922542,3922518,3922520,3922531,3922535,3922548,3922539,3922540,3922551,3922562,3922558,3922560,3922568,3922575,3922576,3922577,3922586,3926923,3926927,3931559,3944449,3944860,3945762,3946235,3945808,3946159,3946161,3946171,3946226,3946234,3946236,3949399,3144019,3144023,3144042,3144058,3144128,3144198,3150868,3151717,3153449,3174527,3178744,3164314,3185713,3185213,3185329,3217719,3242718,3242720,3242753,3243600,3243157,3243706,3243707,3243709,3243712,3248467,3754670,3242069,14534,3103246,3103248,3104262,3103094,3117559,3109581,3109582,3110104,3115314,3117287,3116852,3117512,3117571,3117572,3117574,3117028,3117076,3117993,3117997,3120927,3119772,3131908,3124878,3131056,3132099,3132100,3132237,3132251,3132416,3132421,3132486,3132487,3132893,3132616,3132637,3132638,3132641,3134032,3134034,3134084,3133959,3134581,3134587,3134597,3134599,3134627,3134635,3135850,3135942,3136004,3136053,3136162,3136198,3136185,3136186,3136195,3136250,3136275,3136284,3136285,3137287,3139545,3139270,3139279,3139672,3139404,3139417,3139806,3139446,3141580"
"Dracontomelon dao","1133.94134912719","seed mass","mg","Family","228","3961563,3961491,3961666,3961652,3961702,4402056,4402678,4414182,4417094,4412725,4427928,3117999,3120590,3120595,3124900,3132488,3134605,3134606,3134621,3134630,3231765,3245126,3930270,3949396,3949397,3949398,3964574,4430694,3192057,3887515,3889014,3889024,3888042,3889000,3890464,3890997,3891017,3891133,3891158,3896347,3899228,3899254,3900138,3899615,3899754,3899755,3899764,3900089,3900386,3900690,3904829,3905823,3905883,3905886,3907980,3909012,3922289,3922587,3922588,3920355,3920373,3920638,3921759,3921623,3920913,3921291,3921740,3921754,3921950,3922003,3922011,3922091,3921185,3922158,3898290,3922418,3922265,3922451,3922308,3922331,3922370,3922387,3922392,3922394,3922466,3922431,3922435,3922477,3922446,3922494,3922475,3922521,3922498,3922526,3922510,3922541,3922515,3922542,3922518,3922520,3922531,3922535,3922548,3922539,3922540,3922551,3922562,3922558,3922560,3922568,3922575,3922576,3922577,3922586,3926923,3926927,3931559,3944449,3944860,3945762,3946235,3945808,3946159,3946161,3946171,3946226,3946234,3946236,3949399,3144019,3144023,3144042,3144058,3144128,3144198,3150868,3151717,3153449,3174527,3178744,3164314,3185713,3185213,3185329,3217719,3242718,3242720,3242753,3243600,3243157,3243706,3243707,3243709,3243712,3248467,3754670,3242069,14534,3103246,3103248,3104262,3103094,3117559,3109581,3109582,3110104,3115314,3117287,3116852,3117512,3117571,3117572,3117574,3117028,3117076,3117993,3117997,3120927,3119772,3131908,3124878,3131056,3132099,3132100,3132237,3132251,3132416,3132421,3132486,3132487,3132893,3132616,3132637,3132638,3132641,3134032,3134034,3134084,3133959,3134581,3134587,3134597,3134599,3134627,3134635,3135850,3135942,3136004,3136053,3136162,3136198,3136185,3136186,3136195,3136250,3136275,3136284,3136285,3137287,3139545,3139270,3139279,3139672,3139404,3139417,3139806,3139446,3141580"
"Dracontomelon unknown<a0>mixed","1133.94134912719","seed mass","mg","Family","228","3961563,3961491,3961666,3961652,3961702,4402056,4402678,4414182,4417094,4412725,4427928,3117999,3120590,3120595,3124900,3132488,3134605,3134606,3134621,3134630,3231765,3245126,3930270,3949396,3949397,3949398,3964574,4430694,3192057,3887515,3889014,3889024,3888042,3889000,3890464,3890997,3891017,3891133,3891158,3896347,3899228,3899254,3900138,3899615,3899754,3899755,3899764,3900089,3900386,3900690,3904829,3905823,3905883,3905886,3907980,3909012,3922289,3922587,3922588,3920355,3920373,3920638,3921759,3921623,3920913,3921291,3921740,3921754,3921950,3922003,3922011,3922091,3921185,3922158,3898290,3922418,3922265,3922451,3922308,3922331,3922370,3922387,3922392,3922394,3922466,3922431,3922435,3922477,3922446,3922494,3922475,3922521,3922498,3922526,3922510,3922541,3922515,3922542,3922518,3922520,3922531,3922535,3922548,3922539,3922540,3922551,3922562,3922558,3922560,3922568,3922575,3922576,3922577,3922586,3926923,3926927,3931559,3944449,3944860,3945762,3946235,3945808,3946159,3946161,3946171,3946226,3946234,3946236,3949399,3144019,3144023,3144042,3144058,3144128,3144198,3150868,3151717,3153449,3174527,3178744,3164314,3185713,3185213,3185329,3217719,3242718,3242720,3242753,3243600,3243157,3243706,3243707,3243709,3243712,3248467,3754670,3242069,14534,3103246,3103248,3104262,3103094,3117559,3109581,3109582,3110104,3115314,3117287,3116852,3117512,3117571,3117572,3117574,3117028,3117076,3117993,3117997,3120927,3119772,3131908,3124878,3131056,3132099,3132100,3132237,3132251,3132416,3132421,3132486,3132487,3132893,3132616,3132637,3132638,3132641,3134032,3134034,3134084,3133959,3134581,3134587,3134597,3134599,3134627,3134635,3135850,3135942,3136004,3136053,3136162,3136198,3136185,3136186,3136195,3136250,3136275,3136284,3136285,3137287,3139545,3139270,3139279,3139672,3139404,3139417,3139806,3139446,3141580"
"Drepananthus havilandii","1341.40229068627","seed mass","mg","Family","102","3111763,3120541,3121817,3151696,3152557,3219442,3407017,3413569,3413517,3414975,3420163,3232054,3232018,3231831,3231872,3231959,3232047,3232050,3232051,3892550,3932917,3934728,3934912,3934931,3946327,3946624,3946977,3963856,3963862,3965609,3876486,3876528,3193358,3193360,3876492,3194298,3896370,3899267,3906752,3907070,3907067,3922886,3933100,3945498,3946061,3946152,3946824,3946893,3946899,3946943,3946952,3946958,3946962,3946963,3946965,3946989,3952737,3151772,3159061,3159062,3180401,3181246,3178862,3185915,3219460,3231969,3232043,3232062,3242480,3254626,3755501,3946984,3102484,3110235,3115409,3115443,3118014,3118213,3119774,3124919,3131308,3132500,3134696,3134697,3138985,3134889,3135796,3138983,3135904,3138984,3138982,3138770,3138958,3138980,3138981,3139476,3139906,3139976,3140152,3140365,3140369,3141601"
