species,reference,fruit_size_mm,fruit_size_min_mm,tdwg_l3
Erycibe maingayi,"Ooststroom, S.J. van & R.D. Hoogland (1953)",22,14,Sumatra
Erycibe maingayi,"Ooststroom, S.J. van & R.D. Hoogland (1953)",22,14,Borneo
Erycibe malaccensis,"Ooststroom, S.J. van & R.D. Hoogland (1953)",16,14,Philippines
Erycibe malaccensis,"Ooststroom, S.J. van & R.D. Hoogland (1953)",16,14,Sulawesi
Erycibe micrantha,"Ooststroom, S.J. van & R.D. Hoogland (1953)",22,14,Sumatra
Erycibe micrantha,"Ooststroom, S.J. van & R.D. Hoogland (1953)",22,14,Java
Erycibe micrantha,"Ooststroom, S.J. van & R.D. Hoogland (1953)",22,14,Borneo
Erycibe micrantha,"Ooststroom, S.J. van & R.D. Hoogland (1953)",22,14,Philippines
Erycibe praecipua,"Ooststroom, S.J. van & R.D. Hoogland (1953)",18,12,Borneo
Erycibe puberula,"Ooststroom, S.J. van & R.D. Hoogland (1953)",18,10,New Guinea
Erycibe ramosii,"Ooststroom, S.J. van & R.D. Hoogland (1953)",20,12,Philippines
Erycibe rheedei,"Ooststroom, S.J. van & R.D. Hoogland (1953)",20,12,Sumatra
Erycibe rheedei,"Ooststroom, S.J. van & R.D. Hoogland (1953)",20,12,Java
Erycibe rheedei,"Ooststroom, S.J. van & R.D. Hoogland (1953)",20,12,Borneo
Erycibe sargentii,"Ooststroom, S.J. van & R.D. Hoogland (1953)",20,15,Philippines
Erycibe subglabra,"Ooststroom, S.J. van & R.D. Hoogland (1953)_from specimen B100279232
",17,11,Maluku
Erycibe terminaliflora,"Ooststroom, S.J. van & R.D. Hoogland (1953)",8,5,Philippines
Erycibe tomentosa,"Ooststroom, S.J. van & R.D. Hoogland (1953)",12,7,Sumatra
Erycibe tomentosa,"Ooststroom, S.J. van & R.D. Hoogland (1953)",12,7,Java
Erycibe tomentosa,"Ooststroom, S.J. van & R.D. Hoogland (1953)",12,7,Borneo
Erycibe tomentosa,"Ooststroom, S.J. van & R.D. Hoogland (1953)",12,7,Philippines
Erycibe zippelii,"Ooststroom, S.J. van & R.D. Hoogland (1953)",7,5,New Guinea
Ipomoea aculeata,"Ooststroom, S.J. van & R.D. Hoogland (1953)",15,15,Sumatra
Ipomoea aculeata,"Ooststroom, S.J. van & R.D. Hoogland (1953)",15,15,Java
Ipomoea aculeata,"Ooststroom, S.J. van & R.D. Hoogland (1953)",15,15,Lesser Sundas
Ipomoea aculeata,"Ooststroom, S.J. van & R.D. Hoogland (1953)",15,15,Philippines
Ipomoea cambodiensis,"Staples, G. (2018). Flore du Cambodge du Laos et du Viêt-Nam 36",17,15,Borneo
Ipomoea campanulata,Staples (2010),15,15,Philippines
Ipomoea campanulata,Staples (2010),15,15,New Guinea
Ipomoea coptica,Staples (2010),8,7,New Guinea
Ipomoea corymbosa,"Ooststroom, S.J. van & R.D. Hoogland (1953)_Wood et al (2015)",14,3,Philippines
Ipomoea decaisnei,"Ooststroom, S.J. van & R.D. Hoogland (1953)",8,7,Java
Ipomoea decaisnei,"Ooststroom, S.J. van & R.D. Hoogland (1953)",8,7,Sulawesi
Ipomoea decaisnei,"Ooststroom, S.J. van & R.D. Hoogland (1953)",8,7,Lesser Sundas
Ipomoea diversifolia,"Ooststroom, S.J. van & R.D. Hoogland (1953)",10,8,Philippines
Ipomoea fimbriosepala,"Wood et al. (2015)_Ooststroom, S.J. van (1958)",15,12,New Guinea
Ipomoea graminea,"Ooststroom, S.J. van & R.D. Hoogland (1953)",8,8,Sulawesi
Ipomoea littoralis,Staples (2010),9,9,Philippines
Ipomoea littoralis,Staples (2010),9,9,New Guinea
Ipomoea mauritiana,Staples (2010),14,12,Philippines
Ipomoea mauritiana,Staples (2010),14,12,New Guinea
Ipomoea pileata,Staples (2010),6,5,Philippines
Ipomoea polymorpha,Gonçalves (1987)_Verdcourt (1963),6.5,6.5,Java
Ipomoea polymorpha,Gonçalves (1987)_Verdcourt (1963),6.5,6.5,Lesser Sundas
Ipomoea polymorpha,Gonçalves (1987)_Verdcourt (1963),6.5,6.5,Philippines
Ipomoea polymorpha,Gonçalves (1987)_Verdcourt (1963),6.5,6.5,New Guinea
Ipomoea rubens,Staples (2010),12,12,Philippines
Ipomoea sagittifolia,Staples (2010),7,6,Java
Ipomoea sagittifolia,Staples (2010),7,6,New Guinea
Ipomoea sumatrana,Staples (2010),9,8,Sumatra
Ipomoea trichosperma,"Ooststroom, S.J. van & R.D. Hoogland (1953)",30,25,Java
Ipomoea trichosperma,"Ooststroom, S.J. van & R.D. Hoogland (1953)",30,25,Sulawesi
Ipomoea trichosperma,"Ooststroom, S.J. van & R.D. Hoogland (1953)",30,25,Lesser Sundas
Ipomoea violacea,Staples (2010),25,20,Philippines
Ipomoea violacea,Staples (2010),25,20,New Guinea
Ipomoea violacea,Staples (2010),25,20,Borneo
Merremia clemensiana,"Ooststroom, S.J. van & R.D. Hoogland (1953)",13,12,Borneo
Merremia dichotoma,"Ooststroom, S.J. van & R.D. Hoogland (1953)",7,7,Lesser Sundas
Merremia emarginata,"Ooststroom, S.J. van & R.D. Hoogland (1953)",6,5,Java
Merremia emarginata,"Ooststroom, S.J. van & R.D. Hoogland (1953)",6,5,Borneo
Merremia emarginata,"Ooststroom, S.J. van & R.D. Hoogland (1953)",6,5,Philippines
Merremia emarginata,"Ooststroom, S.J. van & R.D. Hoogland (1953)",6,5,New Guinea
Merremia emarginata,"Ooststroom, S.J. van & R.D. Hoogland (1953)",6,5,Lesser Sundas
Merremia emarginata,"Ooststroom, S.J. van & R.D. Hoogland (1953)",6,5,Sulawesi
Stictocardia neglecta,"Ooststroom, S.J. van & R.D. Hoogland (1953)",15,15,Sulawesi
Stictocardia neglecta,"Ooststroom, S.J. van & R.D. Hoogland (1953)",15,15,Lesser Sundas
Trichosanthes auriculata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",100,70,Borneo
Trichosanthes beccariana,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",100,20,Borneo
Trichosanthes beccariana,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",100,20,Sumatra
Trichosanthes borneensis,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",100,35,Sumatra
Trichosanthes borneensis,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",100,35,Borneo
Trichosanthes celebica,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",65,45,Sulawesi
Trichosanthes coriacea,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",100,70,Sumatra
Trichosanthes coriacea,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",100,70,Java
Trichosanthes cucumerina,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",1500,15,Java
Trichosanthes cucumerina,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",1500,15,Philippines
Trichosanthes cucumerina,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",1500,15,Sulawesi
Trichosanthes cucumerina,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",1500,15,Lesser Sundas
Trichosanthes densiflora,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",80,45,New Guinea
Trichosanthes dentifera,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",120,55,New Guinea
Trichosanthes edulis,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",250,50,New Guinea
Trichosanthes edulis,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",250,50,Philippines
Trichosanthes ellipsoidea,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",50,50,Borneo
Trichosanthes ellipsoidea,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",50,50,Philippines
Trichosanthes elmeri,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",200,50,Sumatra
Trichosanthes elmeri,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",200,50,Borneo
Trichosanthes elmeri,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",200,50,Philippines
Trichosanthes emarginata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",140,60,Sumatra
Trichosanthes floresana,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",80,35,Lesser Sundas
Trichosanthes globosa,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",120,55,Sumatra
Trichosanthes globosa,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",120,55,Borneo
Trichosanthes globosa,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",120,55,Java
Trichosanthes hastata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",75,45,New Guinea
Trichosanthes intermedia,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",90,60,Borneo
Trichosanthes kinabaluensis,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",75,55,Borneo
Trichosanthes laeoica,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",200,50,New Guinea
Trichosanthes montana,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",140,80,Sumatra
Trichosanthes montana,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",140,80,Borneo
Trichosanthes montana,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",140,80,Java
Trichosanthes mucronata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",100,60,Borneo
Trichosanthes obscura,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",90,70,Borneo
Trichosanthes papuana,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",20,7,New Guinea
Trichosanthes pedicellata,"de Wilde & Duyfjes, Reinwardtia 13(3): 223 (2012)",65,45,Sulawesi
Trichosanthes pendula,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",115,60,Borneo
Trichosanthes philippinensis,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",75,50,Philippines
Trichosanthes postarii,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",160,45,Borneo
Trichosanthes pubera,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",100,40,Sumatra
Trichosanthes pubera,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",100,40,Borneo
Trichosanthes pubera,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",100,40,Java
Trichosanthes refracta,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",60,45,Borneo
Trichosanthes refracta,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",60,45,Philippines
Trichosanthes rotundifolia,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",100,50,Sumatra
Trichosanthes schlechteri,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",200,45,New Guinea
Trichosanthes sepilokensis,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",130,100,Borneo
Trichosanthes tricuspidata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",90,40,Sumatra
Trichosanthes tricuspidata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",90,40,Borneo
Trichosanthes tricuspidata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",90,40,Java
Trichosanthes tricuspidata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",90,40,Lesser Sundas
Trichosanthes tricuspidata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",90,40,Sulawesi
Trichosanthes valida,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",180,80,Philippines
Trichosanthes valida,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",180,80,Sulawesi
Trichosanthes valida,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",180,80,Lesser Sundas
Trichosanthes valida,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",180,80,New Guinea
Trichosanthes villosa,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",150,80,Java
Trichosanthes villosa,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",150,80,Borneo
Trichosanthes villosa,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",150,80,Philippines
Trichosanthes villosa,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",150,80,Lesser Sundas
Trichosanthes wawrae,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",90,50,Sumatra
Trichosanthes wawrae,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",90,50,Borneo
Trichosanthes wawrae,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",90,50,Java
Zehneria alba,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",15,10,Sumatra
Zehneria alba,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",15,10,Java
Zehneria alba,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",15,10,Philippines
Zehneria alba,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",15,10,Sulawesi
Zehneria alba,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",15,10,Lesser Sundas
Zehneria alba,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",15,10,New Guinea
Zehneria backeri,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",45,8,Sulawesi
Zehneria backeri,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",45,8,Lesser Sundas
Zehneria bodinieri,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",12,8,Sumatra
Zehneria bodinieri,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",12,8,Philippines
Zehneria boholensis,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",20,10,Philippines
Zehneria elbertii,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",30,10,Lesser Sundas
Zehneria erythrobacca,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",20,10,New Guinea
Zehneria filipes,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",10,5,New Guinea
Zehneria idenburgensis,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",17,10,New Guinea
Zehneria immarginata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",10,6,Lesser Sundas
Zehneria leucocarpa,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",20,8,Sumatra
Zehneria leucocarpa,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",20,8,Java
Zehneria mucronata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",15,10,Sumatra
Zehneria mucronata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",15,10,Java
Zehneria mucronata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",15,10,Philippines
Zehneria mucronata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",15,10,Sulawesi
Zehneria mucronata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",15,10,Lesser Sundas
Zehneria mucronata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",15,10,New Guinea
Zehneria nesophila,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",40,12,Java
Zehneria nesophila,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",40,12,Philippines
Zehneria nesophila,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",40,12,Sulawesi
Zehneria nesophila,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",40,12,Lesser Sundas
Zehneria nesophila,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",40,12,Maluku
Zehneria pedicellata,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",8,6,New Guinea
Zehneria pisifera,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",7,5,New Guinea
Zehneria repanda,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",10,5,Sumatra
Zehneria repanda,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",10,5,Java
Zehneria repanda,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",10,5,Philippines
Zehneria repanda,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",10,5,Sulawesi
Zehneria repanda,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",10,5,Lesser Sundas
Zehneria scabra,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",8,6,Java
Zehneria scabra,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",8,6,Sulawesi
Zehneria scabra,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",8,6,Lesser Sundas
Zehneria trichocarpa,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",15,10,Philippines
Zehneria viridifolia,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",10,8,New Guinea
Trichosanthes leuserensis,"de Wilde, W.J.J.O. & Duyfjes, B.B.E. (2010)",80,50,Sumatra
Cycas apoa,Austral. Syst. Bot. 7: 553 (1994),50,40,New Guinea
Cycas campestris,Austral. Syst. Bot. 7: 538 (1994),40,23,New Guinea
Cycas curranii,Lindstrom et al. (2008),48,40,Philippines
Cycas edentata,Lindstrom et al. (2009),66,35,Sumatra
Cycas edentata,Lindstrom et al. (2009),66,35,Java
Cycas edentata,Lindstrom et al. (2009),66,35,Borneo
Cycas falcata,Lindstrom et al. (2009),46,25,Sulawesi
Cycas glauca,Lindstrom et al. (2009),50,30,Lesser Sundas
Cycas lacrimans,Lindstrom et al. (2008),40,20,Philippines
Cycas montana,Lindstrom et al. (2009),55,30,Lesser Sundas
Cycas nitida,Lindstrom et al. (2008),66,45,Philippines
Cycas papuana,Lindstrom et al. (2009),35,25,New Guinea
Cycas riuminiana,Lindstrom et al. (2008),41,24,Philippines
Cycas rumphii,Lindstrom et al. (2009),45,30,New Guinea
Cycas rumphii,Lindstrom et al. (2009),45,30,Sulawesi
Cycas rumphii,Lindstrom et al. (2009),45,30,Borneo
Cycas rumphii,Lindstrom et al. (2009),45,30,Java
Cycas sancti-lasallei,Blumea 57(2): 131 (2012),50,35,Philippines
Cycas schumanniana,Fl. Schutzgeb. Südsee [Schumann & Lauterbach] 154 (1900),38,25,New Guinea
Cycas scratchleyana,Lindstrom et al. (2009),55,32,New Guinea
Cycas sundaica,Lindstrom et al. (2009),55,35,Lesser Sundas
Cycas sundaica,Lindstrom et al. (2009),55,35,Sulawesi
Cycas vespertilio,Lindstrom et al. (2008),36,27,Philippines
Cycas wadei,Lindstrom et al. (2008),40,15,Philippines
Cycas zambalensis,Lindstrom et al. (2008),43,36,Philippines
Diplacrum pygmaeopsis,Kern (1961) Blumea 11,0.06,0.05,Lesser Sundas
Fimbristylis acuminata,Kern in Fl Malesiana (1972),1.75,1.25,Sumatra
Fimbristylis acuminata,Kern in Fl Malesiana (1972),1.75,1.25,Java
Fimbristylis acuminata,Kern in Fl Malesiana (1972),1.75,1.25,Borneo
Fimbristylis acuminata,Kern in Fl Malesiana (1972),1.75,1.25,Philippines
Fimbristylis acuminata,Kern in Fl Malesiana (1972),1.75,1.25,New Guinea
Fimbristylis aestivalis,Kern in Fl Malesiana (1972),0.66,0.4,Sumatra
Fimbristylis aestivalis,Kern in Fl Malesiana (1972),0.66,0.4,Java
Fimbristylis aestivalis,Kern in Fl Malesiana (1972),0.66,0.4,Philippines
Fimbristylis aestivalis,Kern in Fl Malesiana (1972),0.66,0.4,Sulawesi
Fimbristylis aestivalis,Kern in Fl Malesiana (1972),0.66,0.4,New Guinea
Fimbristylis alboviridis,Kern in Fl Malesiana (1972),1.25,0.75,Java
Fimbristylis alboviridis,Kern in Fl Malesiana (1972),1.25,0.75,Philippines
Fimbristylis anisoclada,Kern in Fl Malesiana (1972),0.75,0.6,Java
Fimbristylis anisoclada,Kern in Fl Malesiana (1972),0.75,0.6,Sulawesi
Fimbristylis aphylla,Kern in Fl Malesiana (1972),0.75,0.4,Sumatra
Fimbristylis aphylla,Kern in Fl Malesiana (1972),0.75,0.4,Java
Fimbristylis aphylla,Kern in Fl Malesiana (1972),0.75,0.4,Philippines
Fimbristylis bisumbellata,Kern in Fl Malesiana (1972)_Hoenselaar et al. (2010),0.7,0.4,Sumatra
Fimbristylis bisumbellata,Kern in Fl Malesiana (1972)_Hoenselaar et al. (2010),0.7,0.4,Philippines
Fimbristylis blepharolepis,Kern in Fl Malesiana (1972),0.75,0.4,New Guinea
Fimbristylis caesia,Kern in Fl Malesiana (1972),2,1.1,Java
Fimbristylis caesia,Kern in Fl Malesiana (1972),2,1.1,Philippines
Fimbristylis capilliculmis,Kern in Fl Malesiana (1972),0.8,0.7,New Guinea
Fimbristylis celebica,Kern in Fl Malesiana (1972)_from specimen L0042532,0.8,0.5,Sulawesi
Fimbristylis cinnamometorum,Kern in Fl Malesiana (1972),0.9,0.4,Philippines
Fimbristylis cinnamometorum,Kern in Fl Malesiana (1972),0.9,0.4,Sumatra
Fimbristylis cinnamometorum,Kern in Fl Malesiana (1972),0.9,0.4,New Guinea
Fimbristylis consanguinea,Kern in Fl Malesiana (1972),1.2,0.75,Java
Fimbristylis dictyocolea,Kern in Fl Malesiana (1972),1,0.75,New Guinea
Fimbristylis dipsacea,Kern in Fl Malesiana (1972),0.75,0.16,Sumatra
Fimbristylis dipsacea,Kern in Fl Malesiana (1972),0.75,0.16,Java
Fimbristylis dipsacea,Kern in Fl Malesiana (1972),0.75,0.16,Borneo
Fimbristylis disticha,Kern in Fl Malesiana (1972),0.7,0.33,Sumatra
Fimbristylis eragrostis,Kern in Fl Malesiana (1972),1,0.6,Lesser Sundas
Fimbristylis eragrostis,Kern in Fl Malesiana (1972),1,0.6,New Guinea
Fimbristylis falcata,Kern in Fl Malesiana (1972),1,0.7,Philippines
Fimbristylis falcata,Kern in Fl Malesiana (1972),1,0.7,New Guinea
Fimbristylis fimbristyloides,Kern in Fl Malesiana (1972),0.83,0.4,Sumatra
Fimbristylis fimbristyloides,Kern in Fl Malesiana (1972),0.83,0.4,Java
Fimbristylis fimbristyloides,Kern in Fl Malesiana (1972),0.83,0.4,Lesser Sundas
Fimbristylis fimbristyloides,Kern in Fl Malesiana (1972),0.83,0.4,Borneo
Fimbristylis fimbristyloides,Kern in Fl Malesiana (1972),0.83,0.4,Sulawesi
Fimbristylis fimbristyloides,Kern in Fl Malesiana (1972),0.83,0.4,New Guinea
Fimbristylis furva,Kern in Fl Malesiana (1972),0.7,0.4,New Guinea
Fimbristylis fusca,Kern in Fl Malesiana (1972),1,0.6,Sumatra
Fimbristylis fusca,Kern in Fl Malesiana (1972),1,0.6,Java
Fimbristylis fusca,Kern in Fl Malesiana (1972),1,0.6,Borneo
Fimbristylis fusca,Kern in Fl Malesiana (1972),1,0.6,Philippines
Fimbristylis fusca,Kern in Fl Malesiana (1972),1,0.6,Sulawesi
Fimbristylis fusca,Kern in Fl Malesiana (1972),1,0.6,Maluku
Fimbristylis fusca,Kern in Fl Malesiana (1972),1,0.6,New Guinea
Fimbristylis fuscoides,Kern in Fl Malesiana (1972),0.75,0.4,Borneo
Fimbristylis gracilenta,Kern in Fl Malesiana (1972),0.9,0.5,Sumatra
Fimbristylis griffithii,Kern in Fl Malesiana (1972),0.7,0.4,Sumatra
Fimbristylis griffithii,Kern in Fl Malesiana (1972),0.7,0.4,Java
Fimbristylis griffithii,Kern in Fl Malesiana (1972),0.7,0.4,Borneo
Fimbristylis griffithii,Kern in Fl Malesiana (1972),0.7,0.4,Sulawesi
Fimbristylis griffithii,Kern in Fl Malesiana (1972),0.7,0.4,Maluku
Fimbristylis griffithii,Kern in Fl Malesiana (1972),0.7,0.4,New Guinea
Fimbristylis insignis,Kern in Fl Malesiana (1972),1.25,0.875,Borneo
Fimbristylis insignis,Kern in Fl Malesiana (1972),1.25,0.875,Philippines
Fimbristylis insignis,Kern in Fl Malesiana (1972),1.25,0.875,Sulawesi
Fimbristylis insignis,Kern in Fl Malesiana (1972),1.25,0.875,New Guinea
Fimbristylis intonsa,Kern in Fl Malesiana (1972),0.8,0.4,Sumatra
Fimbristylis intonsa,Kern in Fl Malesiana (1972),0.8,0.4,New Guinea
Fimbristylis lanceolata,Kern in Fl Malesiana (1972),0.9,0.7,Sulawesi
Fimbristylis lanceolata,Kern in Fl Malesiana (1972),0.9,0.7,Maluku
Fimbristylis leptoclada,Kern in Fl Malesiana (1972),1.25,1,Java
Fimbristylis leptoclada,Kern in Fl Malesiana (1972),1.25,1,Lesser Sundas
Fimbristylis leptoclada,Kern in Fl Malesiana (1972),1.25,1,Philippines
Fimbristylis lineatisquama,Kern in Fl Malesiana (1972),1.5,0.7,Maluku
Fimbristylis lineatisquama,Kern in Fl Malesiana (1972),1.5,0.7,Philippines
Fimbristylis macassarensis,Kern in Fl Malesiana (1972),0.8,0.4,Philippines
Fimbristylis macassarensis,Kern in Fl Malesiana (1972),0.8,0.4,Sulawesi
Fimbristylis merrilii,Kern in Fl Malesiana (1972),0.9,0.5,Sumatra
Fimbristylis merrilii,Kern in Fl Malesiana (1972),0.9,0.5,Java
Fimbristylis merrilii,Kern in Fl Malesiana (1972),0.9,0.5,Philippines
Fimbristylis merrilii,Kern in Fl Malesiana (1972),0.9,0.5,Sulawesi
Fimbristylis merrilii,Kern in Fl Malesiana (1972),0.9,0.5,New Guinea
Fimbristylis microcarya,Kern in Fl Malesiana (1972),0.75,0.4,New Guinea
Fimbristylis nutans,Kern in Fl Malesiana (1972),1.5,1,Sumatra
Fimbristylis nutans,Kern in Fl Malesiana (1972),1.5,1,Borneo
Fimbristylis nutans,Kern in Fl Malesiana (1972),1.5,1,New Guinea
Fimbristylis obtusata,Kern in Fl Malesiana (1972),0.75,0.5,Borneo
Fimbristylis obtusata,Kern in Fl Malesiana (1972),0.75,0.5,Sulawesi
Fimbristylis pauciflora,Kern in Fl Malesiana (1972),0.9,0.5,Sumatra
Fimbristylis pauciflora,Kern in Fl Malesiana (1972),0.9,0.5,Borneo
Fimbristylis pauciflora,Kern in Fl Malesiana (1972),0.9,0.5,New Guinea
Fimbristylis perlaxa,Kern in Fl Malesiana (1972),0.8,0.66,Maluku
Fimbristylis perlaxa,Kern in Fl Malesiana (1972),0.8,0.66,New Guinea
Fimbristylis pierotii,Kern in Fl Malesiana (1972),1.2,1,Philippines
Fimbristylis polytrichoides,Kern in Fl Malesiana (1972),1.1,0.5,Sumatra
Fimbristylis polytrichoides,Kern in Fl Malesiana (1972),1.1,0.5,Java
Fimbristylis polytrichoides,Kern in Fl Malesiana (1972),1.1,0.5,Philippines
Fimbristylis polytrichoides,Kern in Fl Malesiana (1972),1.1,0.5,New Guinea
Fimbristylis quinquangularis,Kern in Fl Malesiana (1972)_Hoenselaar et al. (2010),5,0.33,Sumatra
Fimbristylis quinquangularis,Kern in Fl Malesiana (1972)_Hoenselaar et al. (2010),5,0.33,Java
Fimbristylis quinquangularis,Kern in Fl Malesiana (1972)_Hoenselaar et al. (2010),5,0.33,Lesser Sundas
Fimbristylis quinquangularis,Kern in Fl Malesiana (1972)_Hoenselaar et al. (2010),5,0.33,Philippines
Fimbristylis quinquangularis,Kern in Fl Malesiana (1972)_Hoenselaar et al. (2010),5,0.33,Sulawesi
Fimbristylis quinquangularis,Kern in Fl Malesiana (1972)_Hoenselaar et al. (2010),5,0.33,New Guinea
