"binomial_name","family","genus","species","species_origin","logging_status","history_at_IF_site","history_at_CP_site","fruit_size_mm","fruit_size_min_mm","fruit_size_reference"
"Beilschmiedia micrantha","Lauraceae","Beilschmiedia","micrantha","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Beilschmiedia tawaensis","Lauraceae","Beilschmiedia","tawaensis","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Beilschmiedia unknown mixed","Lauraceae","Beilschmiedia","unknown mixed","CP","logged",NA,"AR, NR",NA,NA,NA
"Bhesa paniculata","Centroplacaceae","Bhesa","paniculata","50ha","unlogged",NA,NA,NA,NA,NA
"Blumeodendron kurzii","Euphorbiaceae","Blumeodendron","kurzii","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Blumeodendron tokbrai","Euphorbiaceae","Blumeodendron","tokbrai","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Bridelia","Phyllanthaceae","Bridelia","","50ha","unlogged",NA,NA,NA,NA,NA
"Bridelia cinnamomea","Phyllanthaceae","Bridelia","cinnamomea","50ha","unlogged",NA,NA,NA,NA,NA
"Bridelia insulana","Phyllanthaceae","Bridelia","insulana","CP, 50ha","both",NA,"no seedling data, AR",NA,NA,NA
"Brownlowia peltata","Malvaceae","Brownlowia","peltata","CP, 50ha","both",NA,"NR, AR",NA,NA,NA
"Brownlowia stipulata","Malvaceae","Brownlowia","stipulata","CP, 50ha","both",NA,"NR",NA,NA,NA
"Buchanania arborescens","Anacardiaceae","Buchanania","arborescens","50ha","unlogged",NA,NA,NA,NA,NA
"Buchanania sessilifolia","Anacardiaceae","Buchanania","sessilifolia","CP, 50ha","both",NA,"NR",NA,NA,NA
"Buchanania unknown mixed","Anacardiaceae","Buchanania","unknown mixed","50ha","unlogged",NA,NA,NA,NA,NA
"Callicarpa longifolia","Lamiaceae","Callicarpa","longifolia","50ha","unlogged",NA,NA,NA,NA,NA
"Callicarpa pentandra","Lamiaceae","Callicarpa","pentandra","CP, 50ha","both",NA,"AR, NR",5,2,"Bramley et al. FM"
"Callicarpa unknown mixed","Lamiaceae","Callicarpa","unknown mixed","CP","logged",NA,"AR",NA,NA,NA
"Calophyllum blancoi","Calophyllaceae","Calophyllum","blancoi","CP, 50ha","both",NA,"NR, AR",NA,NA,NA
"Calophyllum gracilipes","Calophyllaceae","Calophyllum","gracilipes","CP, 50ha","both",NA,"AR",NA,NA,NA
"Calophyllum pulcherrimum","Calophyllaceae","Calophyllum","pulcherrimum","50ha","unlogged",NA,NA,NA,NA,NA
"Calophyllum soulattri","Calophyllaceae","Calophyllum","soulattri","CP, 50ha","both",NA,"NR",NA,NA,NA
"Calophyllum species 1","Clusiaceae","Calophyllum","species 1","50ha","unlogged",NA,NA,NA,NA,NA
"Calophyllum species 2","Clusiaceae","Calophyllum","species 2","50ha","unlogged",NA,NA,NA,NA,NA
"Calophyllaceae venulosum","Calophyllaceae","Calophyllaceae","venulosum","50ha","unlogged",NA,NA,NA,NA,NA
"Cananga odorata","Annonaceae","Cananga","odorata","50ha","unlogged",NA,NA,NA,NA,NA
"Canarium decumanum","Burseraceae","Canarium","decumanum","CP","logged",NA,"AR, NR",NA,NA,NA
"Canarium denticulatum","Burseraceae","Canarium","denticulatum","CP, IF","logged","ActiveRestoration","AR, NR",NA,NA,NA
"Canarium odontophyllum","Burseraceae","Canarium","odontophyllum","CP","logged",NA,"AR, NR, no seedling data",NA,NA,NA
"Canarium unknown mixed","Burseraceae","Canarium","unknown mixed","CP","logged",NA,"AR, NR",NA,NA,NA
"Carallia borneensis","Rhizophoraceae","Carallia","borneensis","50ha","unlogged",NA,NA,NA,NA,NA
"Carallia species 1","Rhizophoraceae","Carallia","species 1","50ha","unlogged",NA,NA,NA,NA,NA
"Caryodaphnopsis tonkinensis","Lauraceae","Caryodaphnopsis","tonkinensis","CP, 50ha","both",NA,"NR, no seedling data, AR",NA,NA,NA
"Casearia grewiifolia","Salicaceae","Casearia","grewiifolia","CP, 50ha","both",NA,"AR",NA,NA,NA
"Castanopsis hypophoenicea","Fagaceae","Castanopsis","hypophoenicea","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Castanopsis motleyana","Fagaceae","Castanopsis","motleyana","CP","logged",NA,"NR",NA,NA,NA
"Castanopsis unknown mixed","Fagaceae","Castanopsis","unknown mixed","50ha","unlogged",NA,NA,NA,NA,NA
"Chionanthus curvicarpus","Oleaceae","Chionanthus","curvicarpus","50ha","unlogged",NA,NA,25,17,"Tree Fl. Sabah & Sarawak 4 (2002)"
"Chionanthus macrocarpus","Oleaceae","Chionanthus","macrocarpus","50ha","unlogged",NA,NA,45,25,"Tree Fl. Sabah & Sarawak 4 (2002)"
"Chionanthus pluriflorus","Oleaceae","Chionanthus","pluriflorus","CP, 50ha","both",NA,"AR, NR",26,19,"Tree Fl. Sabah & Sarawak 4 (2002)"
"Chionanthus unknown mixed","Oleaceae","Chionanthus","unknown mixed","CP, 50ha","both",NA,"NR",NA,NA,NA
"Chisocheton ceramicus","Meliaceae","Chisocheton","ceramicus","50ha","unlogged",NA,NA,NA,NA,NA
"Chisocheton macranthus","Meliaceae","Chisocheton","macranthus","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
