"binomial_name","family","genus","species","species_origin","logging_status","flower_colour","flower_colour_reference"
"Chisocheton macranthus","Meliaceae","Chisocheton","macranthus","CP, 50ha","both","",NA
"Chisocheton patens","Meliaceae","Chisocheton","patens","CP, 50ha","both","",NA
"Chisocheton pentandrus","Meliaceae","Chisocheton","pentandrus","CP, 50ha","both","",NA
"Chisocheton polyandrus","Meliaceae","Chisocheton","polyandrus","50ha","unlogged","",NA
"Chisocheton sarawakanus","Meliaceae","Chisocheton","sarawakanus","CP, 50ha","both","",NA
"Chisocheton unknown mixed","Meliaceae","Chisocheton","unknown mixed","CP, 50ha","both","",NA
"Cinnamomum iners","Lauraceae","Cinnamomum","iners","CP, 50ha","both","",NA
"Cinnamomum racemosum","Lauraceae","Cinnamomum","racemosum","50ha","unlogged","",NA
"Cinnamomum unknown mixed","Lauraceae","Cinnamomum","unknown mixed","CP, 50ha","both","",NA
"Clausena excavata","Rutaceae","Clausena","excavata","CP, 50ha","both","",NA
"Clausena unknown","Rutaceae","Clausena","unknown","50ha","unlogged","",NA
"Cleistanthus hirsutulus","Phyllanthaceae","Cleistanthus","hirsutulus","CP, 50ha","both","",NA
"Cleistanthus oblongifolius","Phyllanthaceae","Cleistanthus","oblongifolius","CP","logged","",NA
"Cleistanthus podopyxis","Phyllanthaceae","Cleistanthus","podopyxis","CP, 50ha","both","",NA
"Cleistanthus species 2","Phyllanthaceae","Cleistanthus","species 2","50ha","unlogged","",NA
"Cleistanthus unknown mixed","Phyllanthaceae","Cleistanthus","unknown mixed","CP, 50ha","both","",NA
"Coelostegia borneensis","Malvaceae","Coelostegia","borneensis","CP, 50ha","both","",NA
"Cowiea borneensis","Rubiaceae","Cowiea","borneensis","50ha","unlogged","",NA
"Crateva magna","Capparaceae","Crateva","magna","50ha","unlogged","",NA
"Cratoxylum cochinchinense","Hypericaceae","Cratoxylum","cochinchinense","50ha","unlogged","",NA
"Cratoxylum unknown mixed","Hypericaceae","Cratoxylum","unknown mixed","CP","logged","",NA
"Croton argyratus","Euphorbiaceae","Croton","argyratus","CP","logged","",NA
"Croton oblongus","Euphorbiaceae","Croton","oblongus","50ha","unlogged","",NA
"Croton unknown mixed","Euphorbiaceae","Croton","unknown mixed","50ha","unlogged","",NA
"Crudia bantamensis","Fabacea","Crudia","bantamensis","50ha","unlogged","yellow_green_white","Hou 1996"
"Crudia tenuipes","Fabaceae","Crudia","tenuipes","CP, 50ha","both","green_white_yellow","Hou 1996"
"Crudia unknown mixed","Fabaceae","Crudia","unknown mixed","CP","logged","",NA
"Crypteronia rubiflora","Crypteroniaceae","Crypteronia","rubiflora","50ha","unlogged","",NA
"Cryptocarya ferrea","Lauraceae","Cryptocarya","ferrea","CP, 50ha","both","pale green_pale yellow","de Kok (2015) Gard. Bull. Sing"
"Cryptocarya pulchrinervia","Lauraceae","Cryptocarya","pulchrinervia","CP, 50ha","both","",NA
"Cryptocarya strictifolia","Lauraceae","Cryptocarya","strictifolia","CP","logged","",NA
"Cryptocarya teysmanniana","Lauraceae","Cryptocarya","teysmanniana","50ha","unlogged","yellow-white","de Kok (2016) Kew Bull. 71"
"Cryptocarya unknown mixed","Lauraceae","Cryptocarya","unknown mixed","CP","logged","",NA
"Cyathocalyx magnifructus","Annonaceae","Cyathocalyx","magnifructus","CP, 50ha","both","",NA
"Cynometra elmeri","Fabaceae","Cynometra","elmeri","50ha","unlogged","",NA
"Cynometra mirabilis","Fabaceae","Cynometra","mirabilis","CP, 50ha","both","",NA
"Dacryodes laxa","Burseraceae","Dacryodes","laxa","50ha","unlogged","",NA
"Dacryodes rostrata","Burseraceae","Dacryodes","rostrata","CP, 50ha","both","",NA
"Dacryodes rugosa","Burseraceae","Dacryodes","rugosa","CP, 50ha","both","",NA
"Dacryodes species 1","Burseraceae","Dacryodes","species 1","50ha","unlogged","",NA
"Dacryodes unknown mixed","Burseraceae","Dacryodes","unknown mixed","CP","logged","",NA
"Dalrympelea sphaerocarpa","Staphyleaceae","Dalrympelea","sphaerocarpa","50ha","unlogged","",NA
"Decaspermum parviflorum","Myrtaceae","Decaspermum","parviflorum","50ha","unlogged","white_pink","Scott (1980)_Scott (1979)"
"Dehaasia caesia","Lauraceae","Dehaasia","caesia","CP, 50ha","both","",NA
"Dehaasia gigantocarpa","Lauraceae","Dehaasia","gigantocarpa","50ha","unlogged","",NA
"Dehaasia incrassata","Lauraceae","Dehaasia","incrassata","CP, 50ha","both","",NA
"Dehaasia unknown mixed","Lauraceae","Dehaasia","unknown mixed","CP, 50ha","both","",NA
"Dendrocnide elliptica","Urticaceae","Dendrocnide","elliptica","CP, 50ha","both","",NA
"Dendrocnide stimulans","Urticaceae","Dendrocnide","stimulans","50ha","unlogged","",NA
"Dendrocnide unknown mixed","Urticaceae","Dendrocnide","unknown mixed","CP, 50ha","both","",NA
"Dialium indum","Fabaceae","Dialium","indum","50ha","unlogged","white","Hou 1996"
"Dialium unknown mixed","Fabaceae","Dialium","unknown mixed","50ha","unlogged","",NA
"Didymocheton gaudichaudianus","Meliaceae","Didymocheton","gaudichaudianus","50ha","unlogged","",NA
"Dillenia borneensis","Dilleniaceae","Dillenia","borneensis","50ha","unlogged","",NA
"Dillenia excelsa","Dilleniaceae","Dillenia","excelsa","CP, 50ha","both","",NA
"Dillenia species 1","Dilleniaceae","Dillenia","species 1","CP, 50ha","both","",NA
"Dimocarpus dentatus","Sapindaceae","Dimocarpus","dentatus","CP, 50ha","both","",NA
"Dimocarpus fumatus","Sapindaceae","Dimocarpus","fumatus","50ha","unlogged","",NA
"Dimocarpus longan","Sapindaceae","Dimocarpus","longan","CP, 50ha, IF","both","",NA
"Diospyros andamanica","Ebenaceae","Diospyros","andamanica","CP, 50ha","both","",NA
"Diospyros borneensis","Ebenaceae","Diospyros","borneensis","50ha","unlogged","",NA
