"binomial_name","family","genus","species","history_at_IF_site","history_at_CP_site","species_origin","logging_status","dispersal_syndrome","Reference"
"Canarium odontophyllum","Burseraceae","Canarium","odontophyllum",NA,"AR, NR, no seedling data","CP","logged",NA,NA
"Canarium unknown mixed","Burseraceae","Canarium","unknown mixed",NA,"AR, NR","CP","logged",NA,NA
"Carallia borneensis","Rhizophoraceae","Carallia","borneensis",NA,NA,"50ha","unlogged",NA,NA
"Carallia species 1","Rhizophoraceae","Carallia","species 1",NA,NA,"50ha","unlogged",NA,NA
"Caryodaphnopsis tonkinensis","Lauraceae","Caryodaphnopsis","tonkinensis",NA,"NR, no seedling data, AR","CP, 50ha","both",NA,NA
"Casearia grewiifolia","Salicaceae","Casearia","grewiifolia",NA,"AR","CP, 50ha","both",NA,NA
"Castanopsis hypophoenicea","Fagaceae","Castanopsis","hypophoenicea",NA,"AR, NR","CP, 50ha","both",NA,NA
"Castanopsis motleyana","Fagaceae","Castanopsis","motleyana",NA,"NR","CP","logged",NA,NA
"Castanopsis unknown mixed","Fagaceae","Castanopsis","unknown mixed",NA,NA,"50ha","unlogged",NA,NA
"Chionanthus curvicarpus","Oleaceae","Chionanthus","curvicarpus",NA,NA,"50ha","unlogged",NA,NA
"Chionanthus macrocarpus","Oleaceae","Chionanthus","macrocarpus",NA,NA,"50ha","unlogged",NA,NA
"Chionanthus pluriflorus","Oleaceae","Chionanthus","pluriflorus",NA,"AR, NR","CP, 50ha","both",NA,NA
"Chionanthus unknown mixed","Oleaceae","Chionanthus","unknown mixed",NA,"NR","CP, 50ha","both",NA,NA
"Chisocheton ceramicus","Meliaceae","Chisocheton","ceramicus",NA,NA,"50ha","unlogged",NA,NA
"Chisocheton macranthus","Meliaceae","Chisocheton","macranthus",NA,"AR, NR","CP, 50ha","both",NA,NA
"Chisocheton patens","Meliaceae","Chisocheton","patens",NA,"NR","CP, 50ha","both",NA,NA
"Chisocheton pentandrus","Meliaceae","Chisocheton","pentandrus",NA,"AR","CP, 50ha","both",NA,NA
"Chisocheton polyandrus","Meliaceae","Chisocheton","polyandrus",NA,NA,"50ha","unlogged",NA,NA
"Chisocheton sarawakanus","Meliaceae","Chisocheton","sarawakanus",NA,"AR, NR","CP, 50ha","both",NA,NA
"Chisocheton unknown mixed","Meliaceae","Chisocheton","unknown mixed",NA,"AR, NR","CP, 50ha","both",NA,NA
"Cinnamomum iners","Lauraceae","Cinnamomum","iners",NA,"AR","CP, 50ha","both","animal","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Cinnamomum racemosum","Lauraceae","Cinnamomum","racemosum",NA,NA,"50ha","unlogged",NA,NA
"Cinnamomum unknown mixed","Lauraceae","Cinnamomum","unknown mixed",NA,"NR","CP, 50ha","both",NA,NA
"Clausena excavata","Rutaceae","Clausena","excavata",NA,"NR","CP, 50ha","both",NA,NA
"Clausena unknown","Rutaceae","Clausena","unknown",NA,NA,"50ha","unlogged",NA,NA
"Cleistanthus hirsutulus","Phyllanthaceae","Cleistanthus","hirsutulus",NA,"AR, NR","CP, 50ha","both",NA,NA
"Cleistanthus oblongifolius","Phyllanthaceae","Cleistanthus","oblongifolius",NA,"NR, AR","CP","logged",NA,NA
"Cleistanthus podopyxis","Phyllanthaceae","Cleistanthus","podopyxis",NA,"no seedling data, AR","CP, 50ha","both",NA,NA
"Cleistanthus species 2","Phyllanthaceae","Cleistanthus","species 2",NA,NA,"50ha","unlogged",NA,NA
"Cleistanthus unknown mixed","Phyllanthaceae","Cleistanthus","unknown mixed",NA,"AR, NR","CP, 50ha","both",NA,NA
"Coelostegia borneensis","Malvaceae","Coelostegia","borneensis",NA,"AR","CP, 50ha","both",NA,NA
"Cowiea borneensis","Rubiaceae","Cowiea","borneensis",NA,NA,"50ha","unlogged",NA,NA
"Crateva magna","Capparaceae","Crateva","magna",NA,NA,"50ha","unlogged",NA,NA
"Cratoxylum cochinchinense","Hypericaceae","Cratoxylum","cochinchinense",NA,NA,"50ha","unlogged",NA,NA
"Cratoxylum unknown mixed","Hypericaceae","Cratoxylum","unknown mixed",NA,"AR, NR","CP","logged",NA,NA
"Croton argyratus","Euphorbiaceae","Croton","argyratus",NA,"NR","CP","logged",NA,NA
"Croton oblongus","Euphorbiaceae","Croton","oblongus",NA,NA,"50ha","unlogged",NA,NA
"Croton unknown mixed","Euphorbiaceae","Croton","unknown mixed",NA,NA,"50ha","unlogged",NA,NA
"Crudia bantamensis","Fabacea","Crudia","bantamensis",NA,NA,"50ha","unlogged",NA,NA
"Crudia tenuipes","Fabaceae","Crudia","tenuipes",NA,"AR","CP, 50ha","both",NA,NA
"Crudia unknown mixed","Fabaceae","Crudia","unknown mixed",NA,"AR, NR","CP","logged",NA,NA
"Crypteronia rubiflora","Crypteroniaceae","Crypteronia","rubiflora",NA,NA,"50ha","unlogged",NA,NA
"Cryptocarya ferrea","Lauraceae","Cryptocarya","ferrea",NA,"AR, NR","CP, 50ha","both",NA,NA
"Cryptocarya pulchrinervia","Lauraceae","Cryptocarya","pulchrinervia",NA,"no seedling data, NR","CP, 50ha","both",NA,NA
"Cryptocarya strictifolia","Lauraceae","Cryptocarya","strictifolia",NA,"AR","CP","logged",NA,NA
"Cryptocarya teysmanniana","Lauraceae","Cryptocarya","teysmanniana",NA,NA,"50ha","unlogged",NA,NA
"Cryptocarya unknown mixed","Lauraceae","Cryptocarya","unknown mixed",NA,"AR","CP","logged",NA,NA
"Cyathocalyx magnifructus","Annonaceae","Cyathocalyx","magnifructus",NA,"AR","CP, 50ha","both",NA,NA
"Cynometra elmeri","Fabaceae","Cynometra","elmeri",NA,NA,"50ha","unlogged",NA,NA
"Cynometra mirabilis","Fabaceae","Cynometra","mirabilis",NA,"NR","CP, 50ha","both",NA,NA
"Dacryodes laxa","Burseraceae","Dacryodes","laxa",NA,NA,"50ha","unlogged",NA,NA
