"binomial_name","family.x","genus","species","history_at_INDFORSUS_site","species_origin","logging_status","flowering_at_size_class","reference"
"Bhesa paniculata","Centroplacaceae","Bhesa","paniculata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Blumeodendron kurzii","Euphorbiaceae","Blumeodendron","kurzii",NA,"50ha, CP","both","IV","Lambir dataset"
"Blumeodendron tokbrai","Euphorbiaceae","Blumeodendron","tokbrai",NA,"50ha, CP","both",NA,"Lambir dataset"
"Bridelia ","Phyllanthaceae","Bridelia","",NA,"50ha","unlogged",NA,"Lambir dataset"
"Bridelia cinnamomea","Phyllanthaceae","Bridelia","cinnamomea",NA,"50ha","unlogged",NA,"Lambir dataset"
"Bridelia insulana","Phyllanthaceae","Bridelia","insulana",NA,"50ha, CP","both",NA,"Lambir dataset"
"Brownlowia peltata","Malvaceae","Brownlowia","peltata","Unlogged","50ha, CP, IF","both",NA,"Lambir dataset"
"Brownlowia stipulata","Malvaceae","Brownlowia","stipulata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Buchanania arborescens","Anacardiaceae","Buchanania","arborescens",NA,"50ha","unlogged",NA,"Lambir dataset"
"Buchanania sessilifolia","Anacardiaceae","Buchanania","sessilifolia","Unlogged","50ha, CP, IF","both",NA,"Lambir dataset"
"Buchanania unknown mixed","Anacardiaceae","Buchanania","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Callicarpa longifolia","Lamiaceae","Callicarpa","longifolia",NA,"50ha","unlogged",NA,"Lambir dataset"
"Callicarpa pentandra","Lamiaceae","Callicarpa","pentandra",NA,"50ha, CP","both",NA,"Lambir dataset"
"Callicarpa unknown mixed","Lamiaceae","Callicarpa","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Calophyllum blancoi","Calophyllaceae","Calophyllum","blancoi",NA,"50ha, CP","both",NA,"Lambir dataset"
"Calophyllum gracilipes","Calophyllaceae","Calophyllum","gracilipes",NA,"50ha, CP","both",NA,"Lambir dataset"
"Calophyllum pulcherrimum","Calophyllaceae","Calophyllum","pulcherrimum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Calophyllum soulattri","Calophyllaceae","Calophyllum","soulattri",NA,"50ha, CP","both",NA,"Lambir dataset"
"Calophyllum species 1","Clusiaceae","Calophyllum","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Calophyllum species 2","Clusiaceae","Calophyllum","species 2",NA,"50ha","unlogged",NA,"Lambir dataset"
"Calophyllaceae venulosum","Calophyllaceae","Calophyllaceae","venulosum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Cananga odorata","Annonaceae","Cananga","odorata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Canarium decumanum","Burseraceae","Canarium","decumanum",NA,"CP","logged",NA,"Lambir dataset"
"Canarium denticulatum","Burseraceae","Canarium","denticulatum","ActiveRestoration","CP, IF","logged","II","Lambir dataset"
"Canarium odontophyllum","Burseraceae","Canarium","odontophyllum",NA,"CP","logged",NA,"Lambir dataset"
"Canarium unknown mixed","Burseraceae","Canarium","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Carallia borneensis","Rhizophoraceae","Carallia","borneensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Carallia species 1","Rhizophoraceae","Carallia","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Caryodaphnopsis tonkinensis","Lauraceae","Caryodaphnopsis","tonkinensis",NA,"50ha, CP","both",NA,"Lambir dataset"
"Casearia grewiifolia","Salicaceae","Casearia","grewiifolia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Castanopsis hypophoenicea","Fagaceae","Castanopsis","hypophoenicea",NA,"50ha, CP","both",NA,"Lambir dataset"
"Castanopsis motleyana","Fagaceae","Castanopsis","motleyana",NA,"CP","logged",NA,"Lambir dataset"
"Castanopsis unknown mixed","Fagaceae","Castanopsis","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Chionanthus curvicarpus","Oleaceae","Chionanthus","curvicarpus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Chionanthus macrocarpus","Oleaceae","Chionanthus","macrocarpus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Chionanthus pluriflorus","Oleaceae","Chionanthus","pluriflorus",NA,"50ha, CP","both",NA,"Lambir dataset"
"Chionanthus unknown mixed","Oleaceae","Chionanthus","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Chisocheton ceramicus","Meliaceae","Chisocheton","ceramicus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Chisocheton macranthus","Meliaceae","Chisocheton","macranthus",NA,"50ha, CP","both",NA,"Lambir dataset"
"Chisocheton patens","Meliaceae","Chisocheton","patens",NA,"50ha, CP","both",NA,"Lambir dataset"
"Chisocheton pentandrus","Meliaceae","Chisocheton","pentandrus",NA,"50ha, CP","both",NA,"Lambir dataset"
"Chisocheton polyandrus","Meliaceae","Chisocheton","polyandrus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Chisocheton sarawakanus","Meliaceae","Chisocheton","sarawakanus",NA,"50ha, CP","both",NA,"Lambir dataset"
"Chisocheton unknown mixed","Meliaceae","Chisocheton","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Cinnamomum iners","Lauraceae","Cinnamomum","iners",NA,"50ha, CP","both",NA,"Lambir dataset"
"Cinnamomum racemosum","Lauraceae","Cinnamomum","racemosum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Cinnamomum unknown mixed","Lauraceae","Cinnamomum","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Clausena excavata","Rutaceae","Clausena","excavata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Clausena unknown","Rutaceae","Clausena","unknown",NA,"50ha","unlogged",NA,"Lambir dataset"
"Cleistanthus hirsutulus","Phyllanthaceae","Cleistanthus","hirsutulus",NA,"50ha, CP","both",NA,"Lambir dataset"
"Cleistanthus oblongifolius","Phyllanthaceae","Cleistanthus","oblongifolius",NA,"CP","logged",NA,"Lambir dataset"
"Cleistanthus podopyxis","Phyllanthaceae","Cleistanthus","podopyxis",NA,"50ha, CP","both",NA,"Lambir dataset"
"Cleistanthus species 2","Phyllanthaceae","Cleistanthus","species 2",NA,"50ha","unlogged",NA,"Lambir dataset"
"Cleistanthus unknown mixed","Phyllanthaceae","Cleistanthus","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Coelostegia borneensis","Malvaceae","Coelostegia","borneensis",NA,"50ha, CP","both",NA,"Lambir dataset"
"Cowiea borneensis","Rubiaceae","Cowiea","borneensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Crateva magna","Capparaceae","Crateva","magna",NA,"50ha","unlogged",NA,"Lambir dataset"
"Cratoxylum cochinchinense","Hypericaceae","Cratoxylum","cochinchinense",NA,"50ha","unlogged",NA,"Lambir dataset"
"Cratoxylum unknown mixed","Hypericaceae","Cratoxylum","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Croton argyratus","Euphorbiaceae","Croton","argyratus",NA,"CP","logged",NA,"Lambir dataset"
"Croton oblongus","Euphorbiaceae","Croton","oblongus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Croton unknown mixed","Euphorbiaceae","Croton","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Crudia bantamensis","Fabacea","Crudia","bantamensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Crudia tenuipes","Fabaceae","Crudia","tenuipes",NA,"50ha, CP","both",NA,"Lambir dataset"
"Crudia unknown mixed","Fabaceae","Crudia","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Crypteronia rubiflora","Crypteroniaceae","Crypteronia","rubiflora",NA,"50ha","unlogged",NA,"Lambir dataset"
"Cryptocarya ferrea","Lauraceae","Cryptocarya","ferrea",NA,"50ha, CP","both",NA,"Lambir dataset"
"Cryptocarya pulchrinervia","Lauraceae","Cryptocarya","pulchrinervia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Cryptocarya strictifolia","Lauraceae","Cryptocarya","strictifolia",NA,"CP","logged",NA,"Lambir dataset"
"Cryptocarya teysmanniana","Lauraceae","Cryptocarya","teysmanniana",NA,"50ha","unlogged",NA,"Lambir dataset"
"Cryptocarya unknown mixed","Lauraceae","Cryptocarya","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Cyathocalyx magnifructus","Annonaceae","Cyathocalyx","magnifructus",NA,"50ha, CP","both",NA,"Lambir dataset"
"Cynometra elmeri","Fabaceae","Cynometra","elmeri",NA,"50ha","unlogged",NA,"Lambir dataset"
"Cynometra mirabilis","Fabaceae","Cynometra","mirabilis",NA,"50ha, CP","both",NA,"Lambir dataset"
"Dacryodes laxa","Burseraceae","Dacryodes","laxa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Dacryodes rostrata","Burseraceae","Dacryodes","rostrata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Dacryodes rugosa","Burseraceae","Dacryodes","rugosa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Dacryodes species 1","Burseraceae","Dacryodes","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Dacryodes unknown mixed","Burseraceae","Dacryodes","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Decaspermum parviflorum","Myrtaceae","Decaspermum","parviflorum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Dehaasia caesia","Lauraceae","Dehaasia","caesia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Dehaasia gigantocarpa","Lauraceae","Dehaasia","gigantocarpa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Dehaasia incrassata","Lauraceae","Dehaasia","incrassata",NA,"50ha, CP","both",NA,"Lambir dataset"
