"binomial_name","family.x","genus","species","history_at_INDFORSUS_site","species_origin","logging_status","flowering_at_size_class","reference"
"Erythroxylum cuneatum","Erythroxylaceae","Erythroxylum","cuneatum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Eurycoma longifolia","Simaroubaceae","Eurycoma","longifolia",NA,"50ha","unlogged",NA,"Lambir dataset"
"Eusideroxylon zwageri","Lauraceae","Eusideroxylon","zwageri",NA,"50ha, CP","both",NA,"Lambir dataset"
"Utania cuspidata","Gentianaceae","Utania","cuspidata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Fagraea unknown mixed","Gentianaceae","Fagraea","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ficus beccarii","Moraceae","Ficus","beccarii",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ficus lepicarpa","Moraceae","Ficus","lepicarpa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ficus mixed","Moraceae","Ficus","mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ficus obscura","Moraceae","Ficus","obscura",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ficus sinuata","Moraceae","Ficus","sinuata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ficus species 1","Moraceae","Ficus","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ficus species 2","Moraceae","Ficus","species 2",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ficus species 3","Moraceae","Ficus","species 3",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ficus species 4","Moraceae","Ficus","species 4",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ficus species 5","Moraceae","Ficus","species 5",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ficus species 6","Moraceae","Ficus","species 6",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ficus species 7","Moraceae","Ficus","species 7",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ficus species 8","Moraceae","Ficus","species 8",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ficus stolonifera","Moraceae","Ficus","stolonifera",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ficus unknown mixed","Moraceae","Ficus","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Ficus variegata","Moraceae","Ficus","variegata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Flacourtia rukam","Salicaceae","Flacourtia","rukam",NA,"50ha","unlogged",NA,"Lambir dataset"
"Fordia brachybotrys","Fabaceae","Fordia","brachybotrys",NA,"50ha, CP","both",NA,"Lambir dataset"
"Fordia splendidissima","Fabaceae","Fordia","splendidissima",NA,"50ha","unlogged",NA,"Lambir dataset"
"Fordia species 1","Fabaceae","Fordia","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Fordia species 3","Fabaceae","Fordia","species 3",NA,"50ha","unlogged",NA,"Lambir dataset"
"Fordia splendidissima","Fabaceae","Fordia","splendidissima",NA,"50ha, CP","both",NA,"Lambir dataset"
"Fordia unknown mixed","Fabaceae","Fordia","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Galearia fulva","Pandaceae","Galearia","fulva",NA,"50ha, CP","both",NA,"Lambir dataset"
"Garcinia nervosa","Clusiaceae","Garcinia","nervosa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Garcinia forbesii","Clusiaceae","Garcinia","forbesii",NA,"50ha, CP","both",NA,"Lambir dataset"
"Garcinia gaudichaudii","Clusiaceae","Garcinia","gaudichaudii",NA,"50ha","unlogged",NA,"Lambir dataset"
"Garcinia parvifolia","Clusiaceae","Garcinia","parvifolia",NA,"50ha","unlogged",NA,"Lambir dataset"
"Garcinia unknown mixed","Clusiaceae","Garcinia","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Gardenia carinata","Rubiaceae","Gardenia","carinata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Gironniera nervosa","Cannabaceae","Gironniera","nervosa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Gironniera species 1","Cannabaceae","Gironniera","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Phyllanthus  borneensis","Phyllanthaceae","Phyllanthus ","borneensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Glochidion elmeri","Phyllanthaceae","Glochidion","elmeri",NA,"50ha, CP","both",NA,"Lambir dataset"
"Phyyanthus  lancisepalus","Phyllanthaceae","Phyyanthus ","lancisepalus",NA,"50ha, CP","both",NA,"Lambir dataset"
"Glochidion pubicapsa","Phyllanthaceae","Glochidion","pubicapsa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Phyllanthus  subscandens","Phyllanthaceae","Phyllanthus ","subscandens",NA,"50ha, CP","both",NA,"Lambir dataset"
"Glochidion species 1","Phyllanthaceae","Glochidion","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Glochidion species 2","Phyllanthaceae","Glochidion","species 2",NA,"50ha","unlogged",NA,"Lambir dataset"
"Glochidion species 3","Phyllanthaceae","Glochidion","species 3",NA,"50ha","unlogged",NA,"Lambir dataset"
"Glochidion species 4","Phyllanthaceae","Glochidion","species 4",NA,"50ha","unlogged",NA,"Lambir dataset"
"Glochidion species 5","Phyllanthaceae","Glochidion","species 5",NA,"50ha","unlogged",NA,"Lambir dataset"
"Glochidion unknown mixed","Phyllanthaceae","Glochidion","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Glycosmis chlorosperma","Rutaceae","Glycosmis","chlorosperma",NA,"50ha","unlogged",NA,"Lambir dataset"
"Glycosmis macrantha","Rutaceae","Glycosmis","macrantha",NA,"50ha, CP","both",NA,"Lambir dataset"
"Glycosmis unknown mixed","Rutaceae","Glycosmis","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Gomphandra quadrifida","Stemonuraceae","Gomphandra","quadrifida",NA,"50ha","unlogged",NA,"Lambir dataset"
"Goniothalamus gigantifolius","Annonaceae","Goniothalamus","gigantifolius",NA,"50ha","unlogged",NA,"Lambir dataset"
"Goniothalamus species 1","Annonaceae","Goniothalamus","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Goniothalamus species 2","Annonaceae","Goniothalamus","species 2",NA,"50ha","unlogged",NA,"Lambir dataset"
"Goniothalamus species 3","Annonaceae","Goniothalamus","species 3",NA,"50ha","unlogged",NA,"Lambir dataset"
"Goniothalamus uvarioides","Annonaceae","Goniothalamus","uvarioides",NA,"50ha, CP","both",NA,"Lambir dataset"
"Goniothalamus woodii","Annonaceae","Goniothalamus","woodii",NA,"50ha","unlogged",NA,"Lambir dataset"
"Gonocaryum calleryanum","Cardiopteridaceae","Gonocaryum","calleryanum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Gonocaryum macrophyllum","Cardiopteridaceae","Gonocaryum","macrophyllum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Gonystylus keithii","Thymelaeaceae","Gonystylus","keithii",NA,"50ha","unlogged",NA,"Lambir dataset"
"Guioa pleuropteris","Sapindaceae","Guioa","pleuropteris",NA,"50ha, CP","both",NA,"Lambir dataset"
"Hancea penangensis","Euphorbiaceae","Hancea","penangensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Harpullia arborea","Sapindaceae","Harpullia","arborea",NA,"50ha","unlogged",NA,"Lambir dataset"
"Harpullia species 1","Sapindaceae","Harpullia","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Helicia excelsa","Proteaceae","Helicia","excelsa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Helicia robusta","Proteaceae","Helicia","robusta",NA,"50ha, CP","both",NA,"Lambir dataset"
"Heliciopsis artocarpoides","Proteaceae","Heliciopsis","artocarpoides",NA,"50ha","unlogged",NA,"Lambir dataset"
"Heritiera elata","Malvaceae","Heritiera","elata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Homalium foetidum","Salicaceae","Homalium","foetidum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Hopea ferruginea","Dipterocarpaceae","Hopea","ferruginea",NA,"50ha, CP","both",NA,"Lambir dataset"
"Hopea nervosa","Dipterocarpaceae","Hopea","nervosa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Hopea pentanervia","Dipterocarpaceae","Hopea","pentanervia",NA,"50ha","unlogged",NA,"Lambir dataset"
"Hopea plagata","Dipterocarpaceae","Hopea","plagata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Hopea sangal","Dipterocarpaceae","Hopea","sangal",NA,"50ha, CP","both",NA,"Lambir dataset"
"Hopea unknown mixed","Dipterocarpaceae","Hopea","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Horsfieldia irya","Myristicaceae","Horsfieldia","irya",NA,"50ha","unlogged",NA,"Lambir dataset"
"Horsfieldia polyspherula","Myristicaceae","Horsfieldia","polyspherula",NA,"50ha, CP","both",NA,"Lambir dataset"
"Horsfieldia unknown mixed","Myristicaceae","Horsfieldia","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Huberantha rumphii","Annonaceae","Huberantha","rumphii",NA,"CP","logged",NA,"Lambir dataset"
"Hydnocarpus anomalus","Achariaceae","Hydnocarpus","anomalus",NA,"CP","logged",NA,"Lambir dataset"
"Hydnocarpus borneensis","Achariaceae","Hydnocarpus","borneensis",NA,"50ha, CP","both",NA,"Lambir dataset"
"Hydnocarpus polypetalus","Achariaceae","Hydnocarpus","polypetalus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Hydnocarpus unknown mixed","Achariaceae","Hydnocarpus","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Intsia palembanica","Fabaceae","Intsia","palembanica",NA,"50ha, CP","both",NA,"Lambir dataset"
"Intsia unknown mixed","Fabaceae","Intsia","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Irvingia malayana","Irvingiaceae","Irvingia","malayana",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ixora blumei","Rubiaceae","Ixora","blumei",NA,"50ha, CP","both",NA,"Lambir dataset"
"Ixora brevicaudata","Rubiaceae","Ixora","brevicaudata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ixora grandifolia","Rubiaceae","Ixora","grandifolia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Ixora unknown mixed","Rubiaceae","Ixora","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Kayea oblongifolia","Calophyllaceae","Kayea","oblongifolia",NA,"50ha","unlogged",NA,"Lambir dataset"
"Kayea unknown mixed","Calophyllaceae","Kayea","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Kibara obtusa","Monimiaceae","Kibara","obtusa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Knema cinerea","Myristicaceae","Knema","cinerea",NA,"50ha","unlogged",NA,"Lambir dataset"
"Knema elmeri","Myristicaceae","Knema","elmeri",NA,"50ha, CP","both",NA,"Lambir dataset"
"Knema furfuracea","Myristicaceae","Knema","furfuracea",NA,"50ha","unlogged",NA,"Lambir dataset"
"Knema glomerata","Myristicaceae","Knema","glomerata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Knema kostermansiana","Myristicaceae","Knema","kostermansiana",NA,"50ha","unlogged",NA,"Lambir dataset"
"Knema latericia","Myristicaceae","Knema","latericia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Knema laurina","Myristicaceae","Knema","laurina",NA,"50ha, CP","both",NA,"Lambir dataset"
"Knema oblongata","Myristicaceae","Knema","oblongata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Knema pectinata","Myristicaceae","Knema","pectinata",NA,"CP","logged",NA,"Lambir dataset"
"Knema pulchra","Myristicaceae","Knema","pulchra",NA,"50ha","unlogged",NA,"Lambir dataset"
"Knema unknown mixed","Myristicaceae","Knema","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Koilodepas laevigatum","Euphorbiaceae","Koilodepas","laevigatum",NA,"50ha","unlogged","III","Lambir dataset"
"Koilodepas longifolium","Euphorbiaceae","Koilodepas","longifolium",NA,"50ha, CP","both",NA,"Lambir dataset"
"Kokoona ochracea","Celastraceae","Kokoona","ochracea",NA,"50ha","unlogged",NA,"Lambir dataset"
"Koompassia excelsa","Fabaceae","Koompassia","excelsa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Kopsia pauciflora","Apocynaceae","Kopsia","pauciflora",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lansium domesticum","Meliaceae","Lansium","domesticum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Lasianthus borneensis","Rubiaceae","Lasianthus","borneensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lasianthus reticulatus","Rubiaceae","Lasianthus","reticulatus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lasianthus species 1","Rubiaceae","Lasianthus","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lasianthus species 2","Rubiaceae","Lasianthus","species 2",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lasianthus species 3","Rubiaceae","Lasianthus","species 3",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lasianthus unknown mixed","Rubiaceae","Lasianthus","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Leea aculeata","Vitaceae","Leea","aculeata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Leea indica","Vitaceae","Leea","indica",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lepisanthes fruticosa","Sapindaceae","Lepisanthes","fruticosa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lepisanthes senegalensis","Sapindaceae","Lepisanthes","senegalensis",NA,"50ha, CP","both",NA,"Lambir dataset"
"Lepisanthes tetraphylla","Sapindaceae","Lepisanthes","tetraphylla",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lepisanthes unknown mixed","Sapindaceae","Lepisanthes","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Angelesia splendens","Chrysobalanaceae","Angelesia","splendens",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lithocarpus ewyckii","Fagaceae","Lithocarpus","ewyckii",NA,"50ha, CP","both",NA,"Lambir dataset"
"Lithocarpus gracilis","Fagaceae","Lithocarpus","gracilis",NA,"50ha, CP","both",NA,"Lambir dataset"
"Lithocarpus leptogyne","Fagaceae","Lithocarpus","leptogyne",NA,"50ha, CP","both","III","Lambir dataset"
"Lithocarpus nieuwenhuisii","Fagaceae","Lithocarpus","nieuwenhuisii",NA,"50ha, CP","both",NA,"Lambir dataset"
"Lithocarpus species 1","Fagaceae","Lithocarpus","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lithocarpus species 2","Fagaceae","Lithocarpus","species 2",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lithocarpus species 3","Fagaceae","Lithocarpus","species 3",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lithocarpus species 4","Fagaceae","Lithocarpus","species 4",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lithocarpus species 5","Fagaceae","Lithocarpus","species 5",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lithocarpus species 6","Fagaceae","Lithocarpus","species 6",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lithocarpus species 7","Fagaceae","Lithocarpus","species 7",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lithocarpus species 8","Fagaceae","Lithocarpus","species 8",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lithocarpus species 9","Fagaceae","Lithocarpus","species 9",NA,"50ha","unlogged",NA,"Lambir dataset"
"Lithocarpus unknown mixed","Fagaceae","Lithocarpus","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Litsea accedens","Lauraceae","Litsea","accedens",NA,"50ha, CP","both",NA,"Lambir dataset"
"Litsea angulata","Lauraceae","Litsea","angulata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Litsea caulocarpa","Lauraceae","Litsea","caulocarpa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Litsea cordata","Lauraceae","Litsea","cordata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Litsea cuprea","Lauraceae","Litsea","cuprea",NA,"50ha","unlogged",NA,"Lambir dataset"
"Litsea curtisii","Lauraceae","Litsea","curtisii",NA,"50ha","unlogged",NA,"Lambir dataset"
"Litsea elliptica","Lauraceae","Litsea","elliptica",NA,"50ha","unlogged",NA,"Lambir dataset"
"Litsea ferruginea","Lauraceae","Litsea","ferruginea",NA,"50ha","unlogged",NA,"Lambir dataset"
"Litsea ficoidea","Lauraceae","Litsea","ficoidea",NA,"50ha","unlogged",NA,"Lambir dataset"
"Litsea fulva","Lauraceae","Litsea","fulva",NA,"50ha, CP","both",NA,"Lambir dataset"
"Litsea garciae","Lauraceae","Litsea","garciae",NA,"50ha, CP","both",NA,"Lambir dataset"
"Litsea grandis","Lauraceae","Litsea","grandis",NA,"50ha, CP","both",NA,"Lambir dataset"
"Litsea ligustrina","Lauraceae","Litsea","ligustrina",NA,"50ha","unlogged",NA,"Lambir dataset"
"Litsea machilifolia","Lauraceae","Litsea","machilifolia",NA,"50ha","unlogged",NA,"Lambir dataset"
"Litsea oppositifolia","Lauraceae","Litsea","oppositifolia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Litsea robusta","Lauraceae","Litsea","robusta",NA,"50ha","unlogged",NA,"Lambir dataset"
"Litsea unknown mixed","Lauraceae","Litsea","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Lophopetalum beccarianum","Celastraceae","Lophopetalum","beccarianum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Lophopetalum javanicum","Celastraceae","Lophopetalum","javanicum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Lophopetalum unknown mixed","Celastraceae","Lophopetalum","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ludekia borneensis","Rubiaceae","Ludekia","borneensis",NA,"50ha, CP","both",NA,"Lambir dataset"
"Ludekia unknown mixed","Rubiaceae","Ludekia","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Maasia sumatrana","Annonaceae","Maasia","sumatrana",NA,"CP","logged",NA,"Lambir dataset"
"Macaranga conifera","Euphorbiaceae","Macaranga","conifera",NA,"CP","logged",NA,"Lambir dataset"
"Macaranga gigantea","Euphorbiaceae","Macaranga","gigantea",NA,"CP","logged",NA,"Lambir dataset"
"Macaranga hypoleuca","Euphorbiaceae","Macaranga","hypoleuca",NA,"50ha, CP","both",NA,"Lambir dataset"
"Macaranga pearsonii","Euphorbiaceae","Macaranga","pearsonii",NA,"50ha, CP","both",NA,"Lambir dataset"
"Macaranga winkleri","Euphorbiaceae","Macaranga","winkleri",NA,"50ha","unlogged",NA,"Lambir dataset"
"Madhuca elmeri","Sapotaceae","Madhuca","elmeri",NA,"50ha, CP","both",NA,"Lambir dataset"
"Madhuca kingiana","Sapotaceae","Madhuca","kingiana",NA,"50ha, CP","both",NA,"Lambir dataset"
"Madhuca korthalsii","Sapotaceae","Madhuca","korthalsii",NA,"50ha, CP","both",NA,"Lambir dataset"
"Madhuca kunstleri","Sapotaceae","Madhuca","kunstleri",NA,"50ha","unlogged",NA,"Lambir dataset"
"Madhuca mindanaensis","Sapotaceae","Madhuca","mindanaensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Madhuca unknown mixed","Sapotaceae","Madhuca","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Magnolia beccarii","Magnoliaceae","Magnolia","beccarii",NA,"50ha","unlogged",NA,"Lambir dataset"
"Magnolia acuminata","Magnoliaceae","Magnolia","acuminata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Magnolia gigantifolia","Magnoliaceae","Magnolia","gigantifolia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Mallotus korthalsii","Euphorbiaceae","Mallotus","korthalsii",NA,"50ha, CP","both",NA,"Lambir dataset"
"Mallotus lackeyi","Euphorbiaceae","Mallotus","lackeyi",NA,"50ha, CP","both",NA,"Lambir dataset"
"Mallotus miquelianus","Euphorbiaceae","Mallotus","miquelianus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Hancea penangensis","Euphorbiaceae","Hancea","penangensis",NA,"CP","logged",NA,"Lambir dataset"
"Mallotus species 1","Euphorbiaceae","Mallotus","species 1",NA,"50ha, CP","both",NA,"Lambir dataset"
"Hancea stipularis","Euphorbiaceae","Hancea","stipularis",NA,"CP","logged",NA,"Lambir dataset"
"Mallotus unknown mixed","Euphorbiaceae","Mallotus","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Mallotus wrayi","Euphorbiaceae","Mallotus","wrayi",NA,"50ha, CP","both",NA,"Lambir dataset"
"Mangifera caesia","Anacardiaceae","Mangifera","caesia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Mangifera indica","Anacardiaceae","Mangifera","indica",NA,"50ha","unlogged",NA,"Lambir dataset"
"Mangifera odorata","Anacardiaceae","Mangifera","odorata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Mangifera pajang","Anacardiaceae","Mangifera","pajang",NA,"50ha, CP","both",NA,"Lambir dataset"
"Mangifera rufocostata","Anacardiaceae","Mangifera","rufocostata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Mangifera species 1","Anacardiaceae","Mangifera","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Mangifera swintonioides","Anacardiaceae","Mangifera","swintonioides",NA,"50ha","unlogged",NA,"Lambir dataset"
"Mangifera unknown mixed","Anacardiaceae","Mangifera","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Maranthes corymbosa","Chrysobalanaceae","Maranthes","corymbosa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Marsypopetalum pallidum","Annonaceae","Marsypopetalum","pallidum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Urophyllum  corymbosum","Rubiaceae","Urophyllum ","corymbosum",NA,"CP","logged",NA,"Lambir dataset"
"Mastixia trichotoma","Nyssaceae","Mastixia","trichotoma",NA,"50ha, CP","both",NA,"Lambir dataset"
"Meiogyne virgata","Annonaceae","Meiogyne","virgata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Melanochyla auriculata","Anacardiaceae","Melanochyla","auriculata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Melanochyla beccariana","Anacardiaceae","Melanochyla","beccariana",NA,"50ha, CP","both",NA,"Lambir dataset"
"Melanochyla unknown mixed","Anacardiaceae","Melanochyla","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Melastoma malabathricum","Melastomataceae","Melastoma","malabathricum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Melicope  lunu-ankenda","Rutaceae","Melicope ","lunu-ankenda",NA,"CP","logged",NA,"Lambir dataset"
"Melicope  unknown mixed","Rutaceae","Melicope ","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Meliosma pinnata","Sabiaceae","Meliosma","pinnata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Meliosma sumatrana","Sabiaceae","Meliosma","sumatrana",NA,"50ha, CP","both",NA,"Lambir dataset"
"Memecylon paniculatum","Melastomataceae","Memecylon","paniculatum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Memecylon lilacinum","Melastomataceae","Memecylon","lilacinum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Memecylon oleifolium","Melastomataceae","Memecylon","oleifolium",NA,"50ha","unlogged",NA,"Lambir dataset"
"Memecylon  species 1","Melastomataceae","Memecylon"," species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Memecylon species 2","Melastomataceae","Memecylon","species 2",NA,"50ha","unlogged",NA,"Lambir dataset"
"Memecylon species 3","Melastomataceae","Memecylon","species 3",NA,"50ha","unlogged",NA,"Lambir dataset"
"Merope angulata","Rutaceae","Merope","angulata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Kayea borneensis","Calophyllaceae","Kayea","borneensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Kayea macrantha","Calophyllaceae","Kayea","macrantha",NA,"50ha","unlogged",NA,"Lambir dataset"
"Mesua unknown mixed","Clusiaceae","Mesua","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Microcos antidesmifolia","Malvaceae","Microcos","antidesmifolia",NA,"50ha","unlogged",NA,"Lambir dataset"
"Microcos crassifolia","Malvaceae","Microcos","crassifolia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Microcos fibrocarpa","Malvaceae","Microcos","fibrocarpa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Microcos latistipulata","Malvaceae","Microcos","latistipulata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Microcos ossea","Malvaceae","Microcos","ossea",NA,"50ha, CP","both",NA,"Lambir dataset"
"Microcos unknown mixed","Malvaceae","Microcos","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Mischocarpus pentapetalus","Sapindaceae","Mischocarpus","pentapetalus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Monanthocitrus oblanceolata","Rutaceae","Monanthocitrus","oblanceolata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Monocarpia borneensis","Annonaceae","Monocarpia","borneensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Monoon erianthoides","Annonaceae","Monoon","erianthoides",NA,"50ha, CP","both",NA,"Lambir dataset"
"Monoon grandiflorum","Annonaceae","Monoon","grandiflorum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Monoon hookerianum","Annonaceae","Monoon","hookerianum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Monoon species 1","Annonaceae","Monoon","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Monoon species 2","Annonaceae","Monoon","species 2",NA,"50ha","unlogged",NA,"Lambir dataset"
"Monoon xanthopetalum","Annonaceae","Monoon","xanthopetalum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Myristica cinnamomea","Myristicaceae","Myristica","cinnamomea",NA,"50ha","unlogged",NA,"Lambir dataset"
"Myrmeconauclea strigosa","Rubiaceae","Myrmeconauclea","strigosa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Nauclea sp1","Rubiaceae","Nauclea","sp1",NA,"CP","logged",NA,"Lambir dataset"
"Nauclea subdita","Rubiaceae","Nauclea","subdita",NA,"CP","logged",NA,"Lambir dataset"
"Nauclea unknown mixed","Rubiaceae","Nauclea","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Neesia synandra","Malvaceae","Neesia","synandra",NA,"50ha, CP","both",NA,"Lambir dataset"
"Neesia unknown mixed","Malvaceae","Neesia","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Neo-Uvaria acuminatissima","Annonaceae","Neo-Uvaria","acuminatissima",NA,"50ha","unlogged",NA,"Lambir dataset"
"Neo-Uvaria unknown mixed","Annonaceae","Neo-Uvaria","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Neo-Uvaria acuminatissima","Annonaceae","Neo-Uvaria","acuminatissima",NA,"CP","logged",NA,"Lambir dataset"
"Neolamarckia cadamba","Rubiaceae","Neolamarckia","cadamba",NA,"50ha, CP","both",NA,"Lambir dataset"
"Neonauclea  gigantea","Rubiaceae","Neonauclea ","gigantea",NA,"CP","logged",NA,"Lambir dataset"
"Neonauclea sp","Rubiaceae","Neonauclea","sp",NA,"CP","logged",NA,"Lambir dataset"
"Neonauclea sp1","Rubiaceae","Neonauclea","sp1",NA,"CP","logged",NA,"Lambir dataset"
"Neoscortechinia kingii","Euphorbiaceae","Neoscortechinia","kingii",NA,"50ha, CP","both",NA,"Lambir dataset"
"Nephelium cuspidatum","Sapindaceae","Nephelium","cuspidatum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Nephelium maingayi","Sapindaceae","Nephelium","maingayi",NA,"50ha, CP","both",NA,"Lambir dataset"
