"binomial_name","family","genus","species","history_at_IF_site","history_at_CP_site","species_origin","logging_status","seed_length_mm","reference"
"Aglaia odoratissima","Meliaceae","Aglaia","odoratissima",NA,"AR, NR","CP, 50ha","both",9.17797857142857,"BIEN"
"Aglaia oligophylla","Meliaceae","Aglaia","oligophylla",NA,NA,"50ha","unlogged",9.17797857142857,"BIEN"
"Aglaia silvestris","Meliaceae","Aglaia","silvestris",NA,"AR, NR","CP, 50ha","both",9.17797857142857,"BIEN"
"Aglaia spectabilis","Meliaceae","Aglaia","spectabilis",NA,"AR, NR","CP, 50ha","both",9.17797857142857,"BIEN"
"Aglaia tomentosa","Meliaceae","Aglaia","tomentosa",NA,"AR, NR","CP, 50ha","both",9.17797857142857,"BIEN"
"Aglaia unknown mixed","Meliaceae","Aglaia","unknown mixed",NA,"AR, NR, no seedling data","CP, 50ha","both",NA,"BIEN"
"Alangium javanicum","Cornaceae","Alangium","javanicum",NA,"AR, NR","CP, 50ha","both",7.8,"BIEN"
"Allophylus cobbe","Sapindaceae","Allophylus","cobbe",NA,NA,"50ha","unlogged",8.360909,"BIEN"
"Alseodaphne bancana","Lauraceae","Alseodaphne","bancana",NA,NA,"50ha","unlogged",13.1101518518519,"BIEN"
"Alseodaphne unknown mixed","Lauraceae","Alseodaphne","unknown mixed",NA,"AR","CP, 50ha","both",NA,"BIEN"
"Alstonia angustifolia","Apocynaceae","Alstonia","angustifolia",NA,"NR, AR","CP, 50ha","both",10.4306363636364,"BIEN"
"Alstonia iwahigensis","Apocynaceae","Alstonia","iwahigensis",NA,NA,"50ha","unlogged",10.4306363636364,"BIEN"
"Anaxagorea javanica","Annonaceae","Anaxagorea","javanica",NA,NA,"50ha","unlogged",16.6527142857143,"BIEN"
"Anisophyllea beccariana","Anisophylleaceae","Anisophyllea","beccariana",NA,NA,"50ha","unlogged",18.891,"BIEN"
"Anisophyllea corneri","Anisophylleaceae","Anisophyllea","corneri",NA,"NR, AR","CP, 50ha","both",18.891,"BIEN"
"Anisoptera costata","Dipterocarpaceae","Anisoptera","costata",NA,"AR","CP, 50ha","both",NA,"BIEN"
"Antiaris toxicaria","Moraceae","Antiaris","toxicaria",NA,NA,"50ha","unlogged",7.3,"BIEN"
"Antidesma leucopodum","Phyllanthaceae","Antidesma","leucopodum",NA,NA,"50ha","unlogged",3.949,"BIEN"
"Antidesma neurocarpum","Phyllanthaceae","Antidesma","neurocarpum",NA,NA,"50ha","unlogged",3.949,"BIEN"
"Phyllanthaceae species 1","Antidesma species 1","Phyllanthaceae","species 1",NA,"NR","CP","logged",NA,"BIEN"
"Antidesma roxburghii","Phyllanthaceae","Antidesma","roxburghii",NA,NA,"50ha","unlogged",3.949,"BIEN"
"Antidesma unknown mixed","Phyllanthaceae","Antidesma","unknown mixed",NA,"AR","CP, 50ha","both",NA,"BIEN"
"Aphanamixis borneensis","Meliaceae","Aphanamixis","borneensis",NA,NA,"50ha","unlogged",9.17797857142857,"BIEN"
"Aphanamixis unknown mixed","Meliaceae","Aphanamixis","unknown mixed",NA,NA,"50ha","unlogged",NA,"BIEN"
"Aporosa elmeri","Phyllanthaceae","Aporosa","elmeri",NA,"AR, NR","CP","logged",8.4,"BIEN"
"Aporosa falcifera","Phyllanthaceae","Aporosa","falcifera",NA,"AR, NR","CP","logged",8.4,"BIEN"
"Aporosa frutescens","Phyllanthaceae","Aporosa","frutescens",NA,"AR, NR","CP","logged",7.4,"BIEN"
"Aporosa grandistipula","Phyllanthaceae","Aporosa","grandistipula",NA,"AR, NR","CP","logged",8.4,"BIEN"
"Aporosa illustris","Phyllanthaceae","Aporosa","illustris",NA,"NR, AR","CP","logged",8.4,"BIEN"
"Aporusa unknown mixed","Phyllanthaceae","Aporusa","unknown mixed",NA,"NR, AR","CP","logged",NA,"BIEN"
"Aquilaria beccariana","Thymelaeaceae","Aquilaria","beccariana",NA,NA,"50ha","unlogged",NA,"BIEN"
"Archidendron microcarpum","Fabaceae","Archidendron","microcarpum",NA,NA,"50ha","unlogged",7.9,"BIEN"
"Archidendron unknown mixed","Fabaceae","Archidendron","unknown mixed",NA,NA,"50ha","unlogged",NA,"BIEN"
"Ardisia  colorata","Primulaceae","Ardisia ","colorata",NA,NA,NA,NA,NA,"BIEN"
"Ardisia  macrophylla","Primulaceae","Ardisia ","macrophylla",NA,NA,NA,NA,NA,"BIEN"
"Ardisia  unknown mixed","Primulaceae","Ardisia ","unknown mixed",NA,"AR","CP","logged",NA,"BIEN"
"Artocarpus anisophyllus","Moraceae","Artocarpus","anisophyllus",NA,"NR","CP, 50ha","both",19.85,"BIEN"
"Artocarpus elasticus","Moraceae","Artocarpus","elasticus",NA,"NR","CP","logged",11.8,"BIEN"
"Artocarpus heterophyllus","Moraceae","Artocarpus","heterophyllus",NA,"AR","CP","logged",19.85,"BIEN"
"Artocarpus unknown mixed","Moraceae","Artocarpus","unknown mixed",NA,"AR","CP","logged",NA,"BIEN"
"Atuna excelsa","Chrysobalanaceae","Atuna","excelsa",NA,"NR","CP","logged",22.1142857142857,"BIEN"
"Azadirachta excelsa","Meliaceae","Azadirachta","excelsa",NA,"AR","CP, 50ha","both",9.17797857142857,"BIEN"
"Baccaurea edulis","Phyllanthaceae","Baccaurea","edulis",NA,NA,"50ha","unlogged",11.5,"BIEN"
"Baccaurea lanceolata","Phyllanthaceae","Baccaurea","lanceolata",NA,"AR, NR","CP, 50ha","both",11.5,"BIEN"
"Baccaurea macrocarpa","Phyllanthaceae","Baccaurea","macrocarpa",NA,"no seedling data","CP, 50ha","both",11.5,"BIEN"
"Baccaurea parviflora","Phyllanthaceae","Baccaurea","parviflora",NA,NA,"50ha","unlogged",11.5,"BIEN"
"Baccaurea species 1","Phyllanthaceae","Baccaurea","species 1",NA,NA,"50ha","unlogged",11.5,"BIEN"
