"binomial_name","family","genus","species","mean_wood_density_g_cm_3","species_origin","logging_status","history_at_IF_site","history_at_CP_site","reference_wood_density"
"Calophyllum pulcherrimum","Calophyllaceae","Calophyllum","pulcherrimum",0.62,"50ha","unlogged",NA,NA,"WDD, TRY"
"Calophyllum soulattri","Calophyllaceae","Calophyllum","soulattri",0.43,"CP, 50ha","both",NA,"NR","WDD, TRY"
"Calophyllum species 1","Clusiaceae","Calophyllum","species 1",NA,"50ha","unlogged",NA,NA,""
"Calophyllum species 2","Clusiaceae","Calophyllum","species 2",NA,"50ha","unlogged",NA,NA,""
"Cananga odorata","Annonaceae","Cananga","odorata",0.33,"50ha","unlogged",NA,NA,"WDD, TRY"
"Canarium decumanum","Burseraceae","Canarium","decumanum",0.34,"CP","logged",NA,"AR, NR","WDD, TRY"
"Canarium denticulatum","Burseraceae","Canarium","denticulatum",0.5,"CP, IF","logged","ActiveRestoration","AR, NR","WDD, TRY"
"Canarium odontophyllum","Burseraceae","Canarium","odontophyllum",0.5,"CP","logged",NA,"AR, NR, no seedling data","WDD, TRY"
"Canarium unknown mixed","Burseraceae","Canarium","unknown mixed",NA,"CP","logged",NA,"AR, NR",""
"Carallia borneensis","Rhizophoraceae","Carallia","borneensis",0.61,"50ha","unlogged",NA,NA,"WDD, TRY"
"Carallia species 1","Rhizophoraceae","Carallia","species 1",NA,"50ha","unlogged",NA,NA,""
"Caryodaphnopsis tonkinensis","Lauraceae","Caryodaphnopsis","tonkinensis",0.49,"CP, 50ha","both",NA,"NR, no seedling data, AR","TRY"
"Casearia grewiifolia","Salicaceae","Casearia","grewiifolia",0.49,"CP, 50ha","both",NA,"AR","WDD, TRY"
"Castanopsis hypophoenicea","Fagaceae","Castanopsis","hypophoenicea",NA,"CP, 50ha","both",NA,"AR, NR",""
"Castanopsis motleyana","Fagaceae","Castanopsis","motleyana",0.64,"CP","logged",NA,"NR","TRY"
"Castanopsis unknown mixed","Fagaceae","Castanopsis","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Chionanthus curvicarpus","Oleaceae","Chionanthus","curvicarpus",NA,"50ha","unlogged",NA,NA,""
"Chionanthus macrocarpus","Oleaceae","Chionanthus","macrocarpus",0.53,"50ha","unlogged",NA,NA,"TRY"
"Chionanthus pluriflorus","Oleaceae","Chionanthus","pluriflorus",NA,"CP, 50ha","both",NA,"AR, NR",""
"Chionanthus unknown mixed","Oleaceae","Chionanthus","unknown mixed",NA,"CP, 50ha","both",NA,"NR",""
"Chisocheton ceramicus","Meliaceae","Chisocheton","ceramicus",0.43,"50ha","unlogged",NA,NA,"WDD, TRY"
"Chisocheton macranthus","Meliaceae","Chisocheton","macranthus",NA,"CP, 50ha","both",NA,"AR, NR",""
"Chisocheton patens","Meliaceae","Chisocheton","patens",0.48,"CP, 50ha","both",NA,"NR","WDD, TRY"
"Chisocheton pentandrus","Meliaceae","Chisocheton","pentandrus",0.5,"CP, 50ha","both",NA,"AR","WDD, TRY"
"Chisocheton polyandrus","Meliaceae","Chisocheton","polyandrus",NA,"50ha","unlogged",NA,NA,""
"Chisocheton sarawakanus","Meliaceae","Chisocheton","sarawakanus",0.6,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Chisocheton unknown mixed","Meliaceae","Chisocheton","unknown mixed",NA,"CP, 50ha","both",NA,"AR, NR",""
"Cinnamomum iners","Lauraceae","Cinnamomum","iners",0.5,"CP, 50ha","both",NA,"AR","WDD, TRY"
"Cinnamomum racemosum","Lauraceae","Cinnamomum","racemosum",NA,"50ha","unlogged",NA,NA,""
"Cinnamomum unknown mixed","Lauraceae","Cinnamomum","unknown mixed",NA,"CP, 50ha","both",NA,"NR",""
"Clausena excavata","Rutaceae","Clausena","excavata",NA,"CP, 50ha","both",NA,"NR",""
"Clausena unknown","Rutaceae","Clausena","unknown",NA,"50ha","unlogged",NA,NA,""
"Cleistanthus hirsutulus","Phyllanthaceae","Cleistanthus","hirsutulus",NA,"CP, 50ha","both",NA,"AR, NR",""
"Cleistanthus oblongifolius","Phyllanthaceae","Cleistanthus","oblongifolius",0.59,"CP","logged",NA,"NR, AR","TRY"
"Cleistanthus podopyxis","Phyllanthaceae","Cleistanthus","podopyxis",NA,"CP, 50ha","both",NA,"no seedling data, AR",""
"Cleistanthus species 2","Phyllanthaceae","Cleistanthus","species 2",NA,"50ha","unlogged",NA,NA,""
