"binomial_name","family","genus","species","species_origin","logging_status","history_at_IF_site","history_at_CP_site","level_used","mean_dry_seed_mass_mg","reference_seed_mass"
"Azadirachta excelsa","Meliaceae","Azadirachta","excelsa","CP, 50ha","both",NA,"AR","Species",1920,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)., Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Baccaurea edulis","Phyllanthaceae","Baccaurea","edulis","50ha","unlogged",NA,NA,"Family",39.4013353648649,"BIEN"
"Baccaurea lanceolata","Phyllanthaceae","Baccaurea","lanceolata","CP, 50ha","both",NA,"AR, NR","Family",39.4013353648649,"BIEN"
"Baccaurea macrocarpa","Phyllanthaceae","Baccaurea","macrocarpa","CP, 50ha","both",NA,"no seedling data","Family",39.4013353648649,"BIEN"
"Baccaurea parviflora","Phyllanthaceae","Baccaurea","parviflora","50ha","unlogged",NA,NA,"Species",38,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, unpub., Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Baccaurea species 1","Phyllanthaceae","Baccaurea","species 1","50ha","unlogged",NA,NA,"Family",39.4013353648649,"BIEN"
"Baccaurea tetrandra","Phyllanthaceae","Baccaurea","tetrandra","CP, 50ha","both",NA,"AR, NR","Species",100,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396., Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Baccaurea unknown mixed","Phyllanthaceae","Baccaurea","unknown mixed","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Barringtonia lanceolata","Lecythidaceae ","Barringtonia","lanceolata","CP, 50ha","both",NA,"AR, NR","Genus",1163,"BIEN"
"Barringtonia macrostachya","Lecythidaceae ","Barringtonia","macrostachya","CP, 50ha","both",NA,"AR, NR","Genus",1163,"BIEN"
"Barringtonia unknown mixed","Lecythidaceae","Barringtonia","unknown mixed","50ha","unlogged",NA,NA,NA,NA,NA
"Beilschmiedia ","Lauraceae","Beilschmiedia","","CP, 50ha","both",NA,"NR",NA,NA,NA
"Beilschmiedia Unknown species 1","Lauraceae","Beilschmiedia","Unknown species 1","50ha","unlogged",NA,NA,"Genus",4248.53,"BIEN"
"Beilschmiedia assamica","Lauraceae","Beilschmiedia","assamica","50ha","unlogged",NA,NA,"Species",4248.53,"Neuschulz, E. L., T. Mueller, M. Schleuning & K. Böhning-Gaese (2016) Pollination and seed dispersal are the most threatened processes of plant regeneration. Scientific Reports 6, Article number: 29839"
"Beilschmiedia micrantha","Lauraceae","Beilschmiedia","micrantha","CP, 50ha","both",NA,"AR, NR","Genus",4248.53,"BIEN"
"Beilschmiedia tawaensis","Lauraceae","Beilschmiedia","tawaensis","CP, 50ha","both",NA,"AR, NR","Genus",4248.53,"BIEN"
"Beilschmiedia unknown mixed","Lauraceae","Beilschmiedia","unknown mixed","CP","logged",NA,"AR, NR",NA,NA,NA
"Bhesa paniculata","Centroplacaceae","Bhesa","paniculata","50ha","unlogged",NA,NA,"Species",77,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Blumeodendron kurzii","Euphorbiaceae","Blumeodendron","kurzii","CP, 50ha","both",NA,"AR, NR","Family",119.998798464659,"BIEN"
"Blumeodendron tokbrai","Euphorbiaceae","Blumeodendron","tokbrai","CP, 50ha","both",NA,"AR, NR","Family",119.998798464659,"BIEN"
"Bridelia ","Phyllanthaceae","Bridelia","","50ha","unlogged",NA,NA,NA,NA,NA
"Bridelia cinnamomea","Phyllanthaceae","Bridelia","cinnamomea","50ha","unlogged",NA,NA,"Family",39.4013353648649,"BIEN"
"Bridelia insulana","Phyllanthaceae","Bridelia","insulana","CP, 50ha","both",NA,"no seedling data, AR","Family",39.4013353648649,"BIEN"
