original_binomial_name,original_family,original_genus,original_species,family ,genus,species,comments,history_at_INDFORSUS_site,species_origin,logging_status
Castanopsis hypophoenicea,Fagaceae,Castanopsis,hypophoenicea,Fagaceae,Castanopsis,hypophoenicea,,NA,"50ha, CP",both
Castanopsis motleyana,Fagaceae,Castanopsis,motleyana,Fagaceae,Castanopsis,motleyana,,NA,CP,logged
Castanopsis unknown mixed,Fagaceae,Castanopsis,unknown mixed,Fagaceae,Castanopsis,unknown mixed,not identified to species level,NA,50ha,unlogged
Chionanthus curvicarpus,Oleaceae,Chionanthus,curvicarpus,Oleaceae,Chionanthus,curvicarpus,,NA,50ha,unlogged
Chionanthus macrocarpus,Oleaceae,Chionanthus,macrocarpus,Oleaceae,Chionanthus,macrocarpus,,NA,50ha,unlogged
Chionanthus pluriflorus,Oleaceae,Chionanthus,pluriflorus,Oleaceae,Chionanthus,pluriflorus,,NA,"50ha, CP",both
Chionanthus unknown mixed,Oleaceae,Chionanthus,unknown mixed,Oleaceae,Chionanthus,unknown mixed,not identified to species level,NA,"50ha, CP",both
Chisocheton ceramicus,Meliaceae,Chisocheton,ceramicus,Meliaceae,Chisocheton,ceramicus,,NA,50ha,unlogged
Chisocheton macranthus,Meliaceae,Chisocheton,macranthus,Meliaceae,Chisocheton,macranthus,,NA,"50ha, CP",both
Chisocheton patens,Meliaceae,Chisocheton,patens,Meliaceae,Chisocheton,patens,,NA,"50ha, CP",both
Chisocheton pentandrus,Meliaceae,Chisocheton,pentandrus,Meliaceae,Chisocheton,pentandrus,,NA,"50ha, CP",both
Chisocheton polyandrus,Meliaceae,Chisocheton,polyandrus,Meliaceae,Chisocheton,polyandrus,,NA,50ha,unlogged
Chisocheton sarawakensis,Meliaceae,Chisocheton,sarawakensis,Meliaceae,Chisocheton,sarawakanus,sarawakensis corrected to sarawakanus,NA,"50ha, CP",both
Chisocheton unknown mixed,Meliaceae,Chisocheton,unknown mixed,Meliaceae,Chisocheton,unknown mixed,not identified to species level,NA,"50ha, CP",both
