original_binomial_name,original_family,original_genus,original_species,family ,genus,species,comments,history_at_INDFORSUS_site,species_origin,logging_status
Madhuca elmeri,Sapotaceae,Madhuca,elmeri,Sapotaceae,Madhuca,elmeri,,NA,"50ha, CP",both
Madhuca kingiana,Sapotaceae,Madhuca,kingiana,Sapotaceae,Madhuca,kingiana,,NA,"50ha, CP",both
Madhuca korthalsii,Sapotaceae,Madhuca,korthalsii,Sapotaceae,Madhuca,korthalsii,,NA,"50ha, CP",both
Madhuca kunstleri,Sapotaceae,Madhuca,kunstleri,Sapotaceae,Madhuca,kunstleri,,NA,50ha,unlogged
Madhuca mindanaensis,Sapotaceae,Madhuca,mindanaensis,Sapotaceae,Madhuca,mindanaensis,,NA,50ha,unlogged
Madhuca unknown mixed,Sapotaceae,Madhuca,unknown mixed,Sapotaceae,Madhuca,unknown mixed,not identified to species level,NA,50ha,unlogged
Magnolia beccarii,Magnoliaceae,Magnolia,beccarii,Magnoliaceae,Magnolia,beccarii,,NA,50ha,unlogged
Magnolia candolii,Magnoliaceae,Magnolia,candolii,Magnoliaceae,Magnolia,acuminata,"likely should have been Magnolia candollei, which is a synonym of Magnolia acuminata",NA,"50ha, CP",both
Magnolia gigantifolia,Magnoliaceae,Magnolia,gigantifolia,Magnoliaceae,Magnolia,gigantifolia,,NA,"50ha, CP",both
Mallotus korthalsii,Euphorbiaceae,Mallotus,korthalsii,Euphorbiaceae,Mallotus,korthalsii,,NA,"50ha, CP",both
Mallotus lackeyi,Euphorbiaceae,Mallotus,lackeyi,Euphorbiaceae,Mallotus,lackeyi,,NA,"50ha, CP",both
Mallotus miquelianus,Euphorbiaceae,Mallotus,miquelianus,Euphorbiaceae,Mallotus,miquelianus,,NA,50ha,unlogged
Mallotus penangensis,Euphorbiaceae,Mallotus,penangensis,Euphorbiaceae,Hancea,penangensis,Mallotus penangensis is a synonym of Hancea penangensis,NA,CP,logged
Mallotus species 1,Euphorbiaceae,Mallotus,species 1,Euphorbiaceae,Mallotus,species 1,not identified to species level,NA,"50ha, CP",both
Mallotus stipularis,Euphorbiaceae,Mallotus,stipularis,Euphorbiaceae,Hancea,stipularis,Mallotus stipularis is a synonym of Hancea stipularis,NA,CP,logged
Mallotus unknown mixed,Euphorbiaceae,Mallotus,unknown mixed,Euphorbiaceae,Mallotus,unknown mixed,not identified to species level,NA,"50ha, CP",both
Mallotus wrayi,Euphorbiaceae,Mallotus,wrayi,Euphorbiaceae,Mallotus,wrayi,,NA,"50ha, CP",both
Mangifera foetida,Anacardiaceae,Mangifera,foetida,Anacardiaceae,Mangifera,caesia,Mangifera foetida is a synonym of Mangifera caesia. Recorded as introduced to borneo.,NA,"50ha, CP",both
Mangifera indica,Anacardiaceae,Mangifera,indica,Anacardiaceae,Mangifera,indica,not recorded as occuring in borneo,NA,50ha,unlogged
Mangifera odorata,Anacardiaceae,Mangifera,odorata,Anacardiaceae,Mangifera,odorata,Recorded as introduced to borneo,NA,50ha,unlogged
Mangifera pajang,Anacardiaceae,Mangifera,pajang,Anacardiaceae,Mangifera,pajang,,NA,"50ha, CP",both
Mangifera rufocostata,Anacardiaceae,Mangifera,rufocostata,Anacardiaceae,Mangifera,rufocostata,,NA,50ha,unlogged
Mangifera species 1,Anacardiaceae,Mangifera,species 1,Anacardiaceae,Mangifera,species 1,not identified to species level,NA,50ha,unlogged
Mangifera swintonioides,Anacardiaceae,Mangifera,swintonioides,Anacardiaceae,Mangifera,swintonioides,,NA,50ha,unlogged
Mangifera unknown mixed,Anacardiaceae,Mangifera,unknown mixed,Anacardiaceae,Mangifera,unknown mixed,not identified to species level,NA,"50ha, CP",both
Maranthes corymbosa,Chrysobalanaceae,Maranthes,corymbosa,Chrysobalanaceae,Maranthes,corymbosa,,NA,50ha,unlogged
Marsypopetalum pallidum,Annonaceae,Marsypopetalum,pallidum,Annonaceae,Marsypopetalum,pallidum,,NA,50ha,unlogged
Maschalocarybus corymbosus,Rubiaceae,Maschalocarybus,corymbosus,Rubiaceae,Urophyllum ,corymbosum,"assumed to be Maschalocorymbus corymbosus, which is a synonym of Urophyllum corymbosum",NA,CP,logged
Mastixia trichotoma,Cornaceae,Mastixia,trichotoma,Nyssaceae,Mastixia,trichotoma,family corrected,NA,"50ha, CP",both
Meiogyne virgata,Annonaceae,Meiogyne,virgata,Annonaceae,Meiogyne,virgata,,NA,"50ha, CP",both
Melanochyla auriculata,Anacardiaceae,Melanochyla,auriculata,Anacardiaceae,Melanochyla,auriculata,,NA,50ha,unlogged
Melanochyla beccariana,Anacardiaceae,Melanochyla,beccariana,Anacardiaceae,Melanochyla,beccariana,,NA,"50ha, CP",both
Melanochyla unknown mixed,Anacardiaceae,Melanochyla,unknown mixed,Anacardiaceae,Melanochyla,unknown mixed,not identified to species level,NA,50ha,unlogged
Melastoma malabathricum,Melastomataceae,Melastoma,malabathricum,Melastomataceae,Melastoma,malabathricum,,NA,50ha,unlogged
Melicope lunu-ankenda,Rutaceae,Melicope ,lunu-ankenda,Rutaceae,Melicope ,lunu-ankenda,not recorded as occuring in borneo,NA,CP,logged
Melicope unknown mixed,Rutaceae,Melicope ,unknown mixed,Rutaceae,Melicope ,unknown mixed,not identified to species level,NA,CP,logged
Meliosma pinnata,Sabiaceae,Meliosma,pinnata,Sabiaceae,Meliosma,pinnata,,NA,"50ha, CP",both
Meliosma sumatrana,Sabiaceae,Meliosma,sumatrana,Sabiaceae,Meliosma,sumatrana,,NA,"50ha, CP",both
Memecylon costatum,Memecylaceae,Memecylon,costatum,Melastomataceae,Memecylon,paniculatum,family corrected. memecylon costatum is a synonym of Memecylon paniculatum,NA,"50ha, CP",both
Memecylon laevigatum,Melastomataceae,Memecylon,laevigatum,Melastomataceae,Memecylon,lilacinum,Memecylon laevigatum is a synonym of Memecylon lilacinum,NA,50ha,unlogged
Memecylon oleifolium,Melastomataceae,Memecylon,oleifolium,Melastomataceae,Memecylon,oleifolium,,NA,50ha,unlogged
Memecylon paniculatum,Memecylaceae,Memecylon,paniculatum,Melastomataceae,Memecylon,paniculatum,corrected family,NA,"50ha, CP",both
Memecylon species 1,Melastomataceae,Memecylon,species 1,Melastomataceae,Memecylon, species 1,not identified to species level,NA,50ha,unlogged
Memecylon species 2,Melastomataceae,Memecylon,species 2,Melastomataceae,Memecylon,species 2,not identified to species level,NA,50ha,unlogged
Memecylon species 3,Melastomataceae,Memecylon,species 3,Melastomataceae,Memecylon,species 3,not identified to species level,NA,50ha,unlogged
Merope angulata,Rutaceae,Merope,angulata,Rutaceae,Merope,angulata,,NA,50ha,unlogged
Mesua borneensis,Clusiaceae,Mesua,borneensis,Calophyllaceae,Kayea,borneensis,"faimly corrected. Mesua borneensis is not listed as a synonym of Kayea borneensis on POWO, but a different site said that the two are synonyms. https://www.asianplant.net/Calophyllaceae/Mesua_borneensis.htm  ",NA,50ha,unlogged
Mesua macrantha,Clusiaceae,Mesua,macrantha,Calophyllaceae,Kayea,macrantha,corrected family; Mesua macrantha is a synonym of Kayea macrantha,NA,50ha,unlogged
Mesua unknown mixed,Clusiaceae,Mesua,unknown mixed,Clusiaceae,Mesua,unknown mixed,"not identified to species level and therefore cannot be corrected, but likely the family needs to be corrected to Calophyllaceae, and likely the genus should be Kayea not Mesua.",NA,50ha,unlogged
Microcos antidesmifolia,Malvaceae,Microcos,antidesmifolia,Malvaceae,Microcos,antidesmifolia,,NA,50ha,unlogged
Microcos crassifolia,Malvaceae,Microcos,crassifolia,Malvaceae,Microcos,crassifolia,,NA,"50ha, CP",both
Microcos fibrocarpa,Malvaceae,Microcos,fibrocarpa,Malvaceae,Microcos,fibrocarpa,,NA,"50ha, CP",both
Microcos latistipulata,Malvaceae,Microcos,latistipulata,Malvaceae,Microcos,latistipulata,,NA,"50ha, CP",both
Microcos ossea,Malvaceae,Microcos,ossea,Malvaceae,Microcos,ossea,,NA,"50ha, CP",both
Microcos unknown mixed,Malvaceae,Microcos,unknown mixed,Malvaceae,Microcos,unknown mixed,not identified to species level.,NA,"50ha, CP",both
Mischocarpus pentapetalus,Sapindaceae,Mischocarpus,pentapetalus,Sapindaceae,Mischocarpus,pentapetalus,,NA,50ha,unlogged
Monanthocitrus oblanceolata,Rutaceae,Monanthocitrus,oblanceolata,Rutaceae,Monanthocitrus,oblanceolata,,NA,50ha,unlogged
Monocarpia borneensis,Annonaceae,Monocarpia,borneensis,Annonaceae,Monocarpia,borneensis,,NA,50ha,unlogged
Monoon erianthoides,Annonaceae,Monoon,erianthoides,Annonaceae,Monoon,erianthoides,,NA,"50ha, CP",both
Monoon grandiflorum,Annonaceae,Monoon,grandiflorum,Annonaceae,Monoon,grandiflorum,,NA,"50ha, CP",both
Monoon hookerianum,Annonaceae,Monoon,hookerianum,Annonaceae,Monoon,hookerianum,,NA,"50ha, CP",both
Monoon species 1,Annonaceae,Monoon,species 1,Annonaceae,Monoon,species 1,not identified to species level.,NA,50ha,unlogged
Monoon species 2,Annonaceae,Monoon,species 2,Annonaceae,Monoon,species 2,not identified to species level,NA,50ha,unlogged
Monoon xanthopetalum,Annonaceae,Monoon,xanthopetalum,Annonaceae,Monoon,xanthopetalum,,NA,50ha,unlogged
Myristica cinnamomea,Myristicaceae,Myristica,cinnamomea,Myristicaceae,Myristica,cinnamomea,,NA,50ha,unlogged
Myrmeconauclea strigosa,Rubiaceae,Myrmeconauclea,strigosa,Rubiaceae,Myrmeconauclea,strigosa,,NA,50ha,unlogged
Nauclea sp1,Rubiaceae,Nauclea,sp1,Rubiaceae,Nauclea,sp1,not identified to species level,NA,CP,logged
Nauclea subdita,Rubiaceae,Nauclea,subdita,Rubiaceae,Nauclea,subdita,,NA,CP,logged
Nauclea unknown mixed,Rubiaceae,Nauclea,unknown mixed,Rubiaceae,Nauclea,unknown mixed,not identified to species level,NA,"50ha, CP",both
Neesia synandra,Malvaceae,Neesia,synandra,Malvaceae,Neesia,synandra,,NA,"50ha, CP",both
Neesia unknown mixed,Malvaceae,Neesia,unknown mixed,Malvaceae,Neesia,unknown mixed,not identified to species level,NA,CP,logged
Neo-Uvaria acuminatissima,Annonaceae,Neo-Uvaria,acuminatissima,Annonaceae,Neo-Uvaria,acuminatissima,,NA,50ha,unlogged
Neo-Uvaria unknown mixed,Annonaceae,Neo-Uvaria,unknown mixed,Annonaceae,Neo-Uvaria,unknown mixed,not identified to species level,NA,50ha,unlogged
Neo-uvaria acuminatissima,Annonaceae,Neo-uvaria,acuminatissima,Annonaceae,Neo-Uvaria,acuminatissima,,NA,CP,logged
Neolamarckia cadamba,Rubiaceae,Neolamarckia,cadamba,Rubiaceae,Neolamarckia,cadamba,,NA,"50ha, CP",both
Neonauclea  gigantea,Rubiaceae,Neonauclea ,gigantea,Rubiaceae,Neonauclea ,gigantea,,NA,CP,logged
Neonauclea sp,Rubiaceae,Neonauclea,sp,Rubiaceae,Neonauclea,sp,not identified to species level,NA,CP,logged
Neonauclea sp1,Rubiaceae,Neonauclea,sp1,Rubiaceae,Neonauclea,sp1,not identified to species level,NA,CP,logged
Neoscortechinia kingii,Euphorbiaceae,Neoscortechinia,kingii,Euphorbiaceae,Neoscortechinia,kingii,,NA,"50ha, CP",both
Nephelium cuspidatum,Sapindaceae,Nephelium,cuspidatum,Sapindaceae,Nephelium,cuspidatum,,NA,"50ha, CP",both
Nephelium maingayi,Sapindaceae,Nephelium,maingayi,Sapindaceae,Nephelium,maingayi,,NA,"50ha, CP",both
Nephelium ramboutan-ake,Sapindaceae,Nephelium,ramboutan-ake,Sapindaceae,Nephelium,ramboutan-ake,,NA,"50ha, CP",both
Nothaphoebe canascens,Lauraceae,Nothaphoebe,canascens,Lauraceae,Nothaphoebe,canescens,canascens corrected to canescens,NA,"50ha, CP",both
Nothaphoebe heterophylla,Lauraceae,Nothaphoebe,heterophylla,Lauraceae,Nothaphoebe,heterophylla,,NA,50ha,unlogged
Nothaphoebe letophylla,Lauraceae,Nothaphoebe,letophylla,Lauraceae,Nothaphoebe,unknown,"could not find this species on POWO, or online. Not clear what this species is supposed to be.",NA,50ha,unlogged
Nothaphoebe umbelliflora,Lauraceae,Nothaphoebe,umbelliflora,Lauraceae,Nothaphoebe,umbelliflora,,NA,"50ha, CP",both
Nothaphoebe unknown mixed,Lauraceae,Nothaphoebe,unknown mixed,Lauraceae,Nothaphoebe,unknown mixed,not identified to species level,NA,CP,logged
Nyssa javanica,Nyssaceae,Nyssa,javanica,Nyssaceae,Nyssa,javanica,,NA,50ha,unlogged
Ochanostachys amentacea,Olacaceae,Ochanostachys,amentacea,Olacaceae,Ochanostachys,amentacea,,NA,"50ha, CP",both
Octomeles sumatrana,Tetramelaceae,Octomeles,sumatrana,Tetramelaceae,Octomeles,sumatrana,,NA,"50ha, CP",both
Oreocnide trinervis,Urticaceae,Oreocnide,trinervis,Urticaceae,Oreocnide,trinervis,,NA,50ha,unlogged
Ormosia bancana,Fabaceae,Ormosia,bancana,Fabaceae,Ormosia,bancana,,NA,"50ha, CP",both
Orophea corymbosa,Annonaceae,Orophea,corymbosa,Annonaceae,Orophea,corymbosa,,NA,"50ha, CP",both
Orophea creaghii,Annonaceae,Orophea,creaghii,Annonaceae,Orophea,creaghii,,NA,50ha,unlogged
Orophea myriantha,Annonaceae,Orophea,myriantha,Annonaceae,Orophea,myriantha,,NA,"50ha, CP",both
Palaquium beccarianum,Sapotaceae,Palaquium,beccarianum,Sapotaceae,Palaquium,beccarianum,,NA,"50ha, CP",both
Palaquium dasyphyllum,Sapotaceae,Palaquium,dasyphyllum,Sapotaceae,Palaquium,dasyphyllum,,NA,"50ha, CP",both
Palaquium maingayi,Sapotaceae,Palaquium,maingayi,Sapotaceae,Palaquium,maingayi,,NA,"50ha, CP",both
Palaquium sericeum,Sapotaceae,Palaquium,sericeum,Sapotaceae,Palaquium,sericeum,,NA,50ha,unlogged
Palaquium unknown mixed,Sapotaceae,Palaquium,unknown mixed,Sapotaceae,Palaquium,unknown mixed,not identified to species level,NA,50ha,unlogged
Pangium edule,Achariaceae,Pangium,edule,Achariaceae,Pangium,edule,,NA,50ha,unlogged
Paranephelium macrophyllum,Sapindaceae,Paranephelium,macrophyllum,Sapindaceae,Paranephelium,macrophyllum,,NA,"50ha, CP",both
Paranephelium xestophyllum,Sapindaceae,Paranephelium,xestophyllum,Sapindaceae,Paranephelium,xestophyllum,,NA,"50ha, CP",both
Parashorea malaanonan,Dipterocarpaceae,Parashorea,malaanonan,Dipterocarpaceae,Parashorea,malaanonan,,"ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF",both
Parashorea tomentella,Dipterocarpaceae,Parashorea,tomentella,Dipterocarpaceae,Parashorea,tomentella,,"NaturalRegeneration, Unlogged","50ha, CP, IF",both
Parastemon urophyllus,Chrysobalanaceae,Parastemon,urophyllus,Chrysobalanaceae,Parastemon,urophyllus,,NA,50ha,unlogged
Parinari excelsa,Chrysobalanaceae,Parinari,excelsa,Chrysobalanaceae,Parinari,excelsa,,NA,"50ha, CP",both
Parinari oblongifolia,Chrysobalanaceae,Parinari,oblongifolia,Chrysobalanaceae,Parinari,oblongifolia,,NA,"50ha, CP",both
Parinari unknown mixed,Chrysobalanaceae,Parinari,unknown mixed,Chrysobalanaceae,Parinari,unknown mixed,not identified to species level,NA,"50ha, CP",both
Parkia speciosa,Fabaceae-mimosoideae,Parkia,speciosa,Fabaceae,Parkia,speciosa,family corrected,NA,50ha,unlogged
Parkia unknown mixed,Fabaceae,Parkia,unknown mixed,Fabaceae,Parkia,unknown mixed,not identified to species level,NA,CP,logged
Pavetta wallichiana,Rubiaceae,Pavetta,wallichiana,Rubiaceae,Pavetta,wallichiana,,NA,50ha,unlogged
Payena Unknown species1,Sapotaceae,Payena,Unknown species1,Sapotaceae,Payena,Unknown species1,not identified to species level,NA,50ha,unlogged
Payena acuminata,Sapotaceae,Payena,acuminata,Sapotaceae,Payena,acuminata,,NA,"50ha, CP",both
Payena microphylla,Sapotaceae,Payena,microphylla,Sapotaceae,Payena,microphylla,,NA,"50ha, CP",both
Payena unknown mixed,Sapotaceae,Payena,unknown mixed,Sapotaceae,Payena,unknown mixed,not identified to species level,NA,CP,logged
Peltophorum racemosum,Fabaceae,Peltophorum,racemosum,Fabaceae,Peltophorum,racemosum,,NA,"50ha, CP",both
Pentace adenophora,Malvaceae,Pentace,adenophora,Malvaceae,Pentace,adenophora,,NA,"50ha, CP",both
Pentace laxiflora,Malvaceae,Pentace,laxiflora,Malvaceae,Pentace,laxiflora,,"NaturalRegeneration, Unlogged","50ha, CP, IF",both
Pentace unknown mixed,Malvaceae,Pentace,unknown mixed,Malvaceae,Pentace,unknown mixed,not identified to species level,NA,CP,logged
Phaeanthus ophthalmicus,Annonaceae,Phaeanthus,ophthalmicus,Annonaceae,Phaeanthus,ophthalmicus,,NA,50ha,unlogged
Phaeanthus splendens,Annonaceae,Phaeanthus,splendens,Annonaceae,Phaeanthus,splendens,,NA,"50ha, CP",both
Phaleria capitata,Thymelaeaceae,Phaleria ,capitata,Thymelaeaceae,Phaleria ,capitata,,NA,CP,logged
Phoebe grandis,Lauraceae,Phoebe,grandis,Lauraceae,Phoebe,grandis,,NA,50ha,unlogged
Planchonia brevistipitata,Barringtoniaceae,Planchonia,brevistipitata,Lecythidaceae,Planchonia,brevistipitata,family corrected,NA,"50ha, CP",both
Planchonia unknown,Lecythidaceae,Planchonia,unknown,Lecythidaceae,Planchonia,unknown,not identified to species level,NA,50ha,unlogged
Planchonia unknown mixed,Barringtoniaceae,Planchonia,unknown mixed,Lecythidaceae,Planchonia,unknown mixed,family corrected; not identified to species level,NA,CP,logged
Planchonia valida,Lecythidaceae,Planchonia,valida,Lecythidaceae,Planchonia,valida,,NA,50ha,unlogged
Pleiocarpidia sandakanica,Rubiaceae,Pleiocarpidia,sandakanica,Rubiaceae,Urophyllum,sandahanicum,assumed to be pleiocarpidia sandahanica; which is a synonym of Urophyllum sandahanicum,NA,"50ha, CP",both
Polyalthia borneensis,Annonaceae,Polyalthia,borneensis,Annonaceae,Polyalthia,borneensis,,NA,50ha,unlogged
Polyalthia cauliflora,Annonaceae,Polyalthia,cauliflora,Annonaceae,Polyalthia,cauliflora,,NA,"50ha, CP",both
Polyalthia insignis,Annonaceae,Polyalthia,insignis,Annonaceae,Polyalthia,insignis,,NA,50ha,unlogged
Polyalthia microtus,Annonaceae,Polyalthia,microtus,Annonaceae,Polyalthia,microtus,,NA,50ha,unlogged
Polyalthia obliqua,Annonaceae,Polyalthia,obliqua,Annonaceae,Polyalthia,obliqua,,NA,"50ha, CP",both
Polyalthia saprosma,Annonaceae,Polyalthia,saprosma,Annonaceae,Polyalthia,saprosma,,NA,50ha,unlogged
Polyalthia species 3,Annonaceae,Polyalthia,species 3,Annonaceae,Polyalthia,species 3,not identified to species level,NA,50ha,unlogged
Polyosma integrifolia,Polyosmaceae,Polyosma,integrifolia,Escalloniaceae,Polyosma,integrifolia,family corrected,NA,50ha,unlogged
Pometia pinnata,Sapindaceae,Pometia,pinnata,Sapindaceae,Pometia,pinnata,,NA,"50ha, CP",both
Popowia hirtum,Annonaceae,Popowia,hirtum,Annonaceae,Popowia,hirta,hirtum corrected to hirta,NA,50ha,unlogged
Popowia odoardoi,Annonaceae,Popowia,odoardoi,Annonaceae,Popowia,odoardi,odoardoi corrected to odoardi,NA,50ha,unlogged
Popowia pisocarpa,Annonaceae,Popowia,pisocarpa,Annonaceae,Popowia,pisocarpa,,NA,50ha,unlogged
Popowia unknown mixed,Annonaceae,Popowia,unknown mixed,Annonaceae,Popowia,unknown mixed,not identified to species level,NA,50ha,unlogged
Prainea limpato,Moraceae,Prainea,limpato,Moraceae,Prainea,limpato,,NA,50ha,unlogged
Praravinia suberosa,Rubiaceae,Praravinia,suberosa,Rubiaceae,Praravinia,suberosa,,NA,50ha,unlogged
Praravinia unknown mixed,Rubiaceae,Praravinia,unknown mixed,Rubiaceae,Praravinia,unknown mixed,not identified to species level,NA,50ha,unlogged
Praravinia verruculosa,Rubiaceae,Praravinia,verruculosa,Rubiaceae,Praravinia,verruculosa,,NA,50ha,unlogged
Prismatomeris beccariana,Rubiaceae,Prismatomeris,beccariana,Rubiaceae,Prismatomeris,beccariana,,NA,50ha,unlogged
Prismatomeris species 1,Rubiaceae,Prismatomeris,species 1,Rubiaceae,Prismatomeris,species 1,not identified to species level,NA,50ha,unlogged
Prunus polystachya,Rosaceae,Prunus,polystachya,Rosaceae,Prunus,polystachya,,NA,CP,logged
Prunus unknown mixed,Rosaceae,Prunus,unknown mixed,Rosaceae,Prunus,unknown mixed,not identified to species level,NA,CP,logged
Pseuduvaria pamattonis,Annonaceae,Pseuduvaria,pamattonis,Annonaceae,Pseuduvaria,pamattonis,,NA,50ha,unlogged
Pseuduvaria reticulata,Annonaceae,Pseuduvaria,reticulata,Annonaceae,Pseuduvaria,reticulata,,NA,"50ha, CP",both
Psychotria species 1,Rubiaceae,Psychotria,species 1,Rubiaceae,Psychotria,species 1,not identified to species level,NA,50ha,unlogged
Psychotria species 2,Rubiaceae,Psychotria,species 2,Rubiaceae,Psychotria,species 2,not identified to species level,NA,50ha,unlogged
Psydrax dicoccus,Rubiaceae,Psydrax,dicoccus,Rubiaceae,Psydrax,dicoccos,dicoccus corrected to dicoccos,NA,"50ha, CP",both
Pternandra coerulescens,Melastomataceae,Pternandra,coerulescens,Melastomataceae,Pternandra,coerulescens,,NA,"50ha, CP",both
Pterospermum javanicum,Malvaceae,Pterospermum,javanicum,Malvaceae,Pterospermum,javanicum,,"ActiveRestoration, Unlogged","50ha, CP, IF",both
Pterospermum subpeltatum,Malvaceae,Pterospermum,subpeltatum,Malvaceae,Pterospermum,subpeltatum,,NA,50ha,unlogged
Pterospermum unknown mixed,Malvaceae,Pterospermum,unknown mixed,Malvaceae,Pterospermum,unknown mixed,not identified to species level,NA,CP,logged
Pterygota alata,Malvaceae,Pterygota,alata,Malvaceae,Pterygota,alata,,NA,CP,logged
Ptychopyxis arborea,Euphorbiaceae,Ptychopyxis,arborea,Euphorbiaceae,Ptychopyxis,arborea,,NA,"50ha, CP",both
Putranjiva roxburghii,Putranjivaceae,Putranjiva,roxburghii,Putranjivaceae,Putranjiva,roxburghii,,NA,50ha,unlogged
Pyrenaria acuminata,Theaceae,Pyrenaria,acuminata,Theaceae,Pyrenaria,acuminata,not recorded as occuring in borneo,NA,50ha,unlogged
Quercus argentata,Fagaceae,Quercus,argentata,Fagaceae,Quercus,argentata,,NA,50ha,unlogged
Quercus unknown mixed,Fagaceae,Quercus,unknown mixed,Fagaceae,Quercus,unknown mixed,not identified to species level,NA,50ha,unlogged
Reinwardtiodendron humile,Meliaceae,Reinwardtiodendron,humile,Meliaceae,Reinwardtiodendron,humile,,NA,"50ha, CP",both
Rennellia borneensis,Rubiaceae,Rennellia,borneensis,Rubiaceae,Rennellia,borneensis,,NA,50ha,unlogged
Rinorea bengalensis,Violaceae,Rinorea,bengalensis,Violaceae,Rinorea,bengalensis,,NA,50ha,unlogged
Rinorea congesta,Violaceae,Rinorea,congesta,Violaceae,Rinorea,congesta,,NA,50ha,unlogged
Rinorea unknown,Violaceae,Rinorea,unknown,Violaceae,Rinorea,unknown,not identified to species level,NA,50ha,unlogged
Rothmannia pseudoternisfolia,Rubiaceae,Rothmannia,pseudoternisfolia,Rubiaceae,Ridsdalea,pseudoternifolia,Rothmannia pseudoternisfolia corrected to Ridsdalea pseudoternifolia,NA,"50ha, CP",both
Ryparosa acuminata,Achariaceae,Ryparosa,acuminata,Achariaceae,Ryparosa,acuminata,,NA,"50ha, CP",both
Ryparosa hullettii,Achariaceae,Ryparosa,hullettii,Achariaceae,Ryparosa,hullettii,,NA,"50ha, CP",both
Ryparosa unknown mixed,Achariaceae,Ryparosa,unknown mixed,Achariaceae,Ryparosa,unknown mixed,not identified to species level,NA,50ha,unlogged
Sageraea elliptica,Annonaceae,Sageraea,elliptica,Annonaceae,Sageraea,elliptica,,NA,CP,logged
Sageraea lanceolata,Annonaceae,Sageraea,lanceolata,Annonaceae,Sageraea,lanceolata,,NA,50ha,unlogged
Sageraea sarawakensis,Annonaceae,Sageraea,sarawakensis,Annonaceae,Sageraea,sarawakensis,,NA,50ha,unlogged
Santiria laevigata,Burseraceae,Santiria,laevigata,Burseraceae,Santiria,laevigata,,NA,"50ha, CP",both
Santiria species 1,Burseraceae,Santiria,species 1,Burseraceae,Santiria,species 1,not identified to species level,NA,50ha,unlogged
Santiria tomentosa,Burseraceae,Santiria,tomentosa,Burseraceae,Santiria,tomentosa,,NA,"50ha, CP",both
Saraca declinata,Fabaceae,Saraca,declinata,Fabaceae,Saraca,declinata,,NA,50ha,unlogged
Saurauia agamae,Actinidiaceae,Saurauia,agamae,Actinidiaceae,Saurauia,agamae,,NA,50ha,unlogged
Saurauia sp,Actinidiaceae,Saurauia,sp,Actinidiaceae,Saurauia,sp,not identified to species level,NA,50ha,unlogged
Saurauia unknown mixed,Actinidiaceae,Saurauia,unknown mixed,Actinidiaceae,Saurauia,unknown mixed,not identified to species level,NA,50ha,unlogged
Scaphium longifolium,Malvaceae,Scaphium,longifolium,Malvaceae,Scaphium,longiflorum,longifolium corrected to longiflorum. ,NA,CP,logged
Scaphium macropodum,Malvaceae,Scaphium,macropodum,Malvaceae,Scaphium,macropodum,,NA,"50ha, CP",both
Scaphium unknown mixed,Malvaceae,Scaphium,unknown mixed,Malvaceae,Scaphium,unknown mixed,not identified to species level,NA,CP,logged
Scleropyrum pentandrum,Santalaceae,Scleropyrum,pentandrum,Santalaceae,Scleropyrum,pentandrum,not recorded as occuring in borneo,NA,50ha,unlogged
Scorodocarpus borneensis,Olacaceae,Scorodocarpus,borneensis,Olacaceae,Scorodocarpus,borneensis,,NA,"50ha, CP",both
Semecarpus bunburyana,Anacardiaceae,Semecarpus,bunburyana,Anacardiaceae,Semecarpus,bunburyanus,bunburyana corrected to bunburyanus,NA,"50ha, CP",both
Shorea agamii,Dipterocarpaceae,Shorea,agamii,Dipterocarpaceae,Anthoshorea,agamae,"assumed to be Shorea agamae, which is a synonym of Anthoshorea agamae",NA,"50ha, CP",both
Shorea argentifolia,Dipterocarpaceae,Shorea,argentifolia,Dipterocarpaceae,Rubroshorea,argentifolia,Shorea argentifolia is a synonym of Rubroshorea argentifolia,NA,"50ha, CP",both
Shorea atrinervosa,Dipterocarpaceae,Shorea,atrinervosa,Dipterocarpaceae,Shorea,atrinervosa,,NA,"50ha, CP",both
Shorea beccariana,Dipterocarpaceae,Shorea,beccariana,Dipterocarpaceae,Rubroshorea,beccariana,Shorea beccariana is a synonym of Rubroshorea beccariana,NA,CP,logged
Shorea faguetiana,Dipterocarpaceae,Shorea,faguetiana,Dipterocarpaceae,Richetia,faguetiana,Shorea faguetiana is a synonym of Richertia faguetiana. ,"Unlogged, ActiveRestoration, NaturalRegeneration","50ha, CP, IF",both
Shorea fallax,Dipterocarpaceae,Shorea,fallax,Dipterocarpaceae,Rubroshorea,fallax,Shorea fallax is a synonym of Rubroshorea fallax,NaturalRegeneration,"CP, IF",logged
Shorea gibbosa,Dipterocarpaceae,Shorea,gibbosa,Dipterocarpaceae,Rubroshorea,gibbosa,Shorea gibbosa is a synonym of Rubroshorea gibbosa,"ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF",both
Shorea johorensis,Dipterocarpaceae,Shorea,johorensis,Dipterocarpaceae,Rubroshorea,johorensis,Shorea johorensis is a synonym of Rubroshorea johorensis,"ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF",both
Shorea leprosula,Dipterocarpaceae,Shorea,leprosula,Dipterocarpaceae,Rubroshorea,leprosula,Shorea leprosula is a synonym of Rubroshorea leprosula,"ActiveRestoration, Unlogged","50ha, CP, IF",both
