"binomial_name","Genus","Species","Family","history_at_CP_site","species_origin","logging_status","history_at_IF_site"
"Alangium javanicum","Alangium","javanicum","Alangiaceae","AR, NR","CP, 50ha","both",NA
"Allophylus cobbe","Allophylus","cobbe","Sapindaceae",NA,"50ha","unlogged",NA
"Alseodaphne bancana","Alseodaphne","bancana","Lauraceae",NA,"50ha","unlogged",NA
"Alseodaphne unknown mixed","Alseodaphne","unknown mixed","Lauraceae","AR","CP, 50ha","both",NA
"Alstonia angustifolia","Alstonia","angustifolia","Apocynaceae","NR, AR","CP, 50ha","both",NA
"Alstonia iwagighensis","Alstonia","iwagighensis","Apocynaceae",NA,"50ha","unlogged",NA
"Anaxagorea javanica","Anaxagorea","javanica","Annonaceae",NA,"50ha","unlogged",NA
"Anisophyllea beccariana","Anisophyllea","beccariana","Anisophylleaceae",NA,"50ha","unlogged",NA
"Anisophyllea cornerii","Anisophyllea","cornerii","Anisophylleaceae","NR, AR","CP, 50ha","both",NA
"Anisoptera costata","Anisoptera","costata","Dipterocarpaceae","AR","CP, 50ha","both",NA
"Antiaris toxicaria","Antiaris","toxicaria","Moraceae",NA,"50ha","unlogged",NA
"Antidesma leucopodum","Antidesma","leucopodum","Phyllanthaceae",NA,"50ha","unlogged",NA
"Antidesma neurocarpum","Antidesma","neurocarpum","Phyllanthaceae",NA,"50ha","unlogged",NA
"Antidesma species 1","Antidesma","species 1","Phyllanthaceae","NR","CP","logged",NA
"Antidesma tomentosum","Antidesma","tomentosum","Phyllanthaceae",NA,"50ha","unlogged",NA
"Antidesma unknown mixed","Antidesma","unknown mixed","Phyllanthaceae","AR","CP, 50ha","both",NA
"Aphanamixis borneensis","Aphanamixis","borneensis","Meliaceae",NA,"50ha","unlogged",NA
"Aphanamixis unknown mixed","Aphanamixis","unknown mixed","Meliaceae",NA,"50ha","unlogged",NA
"Aporusa elmeri","Aporusa","elmeri","Phyllanthaceae","AR, NR","CP","logged",NA
"Aporusa falcifera","Aporusa","falcifera","Phyllanthaceae","AR, NR","CP","logged",NA
"Aporusa frutescens","Aporusa","frutescens","Phyllanthaceae","AR, NR","CP","logged",NA
"Aporusa grandistipula","Aporusa","grandistipula","Phyllanthaceae","AR, NR","CP","logged",NA
"Aporusa illustris","Aporusa","illustris","Phyllanthaceae","NR, AR","CP","logged",NA
"Aporusa unknown mixed","Aporusa","unknown mixed","Phyllanthaceae","NR, AR","CP","logged",NA
"Aquilaria beccariana","Aquilaria","beccariana","Thymelaeaceae",NA,"50ha","unlogged",NA
"Archidendron microcarpum","Archidendron","microcarpum","Fabaceae-mimosoideae",NA,"50ha","unlogged",NA
"Archidendron unknown mixed","Archidendron","unknown mixed","Fabaceae-mimosoideae",NA,"50ha","unlogged",NA
"Ardisia  colorata","Ardisia ","colorata","Primulaceae","AR, NR","CP","logged",NA
"Ardisia  macrophylla","Ardisia ","macrophylla","Primulaceae","NR, AR","CP","logged",NA
"Ardisia  unknown mixed","Ardisia ","unknown mixed","Primulaceae","AR","CP","logged",NA
"Artocarpus anisophyllus","Artocarpus","anisophyllus","Moraceae","NR","CP, 50ha","both",NA
"Artocarpus elasticus","Artocarpus","elasticus","Moraceae","NR","CP","logged",NA
"Artocarpus heterophyllus","Artocarpus","heterophyllus","Moraceae","AR","CP","logged",NA
"Artocarpus unknown mixed","Artocarpus","unknown mixed","Moraceae","AR","CP","logged",NA
"Atuna racemosa","Atuna","racemosa","Chrysobalanaceae","NR","CP","logged",NA
"Azadirachta excelsa","Azadirachta","excelsa","Meliaceae","AR","CP, 50ha","both",NA
"Baccaurea edulis","Baccaurea","edulis","Phyllanthaceae",NA,"50ha","unlogged",NA
"Baccaurea lanceolata","Baccaurea","lanceolata","Phyllanthaceae","AR, NR","CP, 50ha","both",NA
"Baccaurea macrocarpa","Baccaurea","macrocarpa","Phyllanthaceae","no seedling data","CP, 50ha","both",NA
"Baccaurea parviflora","Baccaurea","parviflora","Phyllanthaceae",NA,"50ha","unlogged",NA
"Baccaurea species 1","Baccaurea","species 1","Phyllanthaceae",NA,"50ha","unlogged",NA
"Baccaurea stipulata","Baccaurea","stipulata","Phyllanthaceae","NR","CP","logged",NA
"Baccaurea tetrandra","Baccaurea","tetrandra","Phyllanthaceae","AR, NR","CP, 50ha","both",NA
"Baccaurea unknown mixed","Baccaurea","unknown mixed","Phyllanthaceae","AR, NR","CP, 50ha","both",NA
"Barringtonia lanceolata","Barringtonia","lanceolata","Barringtoniaceae","AR, NR","CP, 50ha","both",NA
"Barringtonia macrostachya","Barringtonia","macrostachya","Barringtoniaceae","AR, NR","CP, 50ha","both",NA
"Barringtonia unknown mixed","Barringtonia","unknown mixed","Lecythidaceae",NA,"50ha","unlogged",NA
"Beilschmiedia Unknown species 1","Beilschmiedia","Unknown species 1","Lauraceae",NA,"50ha","unlogged",NA
"Beilschmiedia assamica","Beilschmiedia","assamica","Lauraceae",NA,"50ha","unlogged",NA
"Beilschmiedia cuadrae","Beilschmiedia","cuadrae","Lauraceae","NR","CP, 50ha","both",NA
"Beilschmiedia micrantha","Beilschmiedia","micrantha","Lauraceae","AR, NR","CP, 50ha","both",NA
"Beilschmiedia tawaensis","Beilschmiedia","tawaensis","Lauraceae","AR, NR","CP, 50ha","both",NA
"Beilschmiedia unknown mixed","Beilschmiedia","unknown mixed","Lauraceae","AR, NR","CP","logged",NA
"Bhesa paniculata","Bhesa","paniculata","Celastraceae",NA,"50ha","unlogged",NA
"Blumeodendron kurzii","Blumeodendron","kurzii","Euphorbiaceae","AR, NR","CP, 50ha","both",NA
"Blumeodendron tokbrai","Blumeodendron","tokbrai","Euphorbiaceae","AR, NR","CP, 50ha","both",NA
"Bridelia ","Bridelia","","Phyllanthaceae",NA,"50ha","unlogged",NA
"Bridelia griffithii","Bridelia","griffithii","Phyllanthaceae",NA,"50ha","unlogged",NA
"Bridelia penangensis","Bridelia","penangensis","Phyllanthaceae","no seedling data, AR","CP, 50ha","both",NA
"Brownlowia peltata","Brownlowia","peltata","Malvaceae","NR, AR","CP, 50ha","both",NA
"Brownlowia stipulata","Brownlowia","stipulata","Malvaceae","NR","CP, 50ha","both",NA
"Buchanania arborescens","Buchanania","arborescens","Anacardiaceae",NA,"50ha","unlogged",NA
"Buchanania sessilifolia","Buchanania","sessilifolia","Anacardiaceae","NR","CP, 50ha","both",NA
"Buchanania unknown mixed","Buchanania","unknown mixed","Anacardiaceae",NA,"50ha","unlogged",NA
"Callicarpa longifolia","Callicarpa","longifolia","Lamiaceae",NA,"50ha","unlogged",NA
"Callicarpa pentandra","Callicarpa","pentandra","Lamiaceae","AR, NR","CP, 50ha","both",NA
"Callicarpa unknown mixed","Callicarpa","unknown mixed","Lamiaceae","AR","CP","logged",NA
"Calophyllum blancoi","Calophyllum","blancoi","Calophyllaceae","NR, AR","CP, 50ha","both",NA
"Calophyllum gracilipes","Calophyllum","gracilipes","Calophyllaceae","AR","CP, 50ha","both",NA
"Calophyllum pulcherrimum","Calophyllum","pulcherrimum","Clusiaceae",NA,"50ha","unlogged",NA
"Calophyllum soulattri","Calophyllum","soulattri","Calophyllaceae","NR","CP, 50ha","both",NA
"Calophyllum species 1","Calophyllum","species 1","Clusiaceae",NA,"50ha","unlogged",NA
"Calophyllum species 2","Calophyllum","species 2","Clusiaceae",NA,"50ha","unlogged",NA
"Calophyllum venulosum","Calophyllum","venulosum","Clusiaceae",NA,"50ha","unlogged",NA
"Cananga odorata","Cananga","odorata","Annonaceae",NA,"50ha","unlogged",NA
"Canarium decumanum","Canarium","decumanum","Burseraceae","AR, NR","CP","logged",NA
"Canarium denticulatum","Canarium","denticulatum","Burseraceae","AR, NR","CP, IF","logged","ActiveRestoration"
"Canarium odontophyllum","Canarium","odontophyllum","Burseraceae","AR, NR, no seedling data","CP","logged",NA
"Canarium unknown mixed","Canarium","unknown mixed","Burseraceae","AR, NR","CP","logged",NA
"Carallia borneensis","Carallia","borneensis","Rhizophoraceae",NA,"50ha","unlogged",NA
"Carallia species 1","Carallia","species 1","Rhizophoraceae",NA,"50ha","unlogged",NA
"Caryodaphnopsis tonkinensis","Caryodaphnopsis","tonkinensis","Lauraceae","NR, no seedling data, AR","CP, 50ha","both",NA
"Casearia grewiifolia","Casearia","grewiifolia","Sapindaceae","AR","CP, 50ha","both",NA
"Castanopsis hypophoenicea","Castanopsis","hypophoenicea","Fagaceae","AR, NR","CP, 50ha","both",NA
"Castanopsis motleyana","Castanopsis","motleyana","Fagaceae","NR","CP","logged",NA
"Castanopsis unknown mixed","Castanopsis","unknown mixed","Fagaceae",NA,"50ha","unlogged",NA
"Chionanthus curvicarpus","Chionanthus","curvicarpus","Oleaceae",NA,"50ha","unlogged",NA
"Chionanthus macrocarpus","Chionanthus","macrocarpus","Oleaceae",NA,"50ha","unlogged",NA
"Chionanthus pluriflorus","Chionanthus","pluriflorus","Oleaceae","AR, NR","CP, 50ha","both",NA
"Chionanthus unknown mixed","Chionanthus","unknown mixed","Oleaceae","NR","CP, 50ha","both",NA
"Chisocheton ceramicus","Chisocheton","ceramicus","Meliaceae",NA,"50ha","unlogged",NA
"Chisocheton macranthus","Chisocheton","macranthus","Meliaceae","AR, NR","CP, 50ha","both",NA
"Chisocheton patens","Chisocheton","patens","Meliaceae","NR","CP, 50ha","both",NA
"Chisocheton pentandrus","Chisocheton","pentandrus","Meliaceae","AR","CP, 50ha","both",NA
"Chisocheton polyandrus","Chisocheton","polyandrus","Meliaceae",NA,"50ha","unlogged",NA
"Chisocheton sarawakensis","Chisocheton","sarawakensis","Meliaceae","AR, NR","CP, 50ha","both",NA
"Chisocheton unknown mixed","Chisocheton","unknown mixed","Meliaceae","AR, NR","CP, 50ha","both",NA
"Cinnamomum griffithii","Cinnamomum","griffithii","Lauraceae","AR","CP, 50ha","both",NA
"Cinnamomum racemosum","Cinnamomum","racemosum","Lauraceae",NA,"50ha","unlogged",NA
"Cinnamomum unknown mixed","Cinnamomum","unknown mixed","Lauraceae","NR","CP, 50ha","both",NA
"Clausena excavata","Clausena","excavata","Rutaceae","NR","CP, 50ha","both",NA
"Clausena unknown","Clausena","unknown","Rutaceae",NA,"50ha","unlogged",NA
"Cleistanthus hirsutulus","Cleistanthus","hirsutulus","Phyllanthaceae","AR, NR","CP, 50ha","both",NA
"Cleistanthus myrianthus","Cleistanthus","myrianthus","Phyllanthaceae","NR, AR","CP","logged",NA
"Cleistanthus podopixys","Cleistanthus","podopixys","Phyllanthaceae","no seedling data, AR","CP, 50ha","both",NA
"Cleistanthus species 2","Cleistanthus","species 2","Phyllanthaceae",NA,"50ha","unlogged",NA
"Cleistanthus unknown mixed","Cleistanthus","unknown mixed","Phyllanthaceae","AR, NR","CP, 50ha","both",NA
"Coelostegia borneensis","Coelostegia","borneensis","Malvaceae","AR","CP, 50ha","both",NA
"Cowiea borneensis","Cowiea","borneensis","Rubiaceae",NA,"50ha","unlogged",NA
"Crateva magna","Crateva","magna","Capparaceae",NA,"50ha","unlogged",NA
"Cratoxylum cochinchinense","Cratoxylum","cochinchinense","Clusiaceae",NA,"50ha","unlogged",NA
"Cratoxylum unknown mixed","Cratoxylum","unknown mixed","Hypericaceae","AR, NR","CP","logged",NA
"Croton argyratus","Croton","argyratus","Euphorbiaceae","NR","CP","logged",NA
"Croton oblongus","Croton","oblongus","Euphorbiaceae",NA,"50ha","unlogged",NA
"Croton unknown mixed","Croton","unknown mixed","Euphorbiaceae",NA,"50ha","unlogged",NA
"Crudia reticulata","Crudia","reticulata","Fabaceae-caesalpinioideae",NA,"50ha","unlogged",NA
"Crudia tenuipes","Crudia","tenuipes","Fabaceae","AR","CP, 50ha","both",NA
"Crudia unknown mixed","Crudia","unknown mixed","Fabaceae","AR, NR","CP","logged",NA
"Crypteronia griffithii","Crypteronia","griffithii","Crypteroniaceae",NA,"50ha","unlogged",NA
"Cryptocarya erectinervia","Cryptocarya","erectinervia","Lauraceae","AR, NR","CP, 50ha","both",NA
"Cryptocarya pulchrinervia","Cryptocarya","pulchrinervia","Lauraceae","no seedling data, NR","CP, 50ha","both",NA
"Cryptocarya strictifolia","Cryptocarya","strictifolia","Lauraceae","AR","CP","logged",NA
"Cryptocarya teysmanniana","Cryptocarya","teysmanniana","Lauraceae",NA,"50ha","unlogged",NA
"Cryptocarya unknown mixed","Cryptocarya","unknown mixed","Lauraceae","AR","CP","logged",NA
"Cyathocalyx magnifructus","Cyathocalyx","magnifructus","Annonaceae","AR","CP, 50ha","both",NA
"Cynometra elmeri","Cynometra","elmeri","Fabaceae-caesalpinioideae",NA,"50ha","unlogged",NA
"Cynometra mirabilis","Cynometra","mirabilis","Fabaceae","NR","CP, 50ha","both",NA
"Dacryodes laxa","Dacryodes","laxa","Burseraceae",NA,"50ha","unlogged",NA
"Dacryodes rostrata","Dacryodes","rostrata","Burseraceae","AR","CP, 50ha","both",NA
"Dacryodes rugosa","Dacryodes","rugosa","Burseraceae","AR, NR","CP, 50ha","both",NA
"Dacryodes species 1","Dacryodes","species 1","Burseraceae",NA,"50ha","unlogged",NA
"Dacryodes unknown mixed","Dacryodes","unknown mixed","Burseraceae","AR, NR","CP","logged",NA
"Decaspermum parviflorum","Decaspermum","parviflorum","Myrtaceae",NA,"50ha","unlogged",NA
"Dehaasia caesia","Dehaasia","caesia","Lauraceae","AR, NR","CP, 50ha","both",NA
"Dehaasia gigantocarpa","Dehaasia","gigantocarpa","Lauraceae",NA,"50ha","unlogged",NA
"Dehaasia incrassata","Dehaasia","incrassata","Lauraceae","AR, NR","CP, 50ha","both",NA
"Dehaasia unknown mixed","Dehaasia","unknown mixed","Lauraceae","AR, NR","CP, 50ha","both",NA
"Dendrocnide elliptica","Dendrocnide","elliptica","Urticaceae","AR, NR","CP, 50ha","both",NA
"Dendrocnide stimulans","Dendrocnide","stimulans","Urticaceae",NA,"50ha","unlogged",NA
"Dendrocnide unknown mixed","Dendrocnide","unknown mixed","Urticaceae","NR","CP, 50ha","both",NA
"Dialium indum","Dialium","indum","Fabaceae-caesalpinioideae",NA,"50ha","unlogged",NA
"Dialium unknown mixed","Dialium","unknown mixed","Fabaceae-caesalpinioideae",NA,"50ha","unlogged",NA
"Dillenia borneensis","Dillenia","borneensis","Dilleniaceae",NA,"50ha","unlogged",NA
"Dillenia excelsa","Dillenia","excelsa","Dilleniaceae","NR, AR","CP, 50ha","both",NA
"Dillenia species 1","Dillenia","species 1","Dilleniaceae","NR","CP, 50ha","both",NA
"Dimocarpus dentatus","Dimocarpus","dentatus","Sapindaceae","NR, AR","CP, 50ha","both",NA
"Dimocarpus fumatus","Dimocarpus","fumatus","Sapindaceae",NA,"50ha","unlogged",NA
"Dimocarpus longan","Dimocarpus","longan","Sapindaceae","AR, NR","CP, 50ha, IF","both","ActiveRestoration, NaturalRegeneration"
"Dimorphocalyx murinus","Dimorphocalyx","murinus","Euphorbiaceae","NR","CP, 50ha","both",NA
"Diospyros andamanica","Diospyros","andamanica","Ebenaceae","NR, AR","CP, 50ha","both",NA
"Diospyros borneensis","Diospyros","borneensis","Ebenaceae",NA,"50ha","unlogged",NA
"Diospyros cauliflora","Diospyros","cauliflora","Ebenaceae","NR, no seedling data, AR","CP, 50ha","both",NA
"Diospyros curranii","Diospyros","curranii","Ebenaceae","AR, NR","CP, 50ha","both",NA
"Diospyros daemona","Diospyros","daemona","Ebenaceae",NA,"50ha","unlogged",NA
"Diospyros dictyoneura","Diospyros","dictyoneura","Ebenaceae","NR","CP, 50ha","both",NA
"Diospyros diepenhorstii","Diospyros","diepenhorstii","Ebenaceae",NA,"50ha","unlogged",NA
"Diospyros elliptifolia","Diospyros","elliptifolia","Ebenaceae","AR, NR","CP, 50ha","both",NA
"Diospyros euphlebia","Diospyros","euphlebia","Ebenaceae","AR","CP, 50ha","both",NA
"Diospyros frutescens","Diospyros","frutescens","Ebenaceae","NR","CP, 50ha","both",NA
"Diospyros macrophylla","Diospyros","macrophylla","Ebenaceae","AR, NR","CP, 50ha","both",NA
"Diospyros muricata","Diospyros","muricata","Ebenaceae","AR","CP, 50ha","both",NA
"Diospyros pilosanthera","Diospyros","pilosanthera","Ebenaceae","AR, NR","CP, 50ha","both",NA
"Diospyros pyrrhocarpa","Diospyros","pyrrhocarpa","Ebenaceae",NA,"50ha","unlogged",NA
"Diospyros species 1","Diospyros","species 1","Ebenaceae",NA,"50ha","unlogged",NA
"Diospyros species 2","Diospyros","species 2","Ebenaceae",NA,"50ha","unlogged",NA
"Diospyros species 3","Diospyros","species 3","Ebenaceae",NA,"50ha","unlogged",NA
"Diospyros species 4","Diospyros","species 4","Ebenaceae",NA,"50ha","unlogged",NA
"Diospyros species 6","Diospyros","species 6","Ebenaceae",NA,"50ha","unlogged",NA
"Diospyros species 7","Diospyros","species 7","Ebenaceae",NA,"50ha","unlogged",NA
"Diospyros squamaefolia","Diospyros","squamaefolia","Ebenaceae",NA,"50ha","unlogged",NA
"Diospyros toposia","Diospyros","toposia","Ebenaceae","NR, AR","CP, 50ha","both",NA
"Diospyros tuberculata","Diospyros","tuberculata","Ebenaceae","NR, AR","CP, 50ha","both",NA
"Diospyros unknown mixed","Diospyros","unknown mixed","Ebenaceae","AR, NR","CP","logged",NA
"Diospyros wallichii","Diospyros","wallichii","Ebenaceae",NA,"50ha","unlogged",NA
"Diplospora malaccensis","Diplospora","malaccensis","Rubiaceae","AR, NR","CP, 50ha","both",NA
"Diplospora unknown mixed","Diplospora","unknown mixed","Rubiaceae",NA,"50ha","unlogged",NA
"Dipterocarpus applanatus","Dipterocarpus","applanatus","Dipterocarpaceae","AR, NR","CP","logged",NA
"Dipterocarpus caudiferus","Dipterocarpus","caudiferus","Dipterocarpaceae","AR, NR","CP, IF","logged","ActiveRestoration, NaturalRegeneration"
"Dipterocarpus unknown mixed","Dipterocarpus","unknown mixed","Dipterocarpaceae","AR, NR","CP","logged",NA
"Dracontomelon costatum","Dracontomelon","costatum","Anacardiaceae",NA,"50ha","unlogged",NA
"Dracontomelon dao","Dracontomelon","dao","Anacardiaceae","NR","CP, 50ha","both",NA
"Dracontomelon unknown mixed","Dracontomelon","unknown mixed","Anacardiaceae",NA,"50ha","unlogged",NA
"Drepanthus havilandii","Drepanthus","havilandii","Annonaceae","NR","CP","logged",NA
"Dryobalanops lanceolata","Dryobalanops","lanceolata","Dipterocarpaceae","AR, NR, no seedling data","CP, 50ha, IF","both","ActiveRestoration"
"Drypetes castilloi","Drypetes","castilloi","Putranjivaceae","NR","CP, 50ha","both",NA
"Drypetes eriocarpa","Drypetes","eriocarpa","Putranjivaceae","AR","CP, 50ha","both",NA
"Drypetes longifolia","Drypetes","longifolia","Putranjivaceae","AR, NR, no seedling data","CP, 50ha","both",NA
"Drypetes subcrenata","Drypetes","subcrenata","Putranjivaceae",NA,"50ha","unlogged",NA
"Drypetes unknown mixed","Drypetes","unknown mixed","Putranjivaceae","AR, NR","CP, 50ha","both",NA
"Duabanga moluccana","Duabanga","moluccana","Sonneratiaceae","AR, NR","CP, 50ha","both",NA
"Durio graveolens","Durio","graveolens","Malvaceae","NR","CP, 50ha","both",NA
"Durio unknown mixed","Durio","unknown mixed","Malvaceae","AR","CP, 50ha","both",NA
"Dysoxylum alliaceum","Dysoxylum","alliaceum","Meliaceae",NA,"50ha","unlogged",NA
"Dysoxylum arborescens","Dysoxylum","arborescens","Meliaceae",NA,"50ha","unlogged",NA
"Dysoxylum cauliflorum","Dysoxylum","cauliflorum","Meliaceae",NA,"50ha","unlogged",NA
"Dysoxylum cyrtobotryum","Dysoxylum","cyrtobotryum","Meliaceae","NR, AR","CP, 50ha","both",NA
"Dysoxylum excelsum","Dysoxylum","excelsum","Meliaceae",NA,"50ha","unlogged",NA
"Dysoxylum gaudichaudianum","Dysoxylum","gaudichaudianum","Meliaceae",NA,"50ha","unlogged",NA
"Dysoxylum grande","Dysoxylum","grande","Meliaceae",NA,"50ha","unlogged",NA
"Dysoxylum oppositifolium","Dysoxylum","oppositifolium","Meliaceae",NA,"50ha","unlogged",NA
"Dysoxylum parasiticum","Dysoxylum","parasiticum","Meliaceae",NA,"50ha","unlogged",NA
"Dysoxylum rigidum","Dysoxylum","rigidum","Meliaceae","AR","CP, 50ha","both",NA
"Dysoxylum unknown mixed","Dysoxylum","unknown mixed","Meliaceae","NR, AR","CP, 50ha","both",NA
"Elaeocarpus brunnescens","Elaeocarpus","brunnescens","Elaeocarpaceae",NA,"50ha","unlogged",NA
"Elaeocarpus stipularis","Elaeocarpus","stipularis","Elaeocarpaceae","NR, AR","CP, 50ha","both",NA
"Elaeocarpus unknown mixed","Elaeocarpus","unknown mixed","Elaeocarpaceae","AR","CP, 50ha","both",NA
"Endospermum diadenum","Endospermum","diadenum","Euphorbiaceae","AR, NR","CP, 50ha","both",NA
"Engelhardia danumensis","Engelhardia","danumensis","Juglandaceae",NA,"50ha","unlogged",NA
"Erycibe borneensis","Erycibe","borneensis","Convolvulaceae","NR","CP, 50ha","both",NA
"Erythroxylum cuneatum","Erythroxylum","cuneatum","Erythroxylaceae",NA,"50ha","unlogged",NA
"Eurycoma longifolia","Eurycoma","longifolia","Simaroubaceae",NA,"50ha","unlogged",NA
"Eusideroxylon zwageri","Eusideroxylon","zwageri","Lauraceae","NR","CP, 50ha","both",NA
"Fagraea cuspidata","Fagraea","cuspidata","Gentianaceae","AR","CP, 50ha","both",NA
"Fagraea unknown mixed","Fagraea","unknown mixed","Gentianaceae",NA,"50ha","unlogged",NA
"Ficus beccarii","Ficus","beccarii","Moraceae",NA,"50ha","unlogged",NA
"Ficus lepicarpa","Ficus","lepicarpa","Moraceae",NA,"50ha","unlogged",NA
"Ficus mixed","Ficus","mixed","Moraceae",NA,"50ha","unlogged",NA
"Ficus obscura","Ficus","obscura","Moraceae",NA,"50ha","unlogged",NA
"Ficus sinuata","Ficus","sinuata","Moraceae",NA,"50ha","unlogged",NA
"Ficus species 1","Ficus","species 1","Moraceae",NA,"50ha","unlogged",NA
"Ficus species 2","Ficus","species 2","Moraceae",NA,"50ha","unlogged",NA
"Ficus species 3","Ficus","species 3","Moraceae",NA,"50ha","unlogged",NA
"Ficus species 4","Ficus","species 4","Moraceae",NA,"50ha","unlogged",NA
"Ficus species 5","Ficus","species 5","Moraceae",NA,"50ha","unlogged",NA
"Ficus species 6","Ficus","species 6","Moraceae",NA,"50ha","unlogged",NA
"Ficus species 7","Ficus","species 7","Moraceae",NA,"50ha","unlogged",NA
"Ficus species 8","Ficus","species 8","Moraceae",NA,"50ha","unlogged",NA
"Ficus stolonifera","Ficus","stolonifera","Moraceae",NA,"50ha","unlogged",NA
"Ficus unknown mixed","Ficus","unknown mixed","Moraceae","AR, NR","CP","logged",NA
"Ficus variegata","Ficus","variegata","Moraceae","NR","CP, 50ha","both",NA
"Flacourtia rukam","Flacourtia","rukam","Salicaceae",NA,"50ha","unlogged",NA
"Fordia brachybotrys","Fordia","brachybotrys","Fabaceae","AR, NR","CP, 50ha","both",NA
"Fordia gibbsiae","Fordia","gibbsiae","Fabaceae",NA,"50ha","unlogged",NA
"Fordia species 1","Fordia","species 1","Fabaceae",NA,"50ha","unlogged",NA
"Fordia species 3","Fordia","species 3","Fabaceae",NA,"50ha","unlogged",NA
"Fordia splendidissima","Fordia","splendidissima","Fabaceae","AR, NR","CP, 50ha","both",NA
"Fordia unknown mixed","Fordia","unknown mixed","Fabaceae","NR","CP","logged",NA
"Galearia fulva","Galearia","fulva","Pandaceae","AR","CP, 50ha","both",NA
"Garcinia andersonii","Garcinia","andersonii","Clusiaceae","AR","CP, 50ha","both",NA
"Garcinia forbesii","Garcinia","forbesii","Clusiaceae","AR, NR","CP, 50ha","both",NA
"Garcinia gaudichaudii","Garcinia","gaudichaudii","Clusiaceae",NA,"50ha","unlogged",NA
"Garcinia parvifolia","Garcinia","parvifolia","Clusiaceae",NA,"50ha","unlogged",NA
"Garcinia unknown mixed","Garcinia","unknown mixed","Clusiaceae","AR","CP","logged",NA
"Gardenia carinata","Gardenia","carinata","Rubiaceae",NA,"50ha","unlogged",NA
"Gironniera nervosa","Gironniera","nervosa","Ulmaceae","AR, NR","CP, 50ha","both",NA
"Gironniera species 1","Gironniera","species 1","Cannabaceae",NA,"50ha","unlogged",NA
"Glochidion borneensis","Glochidion","borneensis","Phyllanthaceae",NA,"50ha","unlogged",NA
"Glochidion elmari","Glochidion","elmari","Phyllanthaceae","AR, NR","CP, 50ha","both",NA
"Glochidion lanceisepalum","Glochidion","lanceisepalum","Phyllanthaceae","AR, NR","CP, 50ha","both",NA
"Glochidion pubicapsa","Glochidion","pubicapsa","Phyllanthaceae","AR","CP, 50ha","both",NA
"Glochidion rubrum","Glochidion","rubrum","Phyllanthaceae","AR, NR","CP, 50ha","both",NA
"Glochidion species 1","Glochidion","species 1","Phyllanthaceae",NA,"50ha","unlogged",NA
"Glochidion species 2","Glochidion","species 2","Phyllanthaceae",NA,"50ha","unlogged",NA
"Glochidion species 3","Glochidion","species 3","Phyllanthaceae",NA,"50ha","unlogged",NA
"Glochidion species 4","Glochidion","species 4","Phyllanthaceae",NA,"50ha","unlogged",NA
"Glochidion species 6","Glochidion","species 6","Phyllanthaceae",NA,"50ha","unlogged",NA
"Glochidion unknown mixed","Glochidion","unknown mixed","Phyllanthaceae","AR, NR","CP, 50ha","both",NA
