"PlotNo","restoration","binomial_name","Family","Genus","Species","DBH.mm","Height_m","species_origin"
"2D","AR","Macaranga gigantea","EUPHORBIACEAE","Macaranga","gigantea",235,21.3,"CP"
"2D","AR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",NA,NA,"CP"
"2D","AR","Knema laurina","MYRISTICACEAE","Knema","laurina",217,24.9,"CP"
"2D","AR","Madhuca kingiana","SAPOTACEAE","Madhuca","kingiana",232,18.3,"CP"
"2D","AR","Shorea pauciflora","DIPTEROCARPACEAE","Shorea","pauciflora",714,45.1,"CP"
"2D","AR","Knema laurina","MYRISTICACEAE","Knema","laurina",175,19.2,"CP"
"2D","AR","Unknown unknown mixed","SAPOTACEAE","Unknown","unknown mixed",172,24.2,"CP"
"2D","AR","Litsea unknown mixed","LAURACEAE","Litsea","unknown mixed",171,14.7,"CP"
"2D","AR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",480,37.9,"CP"
"2D","AR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",281,36.8,"CP"
"2D","AR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",313,27.2,"CP"
"2D","AR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",162,16,"CP"
"2D","AR","Maasia sumatrana","ANNONACEAE","Maasia","sumatrana",152,11.5,"CP"
"2D","AR","Alangium javanicum","ALANGIACEAE","Alangium","javanicum",191,22.8,"CP"
"2D","AR","Glochidion unknown mixed","PHYLLANTHACEAE","Glochidion","unknown mixed",483,40.1,"CP"
"2D","AR","Drypetes eriocarpa","PUTRANJIVACEAE","Drypetes","eriocarpa",159,18,"CP"
"2D","AR","Barringtonia lanceolata","BARRINGTONIACEAE","Barringtonia","lanceolata",143,14.2,"CP"
"2D","AR","Macaranga conifera","EUPHORBIACEAE","Macaranga","conifera",531,40.8,"CP"
"2D","AR","Litsea unknown mixed","LAURACEAE","Litsea","unknown mixed",128,14.4,"CP"
"2D","AR","Macaranga conifera","EUPHORBIACEAE","Macaranga","conifera",365,37.2,"CP"
"2D","AR","Macaranga conifera","EUPHORBIACEAE","Macaranga","conifera",144,17.9,"CP"
"2D","AR","Mallotus wrayi","EUPHORBIACEAE","Mallotus","wrayi",122,15.7,"CP"
"2D","AR","Shorea mecistopteryx","DIPTEROCARPACEAE","Shorea","mecistopteryx",229,25.7,"CP"
"2D","AR","Shorea mecistopteryx","DIPTEROCARPACEAE","Shorea","mecistopteryx",186,17,"CP"
"2D","AR","Diospyros unknown mixed","EBENACEAE","Diospyros","unknown mixed",121,16.8,"CP"
"2D","AR","Aglaia unknown mixed","MELIACEAE","Aglaia","unknown mixed",397,37.5,"CP"
"2D","AR","Cryptocarya erectinervia","LAURACEAE","Cryptocarya","erectinervia",128,15.4,"CP"
"2D","AR","Barringtonia lanceolata","BARRINGTONIACEAE","Barringtonia","lanceolata",108,14.8,"CP"
"2D","AR","Syzygium unknown mixed","MYRTACEAE","Syzygium","unknown mixed",111,13.1,"CP"
"2D","AR","Parashorea tomentella","DIPTEROCARPACEAE","Parashorea","tomentella",423,37.3,"CP"
"2D","AR","Alangium javanicum","ALANGIACEAE","Alangium","javanicum",247,26.8,"CP"
"2D","AR","Dryobalanops lanceolata","DIPTEROCARPACEAE","Dryobalanops","lanceolata",629,39.7,"CP"
"2D","AR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",286,33,"CP"
"2D","AR","Knema laurina","MYRISTICACEAE","Knema","laurina",142,21.2,"CP"
"2D","AR","Litsea accedens","LAURACEAE","Litsea","accedens",195,26.3,"CP"
"2D","AR","Pometia pinnata","SAPINDACEAE","Pometia","pinnata",256,25.2,"CP"
"2D","AR","Fordia brachybotrys","FABACEAE","Fordia","brachybotrys",104,11.2,"CP"
"2D","AR","Microcos fibrocarpa","MALVACEAE","Microcos","fibrocarpa",156,17.2,"CP"
"2D","AR","Aglaia unknown mixed","MELIACEAE","Aglaia","unknown mixed",188,19,"CP"
"2D","AR","Alangium javanicum","ALANGIACEAE","Alangium","javanicum",146,6.1,"CP"
"2D","AR","Barringtonia macrostachya","BARRINGTONIACEAE","Barringtonia","macrostachya",219,18.1,"CP"
"2D","AR","Shorea mecistopteryx","DIPTEROCARPACEAE","Shorea","mecistopteryx",589,45.1,"CP"
"2D","AR","Shorea atrinervosa","DIPTEROCARPACEAE","Shorea","atrinervosa",206,35.2,"CP"
"2D","AR","Teijsmanniodendron unknown mixed","LAMIACEAE","Teijsmanniodendron","unknown mixed",176,14.1,"CP"
"2D","AR","Shorea faguetiana","DIPTEROCARPACEAE","Shorea","faguetiana",395,28.2,"CP"
"2D","AR","Payena unknown mixed","SAPOTACEAE","Payena","unknown mixed",131,15.2,"CP"
"2D","AR","Dipterocarpus applanatus","DIPTEROCARPACEAE","Dipterocarpus","applanatus",149,17.5,"CP"
"2D","AR","Lithocarpus unknown mixed","FAGACEAE","Lithocarpus","unknown mixed",289,28.6,"CP"
"2D","AR","Gironniera nervosa","ULMACEAE","Gironniera","nervosa",196,13.9,"CP"
"2D","AR","Mallotus unknown mixed","EUPHORBIACEAE","Mallotus","unknown mixed",114,11.9,"CP"
"2D","AR","Fordia brachybotrys","FABACEAE","Fordia","brachybotrys",129,11.7,"CP"
"2D","AR","Blumeodendron kurzii","EUPHORBIACEAE","Blumeodendron","kurzii",141,17.3,"CP"
"2D","AR","Nephelium ramboutan-ake","SAPINDACEAE","Nephelium","ramboutan-ake",134,18.7,"CP"
"2D","AR","Hopea ferruginea","DIPTEROCARPACEAE","Hopea","ferruginea",224,28.3,"CP"
"2D","AR","Parashorea tomentella","DIPTEROCARPACEAE","Parashorea","tomentella",288,23.2,"CP"
"2D","AR","Nephelium ramboutan-ake","SAPINDACEAE","Nephelium","ramboutan-ake",241,32,"CP"
"2D","AR","Chisocheton unknown mixed","MELIACEAE","Chisocheton","unknown mixed",153,12.8,"CP"
"2D","AR","Shorea gibbosa","DIPTEROCARPACEAE","Shorea","gibbosa",317,27.2,"CP"
