"PlotNo","restoration","binomial_name","Family","Genus","Species","DBH.mm","Height_m","species_origin"
"20D","AR","Chionanthus pluriflorus","OLEACEAE","Chionanthus","pluriflorus",142,17.1,"CP"
"20D","AR","Unknown unknown mixed","ANNONACEAE","Unknown","unknown mixed",140,19.1,"CP"
"20D","AR","Parinari oblongifolia","CHRYSOBALANACEAE","Parinari","oblongifolia",120,16,"CP"
"20D","AR","Neesia synandra","MALVACEAE","Neesia","synandra",228,29,"CP"
"20D","AR","Lophopetalum javanicum","CELASTRACEAE","Lophopetalum","javanicum",266,23.1,"CP"
"20D","AR","Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium",110,11.3,"CP"
"20D","AR","Scorodocarpus borneensis","OLACACEAE","Scorodocarpus","borneensis",142,12,"CP"
"20D","AR","Canarium decumanum","BURSERACEAE","Canarium","decumanum",514,25.8,"CP"
"20D","AR","Lithocarpus unknown mixed","FAGACEAE","Lithocarpus","unknown mixed",381,18.5,"CP"
"20D","AR","Mallotus stipularis","EUPHORBIACEAE","Mallotus","stipularis",126,15.2,"CP"
"21D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",252,19.5,"CP"
"21D","NR","Mallotus stipularis","EUPHORBIACEAE","Mallotus","stipularis",155,13,"CP"
"21D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",765,43.3,"CP"
"21D","NR","Magnolia candolii","MAGNOLIACEAE","Magnolia","candolii",262,23.6,"CP"
"21D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",111,13.6,"CP"
"21D","NR","Vatica dulitensis","DIPTEROCARPACEAE","Vatica","dulitensis",105,12.3,"CP"
"21D","NR","Nephelium ramboutan-ake","SAPINDACEAE","Nephelium","ramboutan-ake",118,14.8,"CP"
"21D","NR","Ficus variegata","MORACEAE","Ficus","variegata",116,11.7,"CP"
"21D","NR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",786,31,"CP"
"21D","NR","Pternandra coerulescens","MELASTOMATACEAE","Pternandra","coerulescens",110,10.4,"CP"
"21D","NR","Lithocarpus ewyckii","FAGACEAE","Lithocarpus","ewyckii",164,15,"CP"
"21D","NR","Nephelium ramboutan-ake","SAPINDACEAE","Nephelium","ramboutan-ake",143,13.8,"CP"
"21D","NR","Canarium decumanum","BURSERACEAE","Canarium","decumanum",134,17.8,"CP"
"21D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",193,21.7,"CP"
"21D","NR","Alangium javanicum","ALANGIACEAE","Alangium","javanicum",110,12,"CP"
"21D","NR","Litsea caulocarpa","LAURACEAE","Litsea","caulocarpa",107,13,"CP"
"21D","NR","Guioa pleuropteris","SAPINDACEAE","Guioa","pleuropteris",299,23.9,"CP"
"21D","NR","Duabanga moluccana","SONNERATIACEAE","Duabanga","moluccana",732,46.4,"CP"
"21D","NR","Alangium javanicum","ALANGIACEAE","Alangium","javanicum",200,10.6,"CP"
"21D","NR","Ludekia borneensis","RUBIACEAE","Ludekia","borneensis",207,19.1,"CP"
"21D","NR","Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed",297,26.4,"CP"
"21D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",441,20.4,"CP"
"21D","NR","Lithocarpus unknown mixed","FAGACEAE","Lithocarpus","unknown mixed",165,11.4,"CP"
"21D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",530,19.9,"CP"
"21D","NR","Ludekia borneensis","RUBIACEAE","Ludekia","borneensis",166,13.7,"CP"
"21D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",243,14.5,"CP"
"21D","NR","Microcos crassifolia","MALVACEAE","Microcos","crassifolia",254,19.2,"CP"
"21D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",263,19.1,"CP"
"21D","NR","Litsea angulata","LAURACEAE","Litsea","angulata",205,19.1,"CP"
"21D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",421,24.3,"CP"
"21D","NR","Aglaia silvestris","MELIACEAE","Aglaia","silvestris",145,14.8,"CP"
"21D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",614,29.1,"CP"
"21D","NR","Dracontomelon dao","ANACARDIACEAE","Dracontomelon","dao",106,19.2,"CP"
"21D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",191,13.2,"CP"
"21D","NR","Alangium javanicum","ALANGIACEAE","Alangium","javanicum",231,15.9,"CP"
"21D","NR","Horsfieldia polyspherula","MYRISTICACEAE","Horsfieldia","polyspherula",125,13,"CP"
"21D","NR","Ziziphus angustifolius","RHAMNACEAE","Ziziphus","angustifolius",299,24.4,"CP"
"21D","NR","Mallotus wrayi","EUPHORBIACEAE","Mallotus","wrayi",122,13.3,"CP"
"21D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",502,29.8,"CP"
"21D","NR","Chisocheton sarawakensis","MELIACEAE","Chisocheton","sarawakensis",123,12.3,"CP"
"21D","NR","Ficus unknown mixed","MORACEAE","Ficus","unknown mixed",148,19.2,"CP"
"21D","NR","Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium",136,15.7,"CP"
"21D","NR","Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium",118,6.1,"CP"
"21D","NR","Mallotus penangensis","EUPHORBIACEAE","Mallotus","penangensis",120,10.8,"CP"
"21D","NR","Knema latericia","MYRISTICACEAE","Knema","latericia",127,8.3,"CP"
"21D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",157,11.2,"CP"
"21D","NR","Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium",131,6.2,"CP"
"21D","NR","Mallotus penangensis","EUPHORBIACEAE","Mallotus","penangensis",222,17.2,"CP"
"21D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",241,17.1,"CP"
"21D","NR","Pentace laxiflora","MALVACEAE","Pentace","laxiflora",141,17.6,"CP"
"21D","NR","Aglaia silvestris","MELIACEAE","Aglaia","silvestris",135,18.1,"CP"
"21D","NR","Mallotus wrayi","EUPHORBIACEAE","Mallotus","wrayi",176,11.8,"CP"
"21D","NR","Ptychopyxis arborea","EUPHORBIACEAE","Ptychopyxis","arborea",169,16.4,"CP"
"21D","NR","Pternandra coerulescens","MELASTOMATACEAE","Pternandra","coerulescens",175,8,"CP"
"21D","NR","Hydnocarpus unknown mixed","ACHARIACEAE","Hydnocarpus","unknown mixed",128,11.7,"CP"
"21D","NR","Chisocheton patens","MELIACEAE","Chisocheton","patens",112,11.1,"CP"
"21D","NR","Syzygium unknown mixed","MYRTACEAE","Syzygium","unknown mixed",213,20.8,"CP"
"21D","NR","Aglaia silvestris","MELIACEAE","Aglaia","silvestris",122,10.8,"CP"
"21D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",182,10.5,"CP"
"21D","NR","Aglaia silvestris","MELIACEAE","Aglaia","silvestris",101,11.5,"CP"
"21D","NR","Alstonia angustifolia","APOCYNACEAE","Alstonia","angustifolia",179,12.4,"CP"
"21D","NR","Chisocheton sarawakensis","MELIACEAE","Chisocheton","sarawakensis",178,22.1,"CP"
"21D","NR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",307,13.7,"CP"
"21D","NR","Dipterocarpus applanatus","DIPTEROCARPACEAE","Dipterocarpus","applanatus",134,11.3,"CP"
"21D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",131,12.2,"CP"
"21D","NR","Mallotus wrayi","EUPHORBIACEAE","Mallotus","wrayi",128,10.2,"CP"
"21D","NR","Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium",125,11.5,"CP"
"21D","NR","Litsea unknown mixed","LAURACEAE","Litsea","unknown mixed",205,22.3,"CP"
"21D","NR","Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium",127,11.1,"CP"
"21D","NR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",140,15.7,"CP"
"21D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",485,31.2,"CP"
"21D","NR","Knema elmeri","MYRISTICACEAE","Knema","elmeri",135,11,"CP"
"21D","NR","Magnolia candolii","MAGNOLIACEAE","Magnolia","candolii",139,14.6,"CP"
"21D","NR","Madhuca elmeri","SAPOTACEAE","Madhuca","elmeri",103,11.4,"CP"
"21D","NR","Dipterocarpus applanatus","DIPTEROCARPACEAE","Dipterocarpus","applanatus",118,5.7,"CP"
"21D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",269,26.3,"CP"
"21D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",580,35.9,"CP"
"21D","NR","Parashorea malaanonan","DIPTEROCARPACEAE","Parashorea","malaanonan",378,25.1,"CP"
"21D","NR","Aporusa elmeri","PHYLLANTHACEAE","Aporusa","elmeri",175,13.1,"CP"
"21D","NR","Shorea johorensis","DIPTEROCARPACEAE","Shorea","johorensis",303,25.7,"CP"
"21D","NR","Payena acuminata","SAPOTACEAE","Payena","acuminata",282,19,"CP"
"21D","NR","Nephelium ramboutan-ake","SAPINDACEAE","Nephelium","ramboutan-ake",131,13.2,"CP"
"21D","NR","Chisocheton sarawakensis","MELIACEAE","Chisocheton","sarawakensis",254,23,"CP"
"21D","NR","Ludekia unknown mixed","RUBIACEAE","Ludekia","unknown mixed",103,12,"CP"
"21D","NR","Hopea nervosa","DIPTEROCARPACEAE","Hopea","nervosa",227,24.5,"CP"
"21D","NR","Dehaasia caesia","LAURACEAE","Dehaasia","caesia",142,11.1,"CP"
"21D","NR","Dipterocarpus caudiferus","DIPTEROCARPACEAE","Dipterocarpus","caudiferus",124,15.7,"CP"
"21D","NR","Barringtonia lanceolata","BARRINGTONIACEAE","Barringtonia","lanceolata",284,21.6,"CP"
"21D","NR","Dryobalanops lanceolata","DIPTEROCARPACEAE","Dryobalanops","lanceolata",173,13.2,"CP"
"21D","NR","Aglaia argentea","MELIACEAE","Aglaia","argentea",383,23.4,"CP"
"21D","NR","Dipterocarpus unknown mixed","DIPTEROCARPACEAE","Dipterocarpus","unknown mixed",366,34.6,"CP"
"21D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",545,30.8,"CP"
"21D","NR","Aglaia spectabilis","MELIACEAE","Aglaia","spectabilis",292,23.4,"CP"
"21D","NR","Garcinia forbesii","CLUSIACEAE","Garcinia","forbesii",162,15.1,"CP"
"21D","NR","Shorea superba","DIPTEROCARPACEAE","Shorea","superba",164,22.6,"CP"
"21D","NR","Monoon hookerianum","ANNONACEAE","Monoon","hookerianum",168,17.7,"CP"
"21D","NR","Erycibe borneensis","CONVOLVULACEAE","Erycibe","borneensis",121,16.7,"CP"
"21D","NR","Monoon grandiflorum","ANNONACEAE","Monoon","grandiflorum",163,10.3,"CP"
"21D","NR","Chisocheton sarawakensis","MELIACEAE","Chisocheton","sarawakensis",310,15.1,"CP"
"21D","NR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",147,14.1,"CP"
"21D","NR","Dipterocarpus unknown mixed","DIPTEROCARPACEAE","Dipterocarpus","unknown mixed",250,36,"CP"
"21D","NR","Alangium javanicum","ALANGIACEAE","Alangium","javanicum",133,14.2,"CP"
"21D","NR","Nephelium ramboutan-ake","SAPINDACEAE","Nephelium","ramboutan-ake",248,23.5,"CP"
"21D","NR","Sageraea elliptica","ANNONACEAE","Sageraea","elliptica",130,12.9,"CP"
"21D","NR","Mallotus wrayi","EUPHORBIACEAE","Mallotus","wrayi",113,14.3,"CP"
"21D","NR","Mallotus stipularis","EUPHORBIACEAE","Mallotus","stipularis",101,13.2,"CP"
"21D","NR","Nephelium ramboutan-ake","SAPINDACEAE","Nephelium","ramboutan-ake",250,22.1,"CP"
"21D","NR","Hopea nervosa","DIPTEROCARPACEAE","Hopea","nervosa",103,22.2,"CP"
"21D","NR","Mangifera foetida","ANACARDIACEAE","Mangifera","foetida",113,10.9,"CP"
"21D","NR","Chisocheton sarawakensis","MELIACEAE","Chisocheton","sarawakensis",159,12.6,"CP"
"21D","NR","Shorea beccariana","DIPTEROCARPACEAE","Shorea","beccariana",953,43.5,"CP"
"21D","NR","Microcos crassifolia","MALVACEAE","Microcos","crassifolia",345,22.6,"CP"
"21D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",165,14.4,"CP"
"21D","NR","Aglaia argentea","MELIACEAE","Aglaia","argentea",106,12.2,"CP"
"21D","NR","Shorea superba","DIPTEROCARPACEAE","Shorea","superba",318,25.3,"CP"
"21D","NR","Pentace laxiflora","MALVACEAE","Pentace","laxiflora",108,11.3,"CP"
"21D","NR","Mangifera foetida","ANACARDIACEAE","Mangifera","foetida",210,21.9,"CP"
"21D","NR","Beilschmiedia micrantha","LAURACEAE","Beilschmiedia","micrantha",101,5.9,"CP"
"21D","NR","Mallotus wrayi","EUPHORBIACEAE","Mallotus","wrayi",101,8.6,"CP"
"21D","NR","Helicia excelsa","PROTEACEAE","Helicia","excelsa",101,7.5,"CP"
"21D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",922,45.2,"CP"
"21D","NR","Fordia splendidissima","FABACEAE","Fordia","splendidissima",156,9.7,"CP"
"21D","NR","Pentace adenophora","MALVACEAE","Pentace","adenophora",116,8.4,"CP"
"22D","NR","Neonauclea  gigantea","RUBIACEAE","Neonauclea ","gigantea",433,24.7,"CP"
"22D","NR","Fordia brachybotrys","FABACEAE","Fordia","brachybotrys",103,11.1,"CP"
"22D","NR","Parashorea malaanonan","DIPTEROCARPACEAE","Parashorea","malaanonan",145,12.5,"CP"
"22D","NR","Syzygium unknown mixed","MYRTACEAE","Syzygium","unknown mixed",132,10.9,"CP"
"22D","NR","Syzygium unknown mixed","MYRTACEAE","Syzygium","unknown mixed",142,17.5,"CP"
"22D","NR","Nauclea subdita","RUBIACEAE","Nauclea","subdita",377,37,"CP"
"22D","NR","Unknown unknown mixed","RUBIACEAE","Unknown","unknown mixed",163,21.1,"CP"
"22D","NR","Mallotus species 1","EUPHORBIACEAE","Mallotus","species 1",215,10.4,"CP"
"22D","NR","Dryobalanops lanceolata","DIPTEROCARPACEAE","Dryobalanops","lanceolata",130,14,"CP"
"22D","NR","Pometia pinnata","SAPINDACEAE","Pometia","pinnata",132,16.9,"CP"
"22D","NR","Alangium javanicum","ALANGIACEAE","Alangium","javanicum",163,15.6,"CP"
"22D","NR","Canarium odontophyllum","BURSERACEAE","Canarium","odontophyllum",188,13.7,"CP"
"22D","NR","Nephelium ramboutan-ake","SAPINDACEAE","Nephelium","ramboutan-ake",130,14.4,"CP"
"22D","NR","Dryobalanops lanceolata","DIPTEROCARPACEAE","Dryobalanops","lanceolata",101,9,"CP"
"22D","NR","Canarium odontophyllum","BURSERACEAE","Canarium","odontophyllum",162,19,"CP"
"22D","NR","Artocarpus elasticus","MORACEAE","Artocarpus","elasticus",587,27.3,"CP"
"22D","NR","Shorea gibbosa","DIPTEROCARPACEAE","Shorea","gibbosa",234,14.9,"CP"
"22D","NR","Parashorea tomentella","DIPTEROCARPACEAE","Parashorea","tomentella",255,22.8,"CP"
"22D","NR","Unknown unknown mixed","RUBIACEAE","Unknown","unknown mixed",148,15.3,"CP"
"22D","NR","Unknown unknown mixed","RUBIACEAE","Unknown","unknown mixed",127,16,"CP"
"22D","NR","Melicope  lunu-ankenda","RUTACEAE","Melicope ","lunu-ankenda",100,9.8,"CP"
"22D","NR","Barringtonia macrostachya","BARRINGTONIACEAE","Barringtonia","macrostachya",228,20,"CP"
"22D","NR","Shorea superba","DIPTEROCARPACEAE","Shorea","superba",951,50.4,"CP"
"22D","NR","Ficus variegata","MORACEAE","Ficus","variegata",419,23.1,"CP"
"22D","NR","Melanochyla beccariana","ANACARDIACEAE","Melanochyla","beccariana",169,15.2,"CP"
"22D","NR","Mallotus species 1","EUPHORBIACEAE","Mallotus","species 1",105,8.6,"CP"
"22D","NR","Mallotus species 1","EUPHORBIACEAE","Mallotus","species 1",106,9.8,"CP"
"22D","NR","Neonauclea  gigantea","RUBIACEAE","Neonauclea ","gigantea",341,12.6,"CP"
"22D","NR","Litsea accedens","LAURACEAE","Litsea","accedens",111,10.7,"CP"
"22D","NR","Unknown unknown mixed","RUBIACEAE","Unknown","unknown mixed",217,20.5,"CP"
"22D","NR","Spathiostemon javensis","EUPHORBIACEAE","Spathiostemon","javensis",114,4.8,"CP"
"22D","NR","Xanthophyllum unknown mixed","POLYGALACEAE","Xanthophyllum","unknown mixed",208,11.9,"CP"
"22D","NR","Mallotus species 1","EUPHORBIACEAE","Mallotus","species 1",102,7.7,"CP"
"22D","NR","Neonauclea  gigantea","RUBIACEAE","Neonauclea ","gigantea",594,23.1,"CP"
"22D","NR","Neonauclea  gigantea","RUBIACEAE","Neonauclea ","gigantea",282,15,"CP"
"22D","NR","Neonauclea  gigantea","RUBIACEAE","Neonauclea ","gigantea",178,10.1,"CP"
"22D","NR","Leea aculeata","LEEACEAE","Leea","aculeata",115,7.7,"CP"
"22D","NR","Syzygium unknown mixed","MYRTACEAE","Syzygium","unknown mixed",187,14.1,"CP"
"22D","NR","Cratoxylum unknown mixed","HYPERICACEAE","Cratoxylum","unknown mixed",188,23.5,"CP"
"22D","NR","Shorea superba","DIPTEROCARPACEAE","Shorea","superba",111,10.7,"CP"
"22D","NR","Melicope  lunu-ankenda","RUTACEAE","Melicope ","lunu-ankenda",138,9.9,"CP"
"22D","NR","Ficus unknown mixed","MORACEAE","Ficus","unknown mixed",216,10.3,"CP"
"22D","NR","Duabanga moluccana","SONNERATIACEAE","Duabanga","moluccana",492,30.6,"CP"
"22D","NR","Melicope  lunu-ankenda","RUTACEAE","Melicope ","lunu-ankenda",198,14.9,"CP"
"22D","NR","Syzygium unknown mixed","MYRTACEAE","Syzygium","unknown mixed",127,9.5,"CP"
"22D","NR","Mallotus species 1","EUPHORBIACEAE","Mallotus","species 1",175,6.8,"CP"
"22D","NR","Mallotus species 1","EUPHORBIACEAE","Mallotus","species 1",187,9.4,"CP"
"22D","NR","Dryobalanops lanceolata","DIPTEROCARPACEAE","Dryobalanops","lanceolata",140,16.3,"CP"
"22D","NR","Shorea seminis","DIPTEROCARPACEAE","Shorea","seminis",172,10.9,"CP"
"22D","NR","Ficus unknown mixed","MORACEAE","Ficus","unknown mixed",117,12.4,"CP"
"22D","NR","Melicope  lunu-ankenda","RUTACEAE","Melicope ","lunu-ankenda",133,13.5,"CP"
"22D","NR","Mallotus species 1","EUPHORBIACEAE","Mallotus","species 1",221,12.1,"CP"
"22D","NR","Mallotus species 1","EUPHORBIACEAE","Mallotus","species 1",129,6.8,"CP"
"22D","NR","Clausena excavata","RUTACEAE","Clausena","excavata",156,4.5,"CP"
"22D","NR","Canarium odontophyllum","BURSERACEAE","Canarium","odontophyllum",200,12.2,"CP"
"22D","NR","Canarium odontophyllum","BURSERACEAE","Canarium","odontophyllum",181,12,"CP"
"22D","NR","Paranephelium xestophyllum","SAPINDACEAE","Paranephelium","xestophyllum",124,4.4,"CP"
"22D","NR","Hydnocarpus anomalus","ACHARIACEAE","Hydnocarpus","anomalus",111,5.7,"CP"
"22D","NR","Unknown unknown mixed","RUBIACEAE","Unknown","unknown mixed",393,33.7,"CP"
"22D","NR","Melicope  lunu-ankenda","RUTACEAE","Melicope ","lunu-ankenda",159,16.9,"CP"
"22D","NR","Ficus unknown mixed","MORACEAE","Ficus","unknown mixed",132,12.1,"CP"
"22D","NR","Unknown unknown mixed","RUBIACEAE","Unknown","unknown mixed",126,13.9,"CP"
"22D","NR","Hydnocarpus borneensis","ACHARIACEAE","Hydnocarpus","borneensis",102,6.8,"CP"
"22D","NR","Dehaasia caesia","LAURACEAE","Dehaasia","caesia",127,8,"CP"
"22D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",157,4.1,"CP"
"22D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",132,6.7,"CP"
"22D","NR","Shorea seminis","DIPTEROCARPACEAE","Shorea","seminis",169,8.2,"CP"
"22D","NR","Adenanthera kostermansii","FABACEAE","Adenanthera","kostermansii",118,12,"CP"
"22D","NR","Mallotus species 1","EUPHORBIACEAE","Mallotus","species 1",134,11.8,"CP"
"22D","NR","Mallotus korthalsii","EUPHORBIACEAE","Mallotus","korthalsii",112,12.4,"CP"
"22D","NR","Melicope  lunu-ankenda","RUTACEAE","Melicope ","lunu-ankenda",188,19.7,"CP"
"22D","NR","Glochidion unknown mixed","PHYLLANTHACEAE","Glochidion","unknown mixed",114,17.5,"CP"
"22D","NR","Unknown unknown mixed","RUBIACEAE","Unknown","unknown mixed",174,22.1,"CP"
"22D","NR","Dryobalanops lanceolata","DIPTEROCARPACEAE","Dryobalanops","lanceolata",119,15.2,"CP"
"22D","NR","Melicope  lunu-ankenda","RUTACEAE","Melicope ","lunu-ankenda",103,11,"CP"
"22D","NR","Diospyros curranii","EBENACEAE","Diospyros","curranii",104,13.9,"CP"
"22D","NR","Shorea gibbosa","DIPTEROCARPACEAE","Shorea","gibbosa",249,28.6,"CP"
"22D","NR","Nephelium ramboutan-ake","SAPINDACEAE","Nephelium","ramboutan-ake",126,13.4,"CP"
"22D","NR","Hopea nervosa","DIPTEROCARPACEAE","Hopea","nervosa",191,20.8,"CP"
"22D","NR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",150,7.5,"CP"
"22D","NR","Parashorea tomentella","DIPTEROCARPACEAE","Parashorea","tomentella",232,16.4,"CP"
"22D","NR","Pometia pinnata","SAPINDACEAE","Pometia","pinnata",106,12.7,"CP"
"22D","NR","Hubera rumphii","ANNONACEAE","Hubera","rumphii",107,8.5,"CP"
"22D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",183,13.7,"CP"
"22D","NR","Mallotus species 1","EUPHORBIACEAE","Mallotus","species 1",186,9,"CP"
"22D","NR","Shorea agamii","DIPTEROCARPACEAE","Shorea","agamii",120,13.2,"CP"
"22D","NR","Diospyros andamanica","EBENACEAE","Diospyros","andamanica",137,12.7,"CP"
"22D","NR","Ludekia borneensis","RUBIACEAE","Ludekia","borneensis",111,8.8,"CP"
"22D","NR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",216,1.6,"CP"
"22D","NR","Unknown unknown mixed","RUBIACEAE","Unknown","unknown mixed",216,26.9,"CP"
"22D","NR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",161,9.1,"CP"
"22D","NR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",108,8,"CP"
"22D","NR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",147,11.3,"CP"
"22D","NR","Ludekia borneensis","RUBIACEAE","Ludekia","borneensis",150,8.5,"CP"
"22D","NR","Duabanga moluccana","SONNERATIACEAE","Duabanga","moluccana",577,42.6,"CP"
"22D","NR","Duabanga moluccana","SONNERATIACEAE","Duabanga","moluccana",412,31.1,"CP"
"22D","NR","Sageraea elliptica","ANNONACEAE","Sageraea","elliptica",142,10.1,"CP"
"22D","NR","Dryobalanops lanceolata","DIPTEROCARPACEAE","Dryobalanops","lanceolata",803,44.9,"CP"
"22D","NR","Ludekia borneensis","RUBIACEAE","Ludekia","borneensis",183,10.4,"CP"
"22D","NR","Duabanga moluccana","SONNERATIACEAE","Duabanga","moluccana",718,37.6,"CP"
"22D","NR","Ludekia borneensis","RUBIACEAE","Ludekia","borneensis",203,18.8,"CP"
"22D","NR","Xanthophyllum affine","POLYGALACEAE","Xanthophyllum","affine",107,12.4,"CP"
"22D","NR","Cratoxylum unknown mixed","HYPERICACEAE","Cratoxylum","unknown mixed",119,19,"CP"
"22D","NR","Mallotus species 1","EUPHORBIACEAE","Mallotus","species 1",106,8.4,"CP"
"22D","NR","Diospyros unknown mixed","EBENACEAE","Diospyros","unknown mixed",296,6.4,"CP"
"22D","NR","Octomeles sumatrana","TETRAMELACEAE","Octomeles","sumatrana",344,28.9,"CP"
"22D","NR","Unknown unknown mixed","RUBIACEAE","Unknown","unknown mixed",173,20.8,"CP"
"22D","NR","Dryobalanops lanceolata","DIPTEROCARPACEAE","Dryobalanops","lanceolata",127,9.2,"CP"
"22D","NR","Unknown unknown mixed","RUBIACEAE","Unknown","unknown mixed",421,24.5,"CP"
"23D","NR","Shorea johorensis","DIPTEROCARPACEAE","Shorea","johorensis",586,49.8,"CP"
"23D","NR","Aporusa frutescens","PHYLLANTHACEAE","Aporusa","frutescens",139,13,"CP"
"23D","NR","Ludekia borneensis","RUBIACEAE","Ludekia","borneensis",212,18.4,"CP"
"23D","NR","Vitex pinnata","LAMIACEAE","Vitex","pinnata",148,11.6,"CP"
"23D","NR","Chionanthus pluriflorus","OLEACEAE","Chionanthus","pluriflorus",244,17.7,"CP"
"23D","NR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",151,12,"CP"
"23D","NR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",187,11.3,"CP"
"23D","NR","Octomeles sumatrana","TETRAMELACEAE","Octomeles","sumatrana",496,43.4,"CP"
"23D","NR","Lophopetalum beccarianum","CELASTRACEAE","Lophopetalum","beccarianum",180,16.8,"CP"
"23D","NR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",122,14.3,"CP"
"23D","NR","Vitex pinnata","LAMIACEAE","Vitex","pinnata",528,23.7,"CP"
"23D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",117,15.9,"CP"
"23D","NR","Intsia palembanica","FABACEAE","Intsia","palembanica",231,22.3,"CP"
"23D","NR","Shorea johorensis","DIPTEROCARPACEAE","Shorea","johorensis",550,38,"CP"
"23D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",166,15.1,"CP"
"23D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",142,14.2,"CP"
"23D","NR","Litsea angulata","LAURACEAE","Litsea","angulata",235,14.8,"CP"
"23D","NR","Syzygium unknown mixed","MYRTACEAE","Syzygium","unknown mixed",211,14.1,"CP"
"23D","NR","Hubera rumphii","ANNONACEAE","Hubera","rumphii",111,13.8,"CP"
"23D","NR","Chisocheton unknown mixed","MELIACEAE","Chisocheton","unknown mixed",129,17.9,"CP"
"23D","NR","Shorea johorensis","DIPTEROCARPACEAE","Shorea","johorensis",445,39.1,"CP"
"23D","NR","Microcos ossea","MALVACEAE","Microcos","ossea",132,12.4,"CP"
"23D","NR","Shorea johorensis","DIPTEROCARPACEAE","Shorea","johorensis",733,52.3,"CP"
"23D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",254,18.3,"CP"
"23D","NR","Chisocheton unknown mixed","MELIACEAE","Chisocheton","unknown mixed",131,11.8,"CP"
"23D","NR","Microcos latistipulata","MALVACEAE","Microcos","latistipulata",217,16.7,"CP"
"23D","NR","Unknown unknown mixed","LIANA","Unknown","unknown mixed",114,36.5,"CP"
"23D","NR","Chisocheton macranthus","MELIACEAE","Chisocheton","macranthus",816,36.5,"CP"
"23D","NR","Unknown unknown mixed","MELIACEAE","Unknown","unknown mixed",127,17.7,"CP"
"23D","NR","Chisocheton sarawakensis","MELIACEAE","Chisocheton","sarawakensis",254,17.2,"CP"
"23D","NR","Litsea angulata","LAURACEAE","Litsea","angulata",173,9.3,"CP"
"23D","NR","Horsfieldia polyspherula","MYRISTICACEAE","Horsfieldia","polyspherula",335,19.1,"CP"
