"binomial_name","family","genus","species","history_at_IF_site","history_at_CP_site","species_origin","logging_status"
"Diospyros oblonga","Ebenaceae","Diospyros","oblonga",NA,"AR, NR","CP, 50ha","both"
"Diospyros pyrrhocarpa","Ebenaceae","Diospyros","pyrrhocarpa",NA,NA,"50ha","unlogged"
"Diospyros species 1","Ebenaceae","Diospyros","species 1",NA,NA,"50ha","unlogged"
"Diospyros species 2","Ebenaceae","Diospyros","species 2",NA,NA,"50ha","unlogged"
"Diospyros species 3","Ebenaceae","Diospyros","species 3",NA,NA,"50ha","unlogged"
"Diospyros species 4","Ebenaceae","Diospyros","species 4",NA,NA,"50ha","unlogged"
"Diospyros species 6","Ebenaceae","Diospyros","species 6",NA,NA,"50ha","unlogged"
"Diospyros species 7","Ebenaceae","Diospyros","species 7",NA,NA,"50ha","unlogged"
"Diospyros squamifolia ","Ebenaceae","Diospyros","squamifolia ",NA,NA,"50ha","unlogged"
"Diospyros toposia","Ebenaceae","Diospyros","toposia",NA,"NR, AR","CP, 50ha","both"
"Diospyros tuberculata","Ebenaceae","Diospyros","tuberculata",NA,"NR, AR","CP, 50ha","both"
"Diospyros unknown mixed","Ebenaceae","Diospyros","unknown mixed",NA,"AR, NR","CP","logged"
"Diospyros wallichii","Ebenaceae","Diospyros","wallichii",NA,NA,"50ha","unlogged"
"Discospermum malaccense","Rubiaceae","Discospermum","malaccense",NA,"AR, NR","CP, 50ha","both"
"Diplospora unknown mixed","Rubiaceae","Diplospora","unknown mixed",NA,NA,"50ha","unlogged"
"Dipterocarpus applanatus","Dipterocarpaceae","Dipterocarpus","applanatus",NA,"AR, NR","CP","logged"
"Dipterocarpus caudifer","Dipterocarpaceae","Dipterocarpus","caudifer","ActiveRestoration, NaturalRegeneration","AR, NR","CP, IF","logged"
"Dipterocarpus unknown mixed","Dipterocarpaceae","Dipterocarpus","unknown mixed",NA,"AR, NR","CP","logged"
"Dracontomelon costatum","Anacardiaceae","Dracontomelon","costatum",NA,NA,"50ha","unlogged"
"Dracontomelon dao","Anacardiaceae","Dracontomelon","dao",NA,"NR","CP, 50ha","both"
"Dracontomelon unknown mixed","Anacardiaceae","Dracontomelon","unknown mixed",NA,NA,"50ha","unlogged"
"Drepananthus havilandii","Annonaceae","Drepananthus","havilandii",NA,"NR","CP","logged"
"Dryobalanops lanceolata","Dipterocarpaceae","Dryobalanops","lanceolata","ActiveRestoration","AR, NR, no seedling data","CP, 50ha, IF","both"
"Drypetes castilloi","Putranjivaceae","Drypetes","castilloi",NA,"NR","CP, 50ha","both"
"Drypetes eriocarpa","Putranjivaceae","Drypetes","eriocarpa",NA,"AR","CP, 50ha","both"
"Drypetes longifolia","Putranjivaceae","Drypetes","longifolia",NA,"AR, NR, no seedling data","CP, 50ha","both"
"Drypetes subcrenata","Putranjivaceae","Drypetes","subcrenata",NA,NA,"50ha","unlogged"
"Drypetes unknown mixed","Putranjivaceae","Drypetes","unknown mixed",NA,"AR, NR","CP, 50ha","both"
"Duabanga moluccana","Lythraceae","Duabanga","moluccana",NA,"AR, NR","CP, 50ha","both"
"Durio graveolens","Malvaceae","Durio","graveolens",NA,"NR","CP, 50ha","both"
"Durio unknown mixed","Malvaceae","Durio","unknown mixed",NA,"AR","CP, 50ha","both"
"Prasoxylon alliaceum","Meliaceae","Prasoxylon","alliaceum",NA,NA,"50ha","unlogged"
"Goniocheton arborescens","Meliaceae","Goniocheton","arborescens",NA,NA,"50ha","unlogged"
"Epicharis cumingiana","Meliaceae","Epicharis","cumingiana",NA,NA,"50ha","unlogged"
"Dysoxylum cyrtobotryum","Meliaceae","Dysoxylum","cyrtobotryum",NA,"NR, AR","CP, 50ha","both"
"Prasoxylon excelsum","Meliaceae","Prasoxylon","excelsum",NA,NA,"50ha","unlogged"
"Didymocheton gaudichaudianus","Meliaceae","Didymocheton","gaudichaudianus",NA,NA,"50ha","unlogged"
"Dysoxylum grande","Meliaceae","Dysoxylum","grande",NA,NA,"50ha","unlogged"
"Dysoxylum oppositifolium","Meliaceae","Dysoxylum","oppositifolium",NA,NA,"50ha","unlogged"
"Epicharis parasitica","Meliaceae","Epicharis","parasitica",NA,NA,"50ha","unlogged"
"Prasoxylon rigidum","Meliaceae","Prasoxylon","rigidum",NA,"AR","CP, 50ha","both"
"Dysoxylum unknown mixed","Meliaceae","Dysoxylum","unknown mixed",NA,"NR, AR","CP, 50ha","both"
"Elaeocarpus brunnescens","Elaeocarpaceae","Elaeocarpus","brunnescens",NA,NA,"50ha","unlogged"
"Elaeocarpus stipularis","Elaeocarpaceae","Elaeocarpus","stipularis",NA,"NR, AR","CP, 50ha","both"
"Elaeocarpus unknown mixed","Elaeocarpaceae","Elaeocarpus","unknown mixed",NA,"AR","CP, 50ha","both"
"Endospermum diadenum","Euphorbiaceae","Endospermum","diadenum",NA,"AR, NR","CP, 50ha","both"
"Engelhardia danumensis","Juglandaceae","Engelhardia","danumensis",NA,NA,"50ha","unlogged"
"Erycibe borneensis","Convolvulaceae","Erycibe","borneensis",NA,"NR","CP, 50ha","both"
"Erythroxylum cuneatum","Erythroxylaceae","Erythroxylum","cuneatum",NA,NA,"50ha","unlogged"
"Eurycoma longifolia","Simaroubaceae","Eurycoma","longifolia",NA,NA,"50ha","unlogged"
"Eusideroxylon zwageri","Lauraceae","Eusideroxylon","zwageri",NA,"NR","CP, 50ha","both"
"Utania cuspidata","Gentianaceae","Utania","cuspidata",NA,"AR","CP, 50ha","both"
"Fagraea unknown mixed","Gentianaceae","Fagraea","unknown mixed",NA,NA,"50ha","unlogged"
"Ficus beccarii","Moraceae","Ficus","beccarii",NA,NA,"50ha","unlogged"
"Ficus lepicarpa","Moraceae","Ficus","lepicarpa",NA,NA,"50ha","unlogged"
"Ficus mixed","Moraceae","Ficus","mixed",NA,NA,"50ha","unlogged"
"Ficus obscura","Moraceae","Ficus","obscura",NA,NA,"50ha","unlogged"
"Ficus sinuata","Moraceae","Ficus","sinuata",NA,NA,"50ha","unlogged"
"Ficus species 1","Moraceae","Ficus","species 1",NA,NA,"50ha","unlogged"
"Ficus species 2","Moraceae","Ficus","species 2",NA,NA,"50ha","unlogged"
"Ficus species 3","Moraceae","Ficus","species 3",NA,NA,"50ha","unlogged"
"Ficus species 4","Moraceae","Ficus","species 4",NA,NA,"50ha","unlogged"
"Ficus species 5","Moraceae","Ficus","species 5",NA,NA,"50ha","unlogged"
"Ficus species 6","Moraceae","Ficus","species 6",NA,NA,"50ha","unlogged"
"Ficus species 7","Moraceae","Ficus","species 7",NA,NA,"50ha","unlogged"
"Ficus species 8","Moraceae","Ficus","species 8",NA,NA,"50ha","unlogged"
"Ficus stolonifera","Moraceae","Ficus","stolonifera",NA,NA,"50ha","unlogged"
"Ficus unknown mixed","Moraceae","Ficus","unknown mixed",NA,"AR, NR","CP","logged"
"Ficus variegata","Moraceae","Ficus","variegata",NA,"NR","CP, 50ha","both"
"Flacourtia rukam","Salicaceae","Flacourtia","rukam",NA,NA,"50ha","unlogged"
"Fordia brachybotrys","Fabaceae","Fordia","brachybotrys",NA,"AR, NR","CP, 50ha","both"
"Fordia splendidissima","Fabaceae","Fordia","splendidissima",NA,NA,"50ha","unlogged"
