"binomial_name","Family","Genus","Species","restoration","count","mean_DBH","mean_Height","relative_abundance","relative_abundance_percent"
"Blumeodendron tokbrai","EUPHORBIACEAE","Blumeodendron","tokbrai","AR",3,219.666666666667,20.9,0.137931034482759,0.137931034482759
"Bridelia penangensis","PHYLLANTHACEAE","Bridelia","penangensis","AR",1,107,11.2,0.0459770114942529,0.0459770114942529
"Brownlowia peltata","MALVACEAE","Brownlowia","peltata","AR",3,122.333333333333,9.46666666666667,0.137931034482759,0.137931034482759
"Callicarpa pentandra","LAMIACEAE","Callicarpa","pentandra","AR",4,109.666666666667,11.5666666666667,0.183908045977011,0.183908045977011
"Callicarpa unknown mixed","LAMIACEAE","Callicarpa","unknown mixed","AR",1,444,15.7,0.0459770114942529,0.0459770114942529
"Calophyllum blancoi","CALOPHYLLACEAE","Calophyllum","blancoi","AR",2,216.5,24.25,0.0919540229885057,0.0919540229885057
"Calophyllum gracilipes","CALOPHYLLACEAE","Calophyllum","gracilipes","AR",1,125,9.2,0.0459770114942529,0.0459770114942529
"Canarium decumanum","BURSERACEAE","Canarium","decumanum","AR",9,254.444444444444,19.7888888888889,0.413793103448276,0.413793103448276
"Canarium denticulatum","BURSERACEAE","Canarium","denticulatum","AR",23,188.04347826087,16.1695652173913,1.05747126436782,1.05747126436782
"Canarium odontophyllum","BURSERACEAE","Canarium","odontophyllum","AR",10,191.5,18.5,0.459770114942529,0.459770114942529
"Canarium unknown mixed","BURSERACEAE","Canarium","unknown mixed","AR",1,121,14,0.0459770114942529,0.0459770114942529
"Caryodaphnopsis tonkinensis","LAURACEAE","Caryodaphnopsis","tonkinensis","AR",1,320,21,0.0459770114942529,0.0459770114942529
"Casearia grewiifolia","SAPINDACEAE","Casearia","grewiifolia","AR",1,166,13.7,0.0459770114942529,0.0459770114942529
"Castanopsis hypophoenicea","FAGACEAE","Castanopsis","hypophoenicea","AR",5,357.6,30.2,0.229885057471264,0.229885057471264
"Chionanthus pluriflorus","OLEACEAE","Chionanthus","pluriflorus","AR",4,160,16.7,0.183908045977011,0.183908045977011
"Chisocheton macranthus","MELIACEAE","Chisocheton","macranthus","AR",36,196.555555555556,11.4888888888889,1.6551724137931,1.6551724137931
"Chisocheton pentandrus","MELIACEAE","Chisocheton","pentandrus","AR",2,220.5,21.3,0.0919540229885057,0.0919540229885057
"Chisocheton sarawakensis","MELIACEAE","Chisocheton","sarawakensis","AR",8,188.571428571429,20.7857142857143,0.367816091954023,0.367816091954023
"Chisocheton unknown mixed","MELIACEAE","Chisocheton","unknown mixed","AR",2,131,10.4,0.0919540229885057,0.0919540229885057
"Cinnamomum griffithii","LAURACEAE","Cinnamomum","griffithii","AR",1,501,20.5,0.0459770114942529,0.0459770114942529
"Cleistanthus hirsutulus","PHYLLANTHACEAE","Cleistanthus","hirsutulus","AR",6,122.166666666667,9.3,0.275862068965517,0.275862068965517
"Cleistanthus myrianthus","PHYLLANTHACEAE","Cleistanthus","myrianthus","AR",4,194.75,21.425,0.183908045977011,0.183908045977011
"Cleistanthus podopixys","PHYLLANTHACEAE","Cleistanthus","podopixys","AR",2,143.5,6.85,0.0919540229885057,0.0919540229885057
"Cleistanthus unknown mixed","PHYLLANTHACEAE","Cleistanthus","unknown mixed","AR",4,186,20.55,0.183908045977011,0.183908045977011
"Coelostegia borneensis","MALVACEAE","Coelostegia","borneensis","AR",1,298,20.8,0.0459770114942529,0.0459770114942529
"Cratoxylum unknown mixed","HYPERICACEAE","Cratoxylum","unknown mixed","AR",4,193.25,17.95,0.183908045977011,0.183908045977011
"Crudia tenuipes","FABACEAE","Crudia","tenuipes","AR",3,128.333333333333,15.4333333333333,0.137931034482759,0.137931034482759
"Crudia unknown mixed","FABACEAE","Crudia","unknown mixed","AR",1,156,20.4,0.0459770114942529,0.0459770114942529
"Cryptocarya erectinervia","LAURACEAE","Cryptocarya","erectinervia","AR",8,186.875,18.9875,0.367816091954023,0.367816091954023
"Cryptocarya strictifolia","LAURACEAE","Cryptocarya","strictifolia","AR",2,222,19.15,0.0919540229885057,0.0919540229885057
