LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Parinari excelsa	40317	Parinari excelsa	1058375	747270	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Diaspore is eaten intentionally											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Parinari excelsa	40317	Parinari excelsa	31885	747271	28	Dispersal syndrome	289	Dispersal syndrom Animal group	AnimalGroup	Mammals (unspecified)											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Parinari excelsa	40317	Parinari excelsa	31885	747272			113	Reference / source	Reference	Hammond, D.S. and Brown, V.K. 1995. Seed size of woody plants in relation to disturbance, dispe ...											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).		3324	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Terminalia ivorensis	53709	Terminalia ivorensis	32171	748343	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Wind											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Terminalia ivorensis	53709	Terminalia ivorensis	1058570	748344	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Diaspore is blown by wind											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Terminalia ivorensis	53709	Terminalia ivorensis	32171	748345			235	Comments, notes, methods	Note	Diaspore is a winged fruit.											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Terminalia ivorensis	53709	Terminalia ivorensis	32171	748346			113	Reference / source	Reference	Keay, R.W.J. 1957. Wind-dispersed species in a Nigerian forest. Journal of Ecology, 45, 471-478.											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).		4296	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Heritiera elata	28483	Heritiera elata	32690	750487	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Unassisted											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Heritiera elata	28483	Heritiera elata	1059028	750488	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Seeds drop to the ground close to or beneath the parent plant											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Heritiera elata	28483	Heritiera elata	32690	750489			235	Comments, notes, methods	Note	Diaspore=fruit.  Although wings are present on the fruit, they appear to be too small to promot ...											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Heritiera elata	28483	Heritiera elata	32690	750490			113	Reference / source	Reference	Ridley, H.N. 1930. The Dispersal of Plants Throughout the World. William Clowes and Sons Ltd.,  ...											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).		7084	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Hopea lowii	29483	Hopea sangal	32704	750545	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Wind											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Hopea lowii	29483	Hopea sangal	1059040	750546	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Diaspore is blown by wind											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
